




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (773)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cyanide metabolic process (GO:0019499)	3	1	.16	+	6.14	1.50E-01
regulation of response to endoplasmic reticulum stress (GO:1905897)	3	1	.16	+	6.14	1.50E-01
beta-alanine biosynthetic process (GO:0019483)	3	1	.16	+	6.14	1.50E-01
detection of oxygen (GO:0003032)	3	1	.16	+	6.14	1.50E-01
positive regulation of binding (GO:0051099)	3	1	.16	+	6.14	1.50E-01
detection of other organism (GO:0098543)	6	2	.33	+	6.14	4.28E-02
spliceosomal complex disassembly (GO:0000390)	3	1	.16	+	6.14	1.50E-01
phenylacetate catabolic process (GO:0010124)	3	1	.16	+	6.14	1.50E-01
cellular response to iron ion starvation (GO:0010106)	3	1	.16	+	6.14	1.50E-01
regulation of mRNA 3'-end processing (GO:0031440)	3	1	.16	+	6.14	1.50E-01
glucoside transport (GO:0042946)	3	1	.16	+	6.14	1.50E-01
dipeptide transport (GO:0042938)	6	2	.33	+	6.14	4.28E-02
glucan catabolic process (GO:0009251)	21	7	1.14	+	6.14	1.81E-04
cellular polysaccharide catabolic process (GO:0044247)	19	6	1.03	+	5.82	6.86E-04
cell wall polysaccharide catabolic process (GO:0044347)	16	5	.87	+	5.76	1.99E-03
response to far red light (GO:0010218)	29	9	1.57	+	5.72	3.88E-05
regulation of hormone biosynthetic process (GO:0046885)	13	4	.71	+	5.67	5.88E-03
reactive nitrogen species metabolic process (GO:2001057)	13	4	.71	+	5.67	5.88E-03
positive regulation of circadian rhythm (GO:0042753)	10	3	.54	+	5.53	1.78E-02
regulation of auxin biosynthetic process (GO:0010600)	10	3	.54	+	5.53	1.78E-02
response to high light intensity (GO:0009644)	40	12	2.17	+	5.53	2.95E-06
detection of external biotic stimulus (GO:0098581)	10	3	.54	+	5.53	1.78E-02
detection of biotic stimulus (GO:0009595)	10	3	.54	+	5.53	1.78E-02
amylopectin biosynthetic process (GO:0010021)	7	2	.38	+	5.26	5.62E-02
myo-inositol hexakisphosphate metabolic process (GO:0033517)	7	2	.38	+	5.26	5.62E-02
chorismate biosynthetic process (GO:0009423)	7	2	.38	+	5.26	5.62E-02
amylopectin metabolic process (GO:2000896)	7	2	.38	+	5.26	5.62E-02
mitotic G2/M transition checkpoint (GO:0044818)	7	2	.38	+	5.26	5.62E-02
negative regulation of cell cycle G2/M phase transition (GO:1902750)	7	2	.38	+	5.26	5.62E-02
glutamine metabolic process (GO:0006541)	14	4	.76	+	5.26	7.58E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	7	2	.38	+	5.26	5.62E-02
xanthophyll biosynthetic process (GO:0016123)	7	2	.38	+	5.26	5.62E-02
leaf abscission (GO:0060866)	7	2	.38	+	5.26	5.62E-02
myo-inositol hexakisphosphate biosynthetic process (GO:0010264)	7	2	.38	+	5.26	5.62E-02
UV protection (GO:0009650)	7	2	.38	+	5.26	5.62E-02
acceptance of pollen (GO:0060321)	7	2	.38	+	5.26	5.62E-02
cellular response to blue light (GO:0071483)	18	5	.98	+	5.12	3.29E-03
tyrosine metabolic process (GO:0006570)	11	3	.60	+	5.03	2.28E-02
intracellular receptor signaling pathway (GO:0030522)	15	4	.81	+	4.91	9.58E-03
blue light signaling pathway (GO:0009785)	15	4	.81	+	4.91	9.58E-03
nitrogen cycle metabolic process (GO:0071941)	15	4	.81	+	4.91	9.58E-03
tricarboxylic acid metabolic process (GO:0072350)	15	4	.81	+	4.91	9.58E-03
response to desiccation (GO:0009269)	19	5	1.03	+	4.85	4.13E-03
photosynthesis, light harvesting (GO:0009765)	31	8	1.68	+	4.76	3.54E-04
positive regulation of cell differentiation (GO:0045597)	4	1	.22	+	4.61	1.95E-01
drug transmembrane transport (GO:0006855)	4	1	.22	+	4.61	1.95E-01
phloem development (GO:0010088)	8	2	.43	+	4.61	7.09E-02
root meristem specification (GO:0010071)	4	1	.22	+	4.61	1.95E-01
vegetative phase change (GO:0010050)	8	2	.43	+	4.61	7.09E-02
nitric oxide biosynthetic process (GO:0006809)	4	1	.22	+	4.61	1.95E-01
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0019288)	8	2	.43	+	4.61	7.09E-02
histone H2B ubiquitination (GO:0033523)	4	1	.22	+	4.61	1.95E-01
pathogenesis (GO:0009405)	4	1	.22	+	4.61	1.95E-01
regulation of epithelial cell differentiation (GO:0030856)	4	1	.22	+	4.61	1.95E-01
heme biosynthetic process (GO:0006783)	20	5	1.09	+	4.61	5.10E-03
activation of MAPK activity (GO:0000187)	8	2	.43	+	4.61	7.09E-02
tissue homeostasis (GO:0001894)	4	1	.22	+	4.61	1.95E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	4	1	.22	+	4.61	1.95E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	4	1	.22	+	4.61	1.95E-01
long-chain fatty acid biosynthetic process (GO:0042759)	4	1	.22	+	4.61	1.95E-01
D-xylose metabolic process (GO:0042732)	8	2	.43	+	4.61	7.09E-02
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	4	1	.22	+	4.61	1.95E-01
thiamine-containing compound biosynthetic process (GO:0042724)	4	1	.22	+	4.61	1.95E-01
stomatal opening (GO:1990069)	4	1	.22	+	4.61	1.95E-01
response to cation stress (GO:0043157)	4	1	.22	+	4.61	1.95E-01
pyrimidine nucleobase salvage (GO:0043100)	4	1	.22	+	4.61	1.95E-01
thiamine biosynthetic process (GO:0009228)	4	1	.22	+	4.61	1.95E-01
regulation of vacuole fusion, non-autophagic (GO:0032889)	4	1	.22	+	4.61	1.95E-01
regulation of response to reactive oxygen species (GO:1901031)	4	1	.22	+	4.61	1.95E-01
spermine biosynthetic process (GO:0006597)	4	1	.22	+	4.61	1.95E-01
tyrosine biosynthetic process (GO:0006571)	4	1	.22	+	4.61	1.95E-01
L-glutamate transmembrane transport (GO:0015813)	4	1	.22	+	4.61	1.95E-01
photosystem II stabilization (GO:0042549)	4	1	.22	+	4.61	1.95E-01
cellular response to singlet oxygen (GO:0071452)	4	1	.22	+	4.61	1.95E-01
axillary shoot meristem initiation (GO:0090506)	4	1	.22	+	4.61	1.95E-01
starch catabolic process (GO:0005983)	16	4	.87	+	4.61	1.19E-02
threonine biosynthetic process (GO:0009088)	8	2	.43	+	4.61	7.09E-02
sialic acid transport (GO:0015739)	4	1	.22	+	4.61	1.95E-01
positive regulation of RNA interference (GO:1900370)	4	1	.22	+	4.61	1.95E-01
meiotic sister chromatid cohesion, centromeric (GO:0051754)	4	1	.22	+	4.61	1.95E-01
metal ion export (GO:0070839)	4	1	.22	+	4.61	1.95E-01
vitamin E metabolic process (GO:0042360)	8	2	.43	+	4.61	7.09E-02
negative regulation of stomatal opening (GO:1902457)	4	1	.22	+	4.61	1.95E-01
xylan acetylation (GO:1990937)	4	1	.22	+	4.61	1.95E-01
pyrimidine nucleobase catabolic process (GO:0006208)	4	1	.22	+	4.61	1.95E-01
regulation of gene silencing by miRNA (GO:0060964)	4	1	.22	+	4.61	1.95E-01
homeostasis of number of cells within a tissue (GO:0048873)	4	1	.22	+	4.61	1.95E-01
homeostasis of number of cells (GO:0048872)	4	1	.22	+	4.61	1.95E-01
cellular protein-containing complex localization (GO:0034629)	4	1	.22	+	4.61	1.95E-01
positive regulation of ion transmembrane transporter activity (GO:0032414)	4	1	.22	+	4.61	1.95E-01
positive regulation of transporter activity (GO:0032411)	4	1	.22	+	4.61	1.95E-01
negative regulation of mRNA catabolic process (GO:1902373)	4	1	.22	+	4.61	1.95E-01
sulfate transmembrane transport (GO:1902358)	4	1	.22	+	4.61	1.95E-01
uracil metabolic process (GO:0019860)	4	1	.22	+	4.61	1.95E-01
regulation of histone H3-K9 dimethylation (GO:1900109)	4	1	.22	+	4.61	1.95E-01
negative regulation of floral organ abscission (GO:0060862)	4	1	.22	+	4.61	1.95E-01
regulation of floral organ abscission (GO:0060860)	4	1	.22	+	4.61	1.95E-01
xenobiotic catabolic process (GO:0042178)	4	1	.22	+	4.61	1.95E-01
regulation of heterochromatin organization (GO:0120261)	4	1	.22	+	4.61	1.95E-01
vacuolar transmembrane transport (GO:0034486)	4	1	.22	+	4.61	1.95E-01
positive regulation of development, heterochronic (GO:0045962)	8	2	.43	+	4.61	7.09E-02
regulation of oxidoreductase activity (GO:0051341)	4	1	.22	+	4.61	1.95E-01
glucuronoxylan biosynthetic process (GO:0010417)	12	3	.65	+	4.61	2.84E-02
glucuronoxylan metabolic process (GO:0010413)	12	3	.65	+	4.61	2.84E-02
negative regulation of short-day photoperiodism, flowering (GO:0048577)	4	1	.22	+	4.61	1.95E-01
homeostasis of number of meristem cells (GO:0007639)	4	1	.22	+	4.61	1.95E-01
fruit morphogenesis (GO:0048530)	4	1	.22	+	4.61	1.95E-01
negative regulation of stomatal complex development (GO:2000122)	4	1	.22	+	4.61	1.95E-01
protein homotetramerization (GO:0051289)	4	1	.22	+	4.61	1.95E-01
AMP transport (GO:0080121)	4	1	.22	+	4.61	1.95E-01
purine-containing compound catabolic process (GO:0072523)	12	3	.65	+	4.61	2.84E-02
response to paraquat (GO:1901562)	4	1	.22	+	4.61	1.95E-01
nitric oxide metabolic process (GO:0046209)	4	1	.22	+	4.61	1.95E-01
regulation of defense response by callose deposition (GO:2000071)	4	1	.22	+	4.61	1.95E-01
beta-alanine metabolic process (GO:0019482)	4	1	.22	+	4.61	1.95E-01
regulation of anthocyanin biosynthetic process (GO:0031540)	8	2	.43	+	4.61	7.09E-02
positive regulation of mRNA processing (GO:0050685)	4	1	.22	+	4.61	1.95E-01
phototropism (GO:0009638)	16	4	.87	+	4.61	1.19E-02
regulation of epidermis development (GO:0045682)	4	1	.22	+	4.61	1.95E-01
vitamin E biosynthetic process (GO:0010189)	8	2	.43	+	4.61	7.09E-02
negative regulation of DNA-binding transcription factor activity (GO:0043433)	4	1	.22	+	4.61	1.95E-01
regulation of epidermal cell differentiation (GO:0045604)	4	1	.22	+	4.61	1.95E-01
negative regulation of photomorphogenesis (GO:0010100)	8	2	.43	+	4.61	7.09E-02
positive regulation of MAPK cascade (GO:0043410)	8	2	.43	+	4.61	7.09E-02
positive regulation of MAP kinase activity (GO:0043406)	8	2	.43	+	4.61	7.09E-02
regulation of heterochromatin assembly (GO:0031445)	4	1	.22	+	4.61	1.95E-01
inflorescence morphogenesis (GO:0048281)	4	1	.22	+	4.61	1.95E-01
mRNA stabilization (GO:0048255)	4	1	.22	+	4.61	1.95E-01
tripeptide transport (GO:0042939)	4	1	.22	+	4.61	1.95E-01
xylan metabolic process (GO:0045491)	42	10	2.28	+	4.39	1.29E-04
purine nucleobase metabolic process (GO:0006144)	17	4	.92	+	4.34	1.45E-02
regulation of anthocyanin metabolic process (GO:0031537)	17	4	.92	+	4.34	1.45E-02
DNA methylation on cytosine (GO:0032776)	13	3	.71	+	4.25	3.47E-02
cellular response to misfolded protein (GO:0071218)	13	3	.71	+	4.25	3.47E-02
regulation of stomatal closure (GO:0090333)	31	7	1.68	+	4.16	1.74E-03
fat-soluble vitamin metabolic process (GO:0006775)	9	2	.49	+	4.09	8.67E-02
ER-associated misfolded protein catabolic process (GO:0071712)	9	2	.49	+	4.09	8.67E-02
regulation of response to oxidative stress (GO:1902882)	9	2	.49	+	4.09	8.67E-02
glycerol ether metabolic process (GO:0006662)	9	2	.49	+	4.09	8.67E-02
cytoplasmic translational initiation (GO:0002183)	9	2	.49	+	4.09	8.67E-02
mitotic DNA integrity checkpoint (GO:0044774)	9	2	.49	+	4.09	8.67E-02
fat-soluble vitamin biosynthetic process (GO:0042362)	9	2	.49	+	4.09	8.67E-02
response to singlet oxygen (GO:0000304)	9	2	.49	+	4.09	8.67E-02
response to red light (GO:0010114)	50	11	2.71	+	4.05	1.20E-04
heme metabolic process (GO:0042168)	23	5	1.25	+	4.01	9.01E-03
coenzyme A metabolic process (GO:0015936)	14	3	.76	+	3.95	4.17E-02
regulation of photosynthesis, light reaction (GO:0042548)	14	3	.76	+	3.95	4.17E-02
pentose-phosphate shunt, oxidative branch (GO:0009051)	14	3	.76	+	3.95	4.17E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	14	3	.76	+	3.95	4.17E-02
negative regulation of cell cycle phase transition (GO:1901988)	14	3	.76	+	3.95	4.17E-02
regulation of flavonoid biosynthetic process (GO:0009962)	14	3	.76	+	3.95	4.17E-02
systemic acquired resistance, salicylic acid mediated signaling pathway (GO:0009862)	14	3	.76	+	3.95	4.17E-02
red or far-red light signaling pathway (GO:0010017)	33	7	1.79	+	3.91	2.46E-03
cellular response to red or far red light (GO:0071489)	33	7	1.79	+	3.91	2.46E-03
sucrose transport (GO:0015770)	19	4	1.03	+	3.88	2.09E-02
disaccharide transport (GO:0015766)	19	4	1.03	+	3.88	2.09E-02
defense response to Gram-negative bacterium (GO:0050829)	19	4	1.03	+	3.88	2.09E-02
dicarboxylic acid biosynthetic process (GO:0043650)	19	4	1.03	+	3.88	2.09E-02
xenobiotic metabolic process (GO:0006805)	5	1	.27	+	3.69	2.38E-01
response to iron ion (GO:0010039)	20	4	1.09	+	3.69	2.46E-02
histone ubiquitination (GO:0016574)	5	1	.27	+	3.69	2.38E-01
protoporphyrinogen IX biosynthetic process (GO:0006782)	15	3	.81	+	3.69	4.94E-02
apocarotenoid catabolic process (GO:0043290)	5	1	.27	+	3.69	2.38E-01
replication fork processing (GO:0031297)	5	1	.27	+	3.69	2.38E-01
positive regulation of response to oxidative stress (GO:1902884)	5	1	.27	+	3.69	2.38E-01
diacylglycerol biosynthetic process (GO:0006651)	5	1	.27	+	3.69	2.38E-01
DNA replication checkpoint (GO:0000076)	10	2	.54	+	3.69	1.03E-01
regulation of shoot system morphogenesis (GO:1900618)	10	2	.54	+	3.69	1.03E-01
regulation of cell fate specification (GO:0042659)	5	1	.27	+	3.69	2.38E-01
negative regulation of DNA endoreduplication (GO:0032876)	5	1	.27	+	3.69	2.38E-01
formation of translation preinitiation complex (GO:0001731)	5	1	.27	+	3.69	2.38E-01
purine nucleobase salvage (GO:0043096)	5	1	.27	+	3.69	2.38E-01
response to vitamin (GO:0033273)	5	1	.27	+	3.69	2.38E-01
drug transport (GO:0015893)	5	1	.27	+	3.69	2.38E-01
cellular response to xenobiotic stimulus (GO:0071466)	5	1	.27	+	3.69	2.38E-01
oligosaccharide transport (GO:0015772)	20	4	1.09	+	3.69	2.46E-02
glycogen metabolic process (GO:0005977)	15	3	.81	+	3.69	4.94E-02
positive regulation of RNA splicing (GO:0033120)	5	1	.27	+	3.69	2.38E-01
oxaloacetate transport (GO:0015729)	5	1	.27	+	3.69	2.38E-01
response to redox state (GO:0051775)	5	1	.27	+	3.69	2.38E-01
regulation of chromatin assembly (GO:0010847)	5	1	.27	+	3.69	2.38E-01
positive regulation of defense response to insect (GO:1900367)	5	1	.27	+	3.69	2.38E-01
carotenoid biosynthetic process (GO:0016117)	20	4	1.09	+	3.69	2.46E-02
tetraterpenoid biosynthetic process (GO:0016109)	20	4	1.09	+	3.69	2.46E-02
sesquiterpenoid catabolic process (GO:0016107)	5	1	.27	+	3.69	2.38E-01
positive regulation of ion transmembrane transport (GO:0034767)	5	1	.27	+	3.69	2.38E-01
positive regulation of transmembrane transport (GO:0034764)	5	1	.27	+	3.69	2.38E-01
protein glutathionylation (GO:0010731)	5	1	.27	+	3.69	2.38E-01
stomatal closure (GO:0090332)	15	3	.81	+	3.69	4.94E-02
positive regulation of histone H3-K9 methylation (GO:0051574)	5	1	.27	+	3.69	2.38E-01
adenine salvage (GO:0006168)	5	1	.27	+	3.69	2.38E-01
energy reserve metabolic process (GO:0006112)	15	3	.81	+	3.69	4.94E-02
oxaloacetate metabolic process (GO:0006107)	5	1	.27	+	3.69	2.38E-01
2-oxoglutarate metabolic process (GO:0006103)	5	1	.27	+	3.69	2.38E-01
centromeric sister chromatid cohesion (GO:0070601)	5	1	.27	+	3.69	2.38E-01
protoporphyrinogen IX metabolic process (GO:0046501)	15	3	.81	+	3.69	4.94E-02
regulation of hormone metabolic process (GO:0032350)	20	4	1.09	+	3.69	2.46E-02
detoxification of nitrogen compound (GO:0051410)	5	1	.27	+	3.69	2.38E-01
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	5	1	.27	+	3.69	2.38E-01
C-5 methylation of cytosine (GO:0090116)	5	1	.27	+	3.69	2.38E-01
protein K63-linked ubiquitination (GO:0070534)	10	2	.54	+	3.69	1.03E-01
olefinic compound catabolic process (GO:0120256)	5	1	.27	+	3.69	2.38E-01
pollen tube reception (GO:0010483)	5	1	.27	+	3.69	2.38E-01
negative regulation of DNA replication (GO:0008156)	10	2	.54	+	3.69	1.03E-01
regulation of production of siRNA involved in RNA interference (GO:0090065)	5	1	.27	+	3.69	2.38E-01
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	10	2	.54	+	3.69	1.03E-01
determination of bilateral symmetry (GO:0009855)	5	1	.27	+	3.69	2.38E-01
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	5	1	.27	+	3.69	2.38E-01
glycoside transport (GO:1901656)	5	1	.27	+	3.69	2.38E-01
abscisic acid catabolic process (GO:0046345)	5	1	.27	+	3.69	2.38E-01
activation of protein kinase activity (GO:0032147)	10	2	.54	+	3.69	1.03E-01
negative regulation of DNA-dependent DNA replication (GO:2000104)	10	2	.54	+	3.69	1.03E-01
regulation of anion channel activity (GO:0010359)	10	2	.54	+	3.69	1.03E-01
floral organ senescence (GO:0080187)	5	1	.27	+	3.69	2.38E-01
response to photooxidative stress (GO:0080183)	5	1	.27	+	3.69	2.38E-01
abscisic acid-activated signaling pathway involved in stomatal movement (GO:1901527)	5	1	.27	+	3.69	2.38E-01
pyruvate transmembrane transport (GO:1901475)	5	1	.27	+	3.69	2.38E-01
response to herbicide (GO:0009635)	5	1	.27	+	3.69	2.38E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	10	2	.54	+	3.69	1.03E-01
vesicle targeting (GO:0006903)	5	1	.27	+	3.69	2.38E-01
actin filament severing (GO:0051014)	5	1	.27	+	3.69	2.38E-01
detection of visible light (GO:0009584)	5	1	.27	+	3.69	2.38E-01
regulation of leaf morphogenesis (GO:1901371)	10	2	.54	+	3.69	1.03E-01
inositol phosphorylation (GO:0052746)	5	1	.27	+	3.69	2.38E-01
negative regulation of lateral root development (GO:1901332)	5	1	.27	+	3.69	2.38E-01
xylan biosynthetic process (GO:0045492)	25	5	1.36	+	3.69	1.25E-02
porphyrin-containing compound biosynthetic process (GO:0006779)	42	8	2.28	+	3.51	2.41E-03
isopentenyl diphosphate biosynthetic process (GO:0009240)	16	3	.87	+	3.46	5.76E-02
response to misfolded protein (GO:0051788)	16	3	.87	+	3.46	5.76E-02
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	16	3	.87	+	3.46	5.76E-02
regulation of auxin metabolic process (GO:0090354)	16	3	.87	+	3.46	5.76E-02
isopentenyl diphosphate metabolic process (GO:0046490)	16	3	.87	+	3.46	5.76E-02
hydrogen peroxide catabolic process (GO:0042744)	27	5	1.47	+	3.41	1.69E-02
phospholipid catabolic process (GO:0009395)	22	4	1.19	+	3.35	3.31E-02
inositol phosphate biosynthetic process (GO:0032958)	11	2	.60	+	3.35	1.21E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	11	2	.60	+	3.35	1.21E-01
coenzyme A biosynthetic process (GO:0015937)	11	2	.60	+	3.35	1.21E-01
threonine metabolic process (GO:0006566)	11	2	.60	+	3.35	1.21E-01
long-chain fatty acid metabolic process (GO:0001676)	11	2	.60	+	3.35	1.21E-01
homoserine metabolic process (GO:0009092)	11	2	.60	+	3.35	1.21E-01
positive regulation of response to water deprivation (GO:1902584)	11	2	.60	+	3.35	1.21E-01
positive regulation of intracellular signal transduction (GO:1902533)	11	2	.60	+	3.35	1.21E-01
cellular response to biotic stimulus (GO:0071216)	11	2	.60	+	3.35	1.21E-01
endoplasmic reticulum localization (GO:0051643)	11	2	.60	+	3.35	1.21E-01
response to arsenic-containing substance (GO:0046685)	11	2	.60	+	3.35	1.21E-01
negative regulation of leaf senescence (GO:1900056)	11	2	.60	+	3.35	1.21E-01
endoplasmic reticulum membrane organization (GO:0090158)	11	2	.60	+	3.35	1.21E-01
regulation of anion transmembrane transport (GO:1903959)	11	2	.60	+	3.35	1.21E-01
chorismate metabolic process (GO:0046417)	11	2	.60	+	3.35	1.21E-01
regulation of mRNA stability (GO:0043488)	11	2	.60	+	3.35	1.21E-01
regulation of MAPK cascade (GO:0043408)	11	2	.60	+	3.35	1.21E-01
regulation of MAP kinase activity (GO:0043405)	11	2	.60	+	3.35	1.21E-01
cell wall macromolecule catabolic process (GO:0016998)	28	5	1.52	+	3.29	1.94E-02
tetrapyrrole biosynthetic process (GO:0033014)	45	8	2.44	+	3.28	3.64E-03
ERAD pathway (GO:0036503)	34	6	1.85	+	3.25	1.15E-02
regulation of generation of precursor metabolites and energy (GO:0043467)	17	3	.92	+	3.25	6.65E-02
oxylipin metabolic process (GO:0031407)	17	3	.92	+	3.25	6.65E-02
circadian rhythm (GO:0007623)	74	13	4.02	+	3.24	2.71E-04
rhythmic process (GO:0048511)	74	13	4.02	+	3.24	2.71E-04
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	23	4	1.25	+	3.20	3.80E-02
negative regulation of cell cycle process (GO:0010948)	23	4	1.25	+	3.20	3.80E-02
mRNA export from nucleus (GO:0006406)	23	4	1.25	+	3.20	3.80E-02
plant-type secondary cell wall biogenesis (GO:0009834)	46	8	2.50	+	3.20	4.14E-03
inorganic anion transmembrane transport (GO:0098661)	23	4	1.25	+	3.20	3.80E-02
stomatal movement (GO:0010118)	52	9	2.82	+	3.19	2.50E-03
porphyrin-containing compound metabolic process (GO:0006778)	60	10	3.26	+	3.07	1.94E-03
regulation of protein ubiquitination (GO:0031396)	6	1	.33	+	3.07	2.78E-01
thiamine metabolic process (GO:0006772)	6	1	.33	+	3.07	2.78E-01
gibberellin catabolic process (GO:0045487)	6	1	.33	+	3.07	2.78E-01
regulation of circadian rhythm (GO:0042752)	36	6	1.95	+	3.07	1.48E-02
thiamine-containing compound metabolic process (GO:0042723)	6	1	.33	+	3.07	2.78E-01
sphingosine metabolic process (GO:0006670)	6	1	.33	+	3.07	2.78E-01
phosphatidic acid biosynthetic process (GO:0006654)	6	1	.33	+	3.07	2.78E-01
mitotic spindle assembly checkpoint (GO:0007094)	6	1	.33	+	3.07	2.78E-01
thiamine diphosphate biosynthetic process (GO:0009229)	6	1	.33	+	3.07	2.78E-01
regulation of polysaccharide biosynthetic process (GO:0032885)	12	2	.65	+	3.07	1.39E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	6	1	.33	+	3.07	2.78E-01
