




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
response to desiccation (GO:0009269)	3	3	2.43	+	1.23	4.38E-01
positive regulation of cytoplasmic translational elongation through polyproline stretches (GO:1903272)	1	1	.81	+	1.23	5.55E-01
regulation of cytoplasmic translational elongation through polyproline stretches (GO:1903270)	1	1	.81	+	1.23	5.55E-01
tRNA pseudouridine synthesis (GO:0031119)	7	7	5.67	+	1.23	3.41E-01
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	4	4	3.24	+	1.23	4.07E-01
rRNA pseudouridine synthesis (GO:0031118)	11	11	8.91	+	1.23	2.83E-01
deoxyribonucleotide catabolic process (GO:0009264)	1	1	.81	+	1.23	5.55E-01
deoxyribonucleotide biosynthetic process (GO:0009263)	10	10	8.10	+	1.23	2.96E-01
deoxyribonucleotide metabolic process (GO:0009262)	10	10	8.10	+	1.23	2.96E-01
negative regulation of microtubule polymerization (GO:0031115)	1	1	.81	+	1.23	5.55E-01
membrane tubulation (GO:0097749)	2	2	1.62	+	1.23	4.82E-01
fatty-acyl-CoA transport (GO:0015916)	2	2	1.62	+	1.23	4.82E-01
morphogenesis checkpoint (GO:0044879)	5	5	4.05	+	1.23	3.81E-01
long-chain fatty acid import into peroxisome (GO:0015910)	2	2	1.62	+	1.23	4.82E-01
acetate ester metabolic process involved in fermentation (GO:1901089)	2	2	1.62	+	1.23	4.82E-01
protein localization to mating projection tip (GO:1903260)	1	1	.81	+	1.23	5.55E-01
positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter (GO:0007074)	1	1	.81	+	1.23	5.55E-01
long-chain fatty acid transport (GO:0015909)	6	6	4.86	+	1.23	3.60E-01
positive regulation of transcription involved in exit from mitosis (GO:0007072)	1	1	.81	+	1.23	5.55E-01
protein lipoylation (GO:0009249)	5	5	4.05	+	1.23	3.81E-01
glucosamine-containing compound catabolic process (GO:1901072)	5	5	4.05	+	1.23	3.81E-01
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	5	4.05	+	1.23	3.81E-01
regulation of sister chromatid cohesion (GO:0007063)	5	5	4.05	+	1.23	3.81E-01
beta-alanine transport (GO:0001762)	1	1	.81	+	1.23	5.55E-01
guanosine-containing compound catabolic process (GO:1901069)	2	2	1.62	+	1.23	4.82E-01
guanosine-containing compound metabolic process (GO:1901068)	12	12	9.72	+	1.23	2.72E-01
thiamine catabolic process (GO:0009230)	1	1	.81	+	1.23	5.55E-01
cell cycle arrest (GO:0007050)	3	3	2.43	+	1.23	4.38E-01
nucleotide-sugar biosynthetic process (GO:0009226)	8	8	6.48	+	1.23	3.24E-01
pyrimidine deoxyribonucleotide catabolic process (GO:0009223)	1	1	.81	+	1.23	5.55E-01
regulation of mitotic spindle elongation (GO:0032888)	3	3	2.43	+	1.23	4.38E-01
pyrimidine ribonucleotide catabolic process (GO:0009222)	1	1	.81	+	1.23	5.55E-01
regulation of spindle elongation (GO:0032887)	3	3	2.43	+	1.23	4.38E-01
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	4	4	3.24	+	1.23	4.07E-01
positive regulation of mitotic cohesin loading (GO:1905406)	1	1	.81	+	1.23	5.55E-01
regulation of mitotic cohesin loading (GO:1905405)	1	1	.81	+	1.23	5.55E-01
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	4	4	3.24	+	1.23	4.07E-01
quinolinic acid transmembrane transport (GO:1903222)	1	1	.81	+	1.23	5.55E-01
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217)	2	2	1.62	+	1.23	4.82E-01
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	2	2	1.62	+	1.23	4.82E-01
pyrimidine deoxyribonucleoside triphosphate catabolic process (GO:0009213)	2	2	1.62	+	1.23	4.82E-01
regulation of establishment or maintenance of cell polarity (GO:0032878)	8	8	6.48	+	1.23	3.24E-01
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	2	2	1.62	+	1.23	4.82E-01
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	4	4	3.24	+	1.23	4.07E-01
formation of cytoplasmic translation initiation complex (GO:0001732)	10	10	8.10	+	1.23	2.96E-01
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	2	2	1.62	+	1.23	4.82E-01
positive regulation of response to reactive oxygen species (GO:1901033)	1	1	.81	+	1.23	5.55E-01
deoxyribonucleoside triphosphate biosynthetic process (GO:0009202)	3	3	2.43	+	1.23	4.38E-01
negative regulation of response to reactive oxygen species (GO:1901032)	1	1	.81	+	1.23	5.55E-01
regulation of response to reactive oxygen species (GO:1901031)	3	3	2.43	+	1.23	4.38E-01
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	6	6	4.86	+	1.23	3.60E-01
microtubule nucleation (GO:0007020)	4	4	3.24	+	1.23	4.07E-01
mitotic G1/S transition checkpoint (GO:0044819)	3	3	2.43	+	1.23	4.38E-01
positive regulation of oxidative stress-induced cell death (GO:1903209)	1	1	.81	+	1.23	5.55E-01
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	1	1	.81	+	1.23	5.55E-01
regulation of hydrogen peroxide-induced cell death (GO:1903205)	3	3	2.43	+	1.23	4.38E-01
negative regulation of oxidative stress-induced neuron death (GO:1903204)	1	1	.81	+	1.23	5.55E-01
regulation of oxidative stress-induced neuron death (GO:1903203)	1	1	.81	+	1.23	5.55E-01
negative regulation of oxidative stress-induced cell death (GO:1903202)	2	2	1.62	+	1.23	4.82E-01
cellular response to water deprivation (GO:0042631)	3	3	2.43	+	1.23	4.38E-01
regulation of oxidative stress-induced cell death (GO:1903201)	4	4	3.24	+	1.23	4.07E-01
microtubule depolymerization (GO:0007019)	4	4	3.24	+	1.23	4.07E-01
CAAX-box protein processing (GO:0071586)	2	2	1.62	+	1.23	4.82E-01
zinc ion import across plasma membrane (GO:0071578)	2	2	1.62	+	1.23	4.82E-01
ubiquinone-6 biosynthetic process (GO:1901006)	3	3	2.43	+	1.23	4.38E-01
histone H3-K56 deacetylation (GO:0071572)	1	1	.81	+	1.23	5.55E-01
ubiquinone-6 metabolic process (GO:1901004)	3	3	2.43	+	1.23	4.38E-01
negative regulation of response to salt stress (GO:1901001)	2	2	1.62	+	1.23	4.82E-01
regulation of response to salt stress (GO:1901000)	2	2	1.62	+	1.23	4.82E-01
regulation of vitamin metabolic process (GO:0030656)	3	3	2.43	+	1.23	4.38E-01
glycine import into mitochondrion (GO:1904983)	2	2	1.62	+	1.23	4.82E-01
cellular phosphate ion homeostasis (GO:0030643)	1	1	.81	+	1.23	5.55E-01
histone H3-K27 demethylation (GO:0071557)	1	1	.81	+	1.23	5.55E-01
regulation of nucleotide-excision repair (GO:2000819)	8	8	6.48	+	1.23	3.24E-01
regulation of mRNA stability involved in response to oxidative stress (GO:2000815)	4	4	3.24	+	1.23	4.07E-01
positive regulation of monopolar spindle attachment to meiosis I kinetochore (GO:1904968)	1	1	.81	+	1.23	5.55E-01
regulation of monopolar spindle attachment to meiosis I kinetochore (GO:1904967)	1	1	.81	+	1.23	5.55E-01
polyamine catabolic process (GO:0006598)	3	3	2.43	+	1.23	4.38E-01
spermine biosynthetic process (GO:0006597)	2	2	1.62	+	1.23	4.82E-01
polyamine biosynthetic process (GO:0006596)	4	4	3.24	+	1.23	4.07E-01
polyamine metabolic process (GO:0006595)	7	7	5.67	+	1.23	3.41E-01
ornithine biosynthetic process (GO:0006592)	4	4	3.24	+	1.23	4.07E-01
negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000805)	1	1	.81	+	1.23	5.55E-01
regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000804)	1	1	.81	+	1.23	5.55E-01
positive regulation of establishment of protein localization (GO:1904951)	8	8	6.48	+	1.23	3.24E-01
negative regulation of establishment of protein localization (GO:1904950)	3	3	2.43	+	1.23	4.38E-01
mitochondrial large ribosomal subunit assembly (GO:1902775)	1	1	.81	+	1.23	5.55E-01
positive regulation of telomerase activity (GO:0051973)	1	1	.81	+	1.23	5.55E-01
vesicle transport along microtubule (GO:0047496)	2	2	1.62	+	1.23	4.82E-01
isoprenoid biosynthetic process via mevalonate (GO:1902767)	3	3	2.43	+	1.23	4.38E-01
amino-acid betaine biosynthetic process (GO:0006578)	1	1	.81	+	1.23	5.55E-01
valine catabolic process (GO:0006574)	2	2	1.62	+	1.23	4.82E-01
tyrosine biosynthetic process (GO:0006571)	4	4	3.24	+	1.23	4.07E-01
monovalent inorganic anion homeostasis (GO:0055083)	2	2	1.62	+	1.23	4.82E-01
regulation of response to osmotic stress (GO:0047484)	4	4	3.24	+	1.23	4.07E-01
protein lipidation involved in autophagosome assembly (GO:0061739)	1	1	.81	+	1.23	5.55E-01
threonine catabolic process (GO:0006567)	3	3	2.43	+	1.23	4.38E-01
L-serine catabolic process (GO:0006565)	3	3	2.43	+	1.23	4.38E-01
L-serine biosynthetic process (GO:0006564)	5	5	4.05	+	1.23	3.81E-01
L-serine metabolic process (GO:0006563)	11	11	8.91	+	1.23	2.83E-01
proline catabolic process (GO:0006562)	2	2	1.62	+	1.23	4.82E-01
sodium ion homeostasis (GO:0055078)	2	2	1.62	+	1.23	4.82E-01
potassium ion homeostasis (GO:0055075)	6	6	4.86	+	1.23	3.60E-01
S-adenosylmethioninamine biosynthetic process (GO:0006557)	1	1	.81	+	1.23	5.55E-01
S-adenosylmethionine biosynthetic process (GO:0006556)	3	3	2.43	+	1.23	4.38E-01
lysine catabolic process (GO:0006554)	1	1	.81	+	1.23	5.55E-01
lysine metabolic process (GO:0006553)	15	15	12.15	+	1.23	2.42E-01
isoleucine catabolic process (GO:0006550)	1	1	.81	+	1.23	5.55E-01
cobalt ion homeostasis (GO:0055068)	1	1	.81	+	1.23	5.55E-01
chloride ion homeostasis (GO:0055064)	1	1	.81	+	1.23	5.55E-01
phosphate ion homeostasis (GO:0055062)	1	1	.81	+	1.23	5.55E-01
glucose catabolic process to pyruvate (GO:0061718)	2	2	1.62	+	1.23	4.82E-01
glycine catabolic process (GO:0006546)	4	4	3.24	+	1.23	4.07E-01
glycine biosynthetic process (GO:0006545)	5	5	4.05	+	1.23	3.81E-01
glutamine biosynthetic process (GO:0006542)	1	1	.81	+	1.23	5.55E-01
glutamine metabolic process (GO:0006541)	23	23	18.63	+	1.23	1.82E-01
translation reinitiation (GO:0002188)	6	6	4.86	+	1.23	3.60E-01
cytoplasmic translational termination (GO:0002184)	2	2	1.62	+	1.23	4.82E-01
positive regulation of purine nucleotide metabolic process (GO:1900544)	1	1	.81	+	1.23	5.55E-01
regulation of purine nucleotide metabolic process (GO:1900542)	4	4	3.24	+	1.23	4.07E-01
purine nucleobase salvage (GO:0043096)	4	4	3.24	+	1.23	4.07E-01
cysteine biosynthetic process from serine (GO:0006535)	2	2	1.62	+	1.23	4.82E-01
aspartate catabolic process (GO:0006533)	1	1	.81	+	1.23	5.55E-01
aspartate biosynthetic process (GO:0006532)	1	1	.81	+	1.23	5.55E-01
amino acid import (GO:0043090)	6	6	4.86	+	1.23	3.60E-01
aspartate metabolic process (GO:0006531)	2	2	1.62	+	1.23	4.82E-01
asparagine catabolic process (GO:0006530)	2	2	1.62	+	1.23	4.82E-01
asparagine biosynthetic process (GO:0006529)	4	4	3.24	+	1.23	4.07E-01
asparagine metabolic process (GO:0006528)	7	7	5.67	+	1.23	3.41E-01
alanine catabolic process (GO:0006524)	2	2	1.62	+	1.23	4.82E-01
alanine biosynthetic process (GO:0006523)	1	1	.81	+	1.23	5.55E-01
alanine metabolic process (GO:0006522)	2	2	1.62	+	1.23	4.82E-01
mitochondrial tRNA processing (GO:0090646)	8	8	6.48	+	1.23	3.24E-01
positive regulation of programmed cell death (GO:0043068)	3	3	2.43	+	1.23	4.38E-01
malonyl-CoA biosynthetic process (GO:2001295)	1	1	.81	+	1.23	5.55E-01
malonyl-CoA metabolic process (GO:2001293)	1	1	.81	+	1.23	5.55E-01
GPI anchor release (GO:0006507)	1	1	.81	+	1.23	5.55E-01
positive regulation of apoptotic process (GO:0043065)	2	2	1.62	+	1.23	4.82E-01
meiotic metaphase I plate congression (GO:0043060)	1	1	.81	+	1.23	5.55E-01
vitamin transmembrane transport (GO:0035461)	5	5	4.05	+	1.23	3.81E-01
tRNA wobble position uridine thiolation (GO:0002143)	6	6	4.86	+	1.23	3.60E-01
wobble position ribose methylation (GO:0002130)	3	3	2.43	+	1.23	4.38E-01
positive regulation of leucine biosynthetic process (GO:2001278)	1	1	.81	+	1.23	5.55E-01
DNA clamp unloading (GO:0090618)	1	1	.81	+	1.23	5.55E-01
regulation of leucine biosynthetic process (GO:2001276)	1	1	.81	+	1.23	5.55E-01
dolichyl monophosphate biosynthetic process (GO:0043048)	1	1	.81	+	1.23	5.55E-01
dipeptide transmembrane transport (GO:0035442)	2	2	1.62	+	1.23	4.82E-01
lipid import into cell (GO:0140354)	3	3	2.43	+	1.23	4.38E-01
tRNA nucleoside ribose methylation (GO:0002128)	6	6	4.86	+	1.23	3.60E-01
tRNA wobble base cytosine methylation (GO:0002127)	1	1	.81	+	1.23	5.55E-01
single-species submerged biofilm formation (GO:0090609)	3	3	2.43	+	1.23	4.38E-01
pantothenate transmembrane transport (GO:0015887)	1	1	.81	+	1.23	5.55E-01
single-species surface biofilm formation (GO:0090606)	2	2	1.62	+	1.23	4.82E-01
submerged biofilm formation (GO:0090605)	3	3	2.43	+	1.23	4.38E-01
surface biofilm formation (GO:0090604)	2	2	1.62	+	1.23	4.82E-01
folic acid transport (GO:0015884)	1	1	.81	+	1.23	5.55E-01
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	11	11	8.91	+	1.23	2.83E-01
phosphate ion transmembrane transport (GO:0035435)	6	6	4.86	+	1.23	3.60E-01
acetate transmembrane transport (GO:0035433)	3	3	2.43	+	1.23	4.38E-01
intronic snoRNA processing (GO:0031070)	8	8	6.48	+	1.23	3.24E-01
biotin transport (GO:0015878)	1	1	.81	+	1.23	5.55E-01
positive regulation of histone H3-K36 trimethylation (GO:2001255)	3	3	2.43	+	1.23	4.38E-01
acetyl-CoA transport (GO:0015876)	2	2	1.62	+	1.23	4.82E-01
regulation of histone H3-K36 trimethylation (GO:2001253)	4	4	3.24	+	1.23	4.07E-01
choline transport (GO:0015871)	1	1	.81	+	1.23	5.55E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S) (GO:0002109)	1	1	.81	+	1.23	5.55E-01
generation of mature 3'-end of 5S rRNA generated by RNA polymerase III (GO:0002107)	1	1	.81	+	1.23	5.55E-01
positive regulation of cellular amine catabolic process (GO:0033243)	1	1	.81	+	1.23	5.55E-01
regulation of cellular amine catabolic process (GO:0033241)	2	2	1.62	+	1.23	4.82E-01
positive regulation of cellular amine metabolic process (GO:0033240)	4	4	3.24	+	1.23	4.07E-01
tRNA wobble cytosine modification (GO:0002101)	1	1	.81	+	1.23	5.55E-01
positive regulation of histone deacetylation (GO:0031065)	3	3	2.43	+	1.23	4.38E-01
tRNA wobble adenosine to inosine editing (GO:0002100)	4	4	3.24	+	1.23	4.07E-01
positive regulation of histone methylation (GO:0031062)	5	5	4.05	+	1.23	3.81E-01
negative regulation of histone methylation (GO:0031061)	1	1	.81	+	1.23	5.55E-01
negative regulation of phosphatidylcholine biosynthetic process (GO:2001246)	2	2	1.62	+	1.23	4.82E-01
pyrimidine nucleoside transport (GO:0015864)	2	2	1.62	+	1.23	4.82E-01
uridine transport (GO:0015862)	1	1	.81	+	1.23	5.55E-01
cytidine transport (GO:0015861)	1	1	.81	+	1.23	5.55E-01
positive regulation of protein sumoylation (GO:0033235)	2	2	1.62	+	1.23	4.82E-01
regulation of protein sumoylation (GO:0033233)	2	2	1.62	+	1.23	4.82E-01
pre-miRNA processing (GO:0031054)	2	2	1.62	+	1.23	4.82E-01
primary miRNA processing (GO:0031053)	2	2	1.62	+	1.23	4.82E-01
dsRNA processing (GO:0031050)	2	2	1.62	+	1.23	4.82E-01
nucleoside transport (GO:0015858)	4	4	3.24	+	1.23	4.07E-01
uracil transport (GO:0015857)	1	1	.81	+	1.23	5.55E-01
cytosine transport (GO:0015856)	3	3	2.43	+	1.23	4.38E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	1	1	.81	+	1.23	5.55E-01
pyrimidine nucleobase transport (GO:0015855)	4	4	3.24	+	1.23	4.07E-01
regulation of apoptotic signaling pathway (GO:2001233)	1	1	.81	+	1.23	5.55E-01
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197)	1	1	.81	+	1.23	5.55E-01
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196)	1	1	.81	+	1.23	5.55E-01
pyrimidine ribonucleoside diphosphate catabolic process (GO:0009195)	1	1	.81	+	1.23	5.55E-01
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	1	1	.81	+	1.23	5.55E-01
gene silencing by RNA (GO:0031047)	4	4	3.24	+	1.23	4.07E-01
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	2	2	1.62	+	1.23	4.82E-01
ribonucleoside diphosphate catabolic process (GO:0009191)	1	1	.81	+	1.23	5.55E-01
cyclic nucleotide biosynthetic process (GO:0009190)	1	1	.81	+	1.23	5.55E-01
spermidine transport (GO:0015848)	5	5	4.05	+	1.23	3.81E-01
putrescine transport (GO:0015847)	5	5	4.05	+	1.23	3.81E-01
regulation of chloride transport (GO:2001225)	1	1	.81	+	1.23	5.55E-01
urea transport (GO:0015840)	2	2	1.62	+	1.23	4.82E-01
regulation of transcription from RNA polymerase II promoter in response to iron ion starvation (GO:0033217)	1	1	.81	+	1.23	5.55E-01
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	1	1	.81	+	1.23	5.55E-01
ribonucleoside diphosphate biosynthetic process (GO:0009188)	4	4	3.24	+	1.23	4.07E-01
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	1	1	.81	+	1.23	5.55E-01
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	3	3	2.43	+	1.23	4.38E-01
amine transport (GO:0015837)	2	2	1.62	+	1.23	4.82E-01
regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:2001210)	1	1	.81	+	1.23	5.55E-01
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	3	3	2.43	+	1.23	4.38E-01
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	3	3	2.43	+	1.23	4.38E-01
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	10	10	8.10	+	1.23	2.96E-01
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	10	10	8.10	+	1.23	2.96E-01
cytosol to endoplasmic reticulum transport (GO:0046967)	1	1	.81	+	1.23	5.55E-01
positive regulation of transcription elongation from RNA polymerase I promoter (GO:2001209)	8	8	6.48	+	1.23	3.24E-01
negative regulation of transcription elongation by RNA polymerase I (GO:2001208)	2	2	1.62	+	1.23	4.82E-01
regulation of transcription elongation from RNA polymerase I promoter (GO:2001207)	8	8	6.48	+	1.23	3.24E-01
3'-phosphoadenosine 5'-phosphosulfate transport (GO:0046963)	1	1	.81	+	1.23	5.55E-01
L-serine transport (GO:0015825)	3	3	2.43	+	1.23	4.38E-01
proline transport (GO:0015824)	7	7	5.67	+	1.23	3.41E-01
ornithine transport (GO:0015822)	3	3	2.43	+	1.23	4.38E-01
methionine transport (GO:0015821)	2	2	1.62	+	1.23	4.82E-01
G1 DNA damage checkpoint (GO:0044783)	4	4	3.24	+	1.23	4.07E-01
cilium organization (GO:0044782)	1	1	.81	+	1.23	5.55E-01
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	22	22	17.82	+	1.23	1.88E-01
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	5	5	4.05	+	1.23	3.81E-01
lysine transport (GO:0015819)	2	2	1.62	+	1.23	4.82E-01
tRNA 5'-leader removal (GO:0001682)	2	2	1.62	+	1.23	4.82E-01
histidine transport (GO:0015817)	1	1	.81	+	1.23	5.55E-01
glycine transport (GO:0015816)	2	2	1.62	+	1.23	4.82E-01
tRNA 3'-terminal CCA addition (GO:0001680)	1	1	.81	+	1.23	5.55E-01
L-glutamate transmembrane transport (GO:0015813)	4	4	3.24	+	1.23	4.07E-01
gamma-aminobutyric acid transport (GO:0015812)	2	2	1.62	+	1.23	4.82E-01
L-cystine transport (GO:0015811)	1	1	.81	+	1.23	5.55E-01
aspartate transmembrane transport (GO:0015810)	1	1	.81	+	1.23	5.55E-01
regulation of cohesin unloading (GO:1905343)	2	2	1.62	+	1.23	4.82E-01
meiotic cell cycle phase transition (GO:0044771)	1	1	.81	+	1.23	5.55E-01
deoxyribonucleoside monophosphate catabolic process (GO:0009159)	2	2	1.62	+	1.23	4.82E-01
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	3	3	2.43	+	1.23	4.38E-01
purine deoxyribonucleotide catabolic process (GO:0009155)	1	1	.81	+	1.23	5.55E-01
purine deoxyribonucleotide metabolic process (GO:0009151)	1	1	.81	+	1.23	5.55E-01
formation of translation initiation ternary complex (GO:0001677)	1	1	.81	+	1.23	5.55E-01
long-chain fatty acid metabolic process (GO:0001676)	8	8	6.48	+	1.23	3.24E-01
L-amino acid transport (GO:0015807)	15	15	12.15	+	1.23	2.42E-01
S-methylmethionine transport (GO:0015806)	1	1	.81	+	1.23	5.55E-01
positive regulation of cohesin unloading (GO:1905339)	2	2	1.62	+	1.23	4.82E-01
S-adenosyl-L-methionine transport (GO:0015805)	2	2	1.62	+	1.23	4.82E-01
neutral amino acid transport (GO:0015804)	15	15	12.15	+	1.23	2.42E-01
branched-chain amino acid transport (GO:0015803)	3	3	2.43	+	1.23	4.38E-01
nucleoside monophosphate phosphorylation (GO:0046940)	7	7	5.67	+	1.23	3.41E-01
acidic amino acid transport (GO:0015800)	4	4	3.24	+	1.23	4.07E-01
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	2	2	1.62	+	1.23	4.82E-01
purine nucleoside triphosphate catabolic process (GO:0009146)	2	2	1.62	+	1.23	4.82E-01
peptidyl-lysine deacetylation (GO:0034983)	1	1	.81	+	1.23	5.55E-01
nucleoside triphosphate catabolic process (GO:0009143)	2	2	1.62	+	1.23	4.82E-01
pyrimidine nucleoside diphosphate catabolic process (GO:0009140)	1	1	.81	+	1.23	5.55E-01
response to hypoxia (GO:0001666)	5	5	4.05	+	1.23	3.81E-01
phytochelatin biosynthetic process (GO:0046938)	2	2	1.62	+	1.23	4.82E-01
phytochelatin metabolic process (GO:0046937)	2	2	1.62	+	1.23	4.82E-01
sphingoid long-chain base transport (GO:1905329)	2	2	1.62	+	1.23	4.82E-01
potassium ion export across plasma membrane (GO:0097623)	1	1	.81	+	1.23	5.55E-01
negative regulation of autophagy of mitochondrion (GO:1903147)	3	3	2.43	+	1.23	4.38E-01
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	2	2	1.62	+	1.23	4.82E-01
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	3	3	2.43	+	1.23	4.38E-01
protein folding in endoplasmic reticulum (GO:0034975)	14	14	11.34	+	1.23	2.51E-01
purine nucleoside diphosphate biosynthetic process (GO:0009136)	3	3	2.43	+	1.23	4.38E-01
