




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
membrane lipid biosynthetic process (GO:0046467)	54	3	.99	+	3.03	7.80E-02
ribosomal subunit export from nucleus (GO:0000054)	18	1	.33	+	3.03	2.81E-01
maturation of SSU-rRNA (GO:0030490)	55	3	1.01	+	2.97	8.14E-02
RNA methylation (GO:0001510)	37	2	.68	+	2.95	1.48E-01
ribonucleoside metabolic process (GO:0009119)	19	1	.35	+	2.87	2.95E-01
fungal-type cell wall organization or biogenesis (GO:0071852)	76	4	1.39	+	2.87	5.23E-02
asexual reproduction (GO:0019954)	19	1	.35	+	2.87	2.95E-01
cellular carbohydrate catabolic process (GO:0044275)	38	2	.70	+	2.87	1.55E-01
cellular carbohydrate metabolic process (GO:0044262)	114	6	2.09	+	2.87	1.93E-02
positive regulation of response to stimulus (GO:0048584)	19	1	.35	+	2.87	2.95E-01
transition metal ion transport (GO:0000041)	39	2	.72	+	2.80	1.61E-01
tRNA modification (GO:0006400)	59	3	1.08	+	2.77	9.55E-02
cell wall organization or biogenesis (GO:0071554)	119	6	2.18	+	2.75	2.33E-02
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	20	1	.37	+	2.73	3.07E-01
thioester metabolic process (GO:0035383)	20	1	.37	+	2.73	3.07E-01
methionine biosynthetic process (GO:0009086)	20	1	.37	+	2.73	3.07E-01
polyol catabolic process (GO:0046174)	20	1	.37	+	2.73	3.07E-01
ADP metabolic process (GO:0046031)	20	1	.37	+	2.73	3.07E-01
cellular developmental process (GO:0048869)	40	2	.73	+	2.73	1.67E-01
calcium ion transport (GO:0006816)	20	1	.37	+	2.73	3.07E-01
nucleoside diphosphate phosphorylation (GO:0006165)	20	1	.37	+	2.73	3.07E-01
acyl-CoA metabolic process (GO:0006637)	20	1	.37	+	2.73	3.07E-01
amino acid transport (GO:0006865)	41	2	.75	+	2.66	1.74E-01
metal ion transport (GO:0030001)	83	4	1.52	+	2.63	6.76E-02
nucleotide phosphorylation (GO:0046939)	21	1	.39	+	2.60	3.20E-01
cellular response to environmental stimulus (GO:0104004)	21	1	.39	+	2.60	3.20E-01
purine ribonucleoside diphosphate metabolic process (GO:0009179)	21	1	.39	+	2.60	3.20E-01
purine nucleoside diphosphate metabolic process (GO:0009135)	21	1	.39	+	2.60	3.20E-01
tRNA methylation (GO:0030488)	21	1	.39	+	2.60	3.20E-01
cellular polysaccharide biosynthetic process (GO:0033692)	21	1	.39	+	2.60	3.20E-01
cellular response to abiotic stimulus (GO:0071214)	21	1	.39	+	2.60	3.20E-01
autophagosome organization (GO:1905037)	21	1	.39	+	2.60	3.20E-01
autophagosome assembly (GO:0000045)	21	1	.39	+	2.60	3.20E-01
glucan catabolic process (GO:0009251)	21	1	.39	+	2.60	3.20E-01
methionine metabolic process (GO:0006555)	21	1	.39	+	2.60	3.20E-01
membrane lipid metabolic process (GO:0006643)	63	3	1.16	+	2.60	1.10E-01
cellular ion homeostasis (GO:0006873)	85	4	1.56	+	2.57	7.24E-02
RNA modification (GO:0009451)	85	4	1.56	+	2.57	7.24E-02
cellular cation homeostasis (GO:0030003)	85	4	1.56	+	2.57	7.24E-02
fatty acid metabolic process (GO:0006631)	64	3	1.17	+	2.56	1.14E-01
chemical homeostasis (GO:0048878)	107	5	1.96	+	2.55	4.83E-02
monocarboxylic acid metabolic process (GO:0032787)	129	6	2.37	+	2.54	3.26E-02
inorganic ion homeostasis (GO:0098771)	86	4	1.58	+	2.54	7.48E-02
cation homeostasis (GO:0055080)	87	4	1.60	+	2.51	7.73E-02
cellular transition metal ion homeostasis (GO:0046916)	44	2	.81	+	2.48	1.94E-01
pyrimidine-containing compound biosynthetic process (GO:0072528)	22	1	.40	+	2.48	3.32E-01
alcohol catabolic process (GO:0046164)	22	1	.40	+	2.48	3.32E-01
regulation of intracellular signal transduction (GO:1902531)	44	2	.81	+	2.48	1.94E-01
ribonucleotide biosynthetic process (GO:0009260)	66	3	1.21	+	2.48	1.22E-01
ion homeostasis (GO:0050801)	89	4	1.63	+	2.45	8.24E-02
transition metal ion homeostasis (GO:0055076)	45	2	.83	+	2.42	2.00E-01
beta-glucan metabolic process (GO:0051273)	23	1	.42	+	2.37	3.45E-01
cell development (GO:0048468)	23	1	.42	+	2.37	3.45E-01
organelle disassembly (GO:1903008)	23	1	.42	+	2.37	3.45E-01
polysaccharide biosynthetic process (GO:0000271)	23	1	.42	+	2.37	3.45E-01
rRNA modification (GO:0000154)	23	1	.42	+	2.37	3.45E-01
cellular chemical homeostasis (GO:0055082)	92	4	1.69	+	2.37	9.04E-02
regulation of signaling (GO:0023051)	47	2	.86	+	2.32	2.14E-01
regulation of signal transduction (GO:0009966)	47	2	.86	+	2.32	2.14E-01
ribose phosphate biosynthetic process (GO:0046390)	71	3	1.30	+	2.30	1.43E-01
ribonucleoside diphosphate metabolic process (GO:0009185)	24	1	.44	+	2.27	3.56E-01
cellular response to organic substance (GO:0071310)	48	2	.88	+	2.27	2.20E-01
cellular calcium ion homeostasis (GO:0006874)	24	1	.44	+	2.27	3.56E-01
anatomical structure homeostasis (GO:0060249)	24	1	.44	+	2.27	3.56E-01
telomere maintenance (GO:0000723)	24	1	.44	+	2.27	3.56E-01
telomere organization (GO:0032200)	24	1	.44	+	2.27	3.56E-01
calcium ion homeostasis (GO:0055074)	24	1	.44	+	2.27	3.56E-01
regulation of cell communication (GO:0010646)	49	2	.90	+	2.23	2.27E-01
homeostatic process (GO:0042592)	148	6	2.71	+	2.21	5.64E-02
methylation (GO:0032259)	124	5	2.27	+	2.20	7.95E-02
vitamin biosynthetic process (GO:0009110)	25	1	.46	+	2.18	3.68E-01
water-soluble vitamin biosynthetic process (GO:0042364)	25	1	.46	+	2.18	3.68E-01
cellular metal ion homeostasis (GO:0006875)	75	3	1.38	+	2.18	1.60E-01
chitin metabolic process (GO:0006030)	25	1	.46	+	2.18	3.68E-01
cellular response to starvation (GO:0009267)	25	1	.46	+	2.18	3.68E-01
nucleotide-sugar metabolic process (GO:0009225)	25	1	.46	+	2.18	3.68E-01
alcohol metabolic process (GO:0006066)	76	3	1.39	+	2.15	1.64E-01
metal ion homeostasis (GO:0055065)	77	3	1.41	+	2.12	1.69E-01
ribonucleotide metabolic process (GO:0009259)	103	4	1.89	+	2.12	1.22E-01
ribonucleoside monophosphate biosynthetic process (GO:0009156)	26	1	.48	+	2.10	3.80E-01
cellular response to topologically incorrect protein (GO:0035967)	26	1	.48	+	2.10	3.80E-01
organic hydroxy compound catabolic process (GO:1901616)	26	1	.48	+	2.10	3.80E-01
cellular carbohydrate biosynthetic process (GO:0034637)	26	1	.48	+	2.10	3.80E-01
response to chemical (GO:0042221)	185	7	3.39	+	2.06	5.55E-02
organic acid transmembrane transport (GO:1903825)	53	2	.97	+	2.06	2.54E-01
carboxylic acid transmembrane transport (GO:1905039)	53	2	.97	+	2.06	2.54E-01
macromolecule methylation (GO:0043414)	80	3	1.47	+	2.04	1.82E-01
nucleoside diphosphate metabolic process (GO:0009132)	27	1	.50	+	2.02	3.91E-01
response to topologically incorrect protein (GO:0035966)	27	1	.50	+	2.02	3.91E-01
sporulation resulting in formation of a cellular spore (GO:0030435)	27	1	.50	+	2.02	3.91E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	27	1	.50	+	2.02	3.91E-01
sulfur compound biosynthetic process (GO:0044272)	55	2	1.01	+	1.98	2.68E-01
cellular homeostasis (GO:0019725)	110	4	2.02	+	1.98	1.45E-01
ribose phosphate metabolic process (GO:0019693)	111	4	2.04	+	1.96	1.48E-01
response to starvation (GO:0042594)	28	1	.51	+	1.95	4.02E-01
purine ribonucleotide biosynthetic process (GO:0009152)	56	2	1.03	+	1.95	2.74E-01
nucleobase metabolic process (GO:0009112)	28	1	.51	+	1.95	4.02E-01
sporulation (GO:0043934)	28	1	.51	+	1.95	4.02E-01
signal transduction by protein phosphorylation (GO:0023014)	28	1	.51	+	1.95	4.02E-01
water-soluble vitamin metabolic process (GO:0006767)	28	1	.51	+	1.95	4.02E-01
vitamin metabolic process (GO:0006766)	28	1	.51	+	1.95	4.02E-01
sulfur amino acid biosynthetic process (GO:0000097)	28	1	.51	+	1.95	4.02E-01
carbohydrate derivative metabolic process (GO:1901135)	311	11	5.70	+	1.93	2.92E-02
pyrimidine-containing compound metabolic process (GO:0072527)	29	1	.53	+	1.88	4.13E-01
nucleoside monophosphate biosynthetic process (GO:0009124)	29	1	.53	+	1.88	4.13E-01
tRNA processing (GO:0008033)	88	3	1.61	+	1.86	2.20E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	209	7	3.83	+	1.83	9.17E-02
purine ribonucleotide metabolic process (GO:0009150)	90	3	1.65	+	1.82	2.29E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	30	1	.55	+	1.82	4.24E-01
purine nucleotide biosynthetic process (GO:0006164)	60	2	1.10	+	1.82	3.01E-01
regulation of proteolysis (GO:0030162)	30	1	.55	+	1.82	4.24E-01
detoxification (GO:0098754)	60	2	1.10	+	1.82	3.01E-01
nucleotide metabolic process (GO:0009117)	152	5	2.79	+	1.79	1.49E-01
response to toxic substance (GO:0009636)	61	2	1.12	+	1.79	3.08E-01
negative regulation of cellular component organization (GO:0051129)	31	1	.57	+	1.76	4.34E-01
protein import into nucleus (GO:0006606)	31	1	.57	+	1.76	4.34E-01
ncRNA processing (GO:0034470)	249	8	4.57	+	1.75	8.94E-02
nucleoside phosphate metabolic process (GO:0006753)	157	5	2.88	+	1.74	1.63E-01
generation of precursor metabolites and energy (GO:0006091)	126	4	2.31	+	1.73	2.02E-01
ribosome biogenesis (GO:0042254)	223	7	4.09	+	1.71	1.18E-01
divalent inorganic cation homeostasis (GO:0072507)	32	1	.59	+	1.70	4.45E-01
cellular divalent inorganic cation homeostasis (GO:0072503)	32	1	.59	+	1.70	4.45E-01
mannosylation (GO:0097502)	32	1	.59	+	1.70	4.45E-01
protein localization to nucleus (GO:0034504)	32	1	.59	+	1.70	4.45E-01
aminoglycan metabolic process (GO:0006022)	32	1	.59	+	1.70	4.45E-01
purine nucleotide metabolic process (GO:0006163)	96	3	1.76	+	1.70	2.59E-01
rRNA processing (GO:0006364)	162	5	2.97	+	1.68	1.78E-01
carboxylic acid transport (GO:0046942)	65	2	1.19	+	1.68	3.35E-01
organic acid transport (GO:0015849)	65	2	1.19	+	1.68	3.35E-01
regulation of response to stimulus (GO:0048583)	65	2	1.19	+	1.68	3.35E-01
small molecule metabolic process (GO:0044281)	684	21	12.55	+	1.67	1.42E-02
rRNA metabolic process (GO:0016072)	164	5	3.01	+	1.66	1.85E-01
chromatin assembly (GO:0031497)	33	1	.61	+	1.65	4.55E-01
nucleosome organization (GO:0034728)	33	1	.61	+	1.65	4.55E-01
oxidation-reduction process (GO:0055114)	665	20	12.20	+	1.64	2.03E-02
purine-containing compound biosynthetic process (GO:0072522)	67	2	1.23	+	1.63	3.48E-01
nucleotide biosynthetic process (GO:0009165)	101	3	1.85	+	1.62	2.83E-01
organic anion transport (GO:0015711)	101	3	1.85	+	1.62	2.83E-01
nucleoside phosphate biosynthetic process (GO:1901293)	101	3	1.85	+	1.62	2.83E-01
import into nucleus (GO:0051170)	34	1	.62	+	1.60	4.65E-01
aspartate family amino acid biosynthetic process (GO:0009067)	34	1	.62	+	1.60	4.65E-01
cell wall organization (GO:0071555)	68	2	1.25	+	1.60	3.55E-01
external encapsulating structure organization (GO:0045229)	68	2	1.25	+	1.60	3.55E-01
RNA processing (GO:0006396)	414	12	7.59	+	1.58	8.01E-02
lipid transport (GO:0006869)	35	1	.64	+	1.56	4.74E-01
polyol metabolic process (GO:0019751)	35	1	.64	+	1.56	4.74E-01
mitotic sister chromatid segregation (GO:0000070)	35	1	.64	+	1.56	4.74E-01
cellular response to external stimulus (GO:0071496)	36	1	.66	+	1.51	4.84E-01
cellular response to nutrient levels (GO:0031669)	36	1	.66	+	1.51	4.84E-01
cellular response to extracellular stimulus (GO:0031668)	36	1	.66	+	1.51	4.84E-01
macroautophagy (GO:0016236)	36	1	.66	+	1.51	4.84E-01
anatomical structure morphogenesis (GO:0009653)	36	1	.66	+	1.51	4.84E-01
chromatin assembly or disassembly (GO:0006333)	36	1	.66	+	1.51	4.84E-01
vacuole organization (GO:0007033)	36	1	.66	+	1.51	4.84E-01
ncRNA metabolic process (GO:0034660)	290	8	5.32	+	1.50	1.66E-01
nucleoside monophosphate metabolic process (GO:0009123)	37	1	.68	+	1.47	4.93E-01
organic hydroxy compound metabolic process (GO:1901615)	111	3	2.04	+	1.47	3.33E-01
purine-containing compound metabolic process (GO:0072521)	114	3	2.09	+	1.43	3.48E-01
protein N-linked glycosylation (GO:0006487)	38	1	.70	+	1.43	5.03E-01
carbohydrate biosynthetic process (GO:0016051)	38	1	.70	+	1.43	5.03E-01
anatomical structure development (GO:0048856)	38	1	.70	+	1.43	5.03E-01
regulation of cellular catabolic process (GO:0031329)	38	1	.70	+	1.43	5.03E-01
sulfur amino acid metabolic process (GO:0000096)	38	1	.70	+	1.43	5.03E-01
regulation of biological quality (GO:0065008)	267	7	4.90	+	1.43	2.21E-01
carboxylic acid biosynthetic process (GO:0046394)	153	4	2.81	+	1.43	3.09E-01
sulfur compound metabolic process (GO:0006790)	115	3	2.11	+	1.42	3.53E-01
organic acid biosynthetic process (GO:0016053)	154	4	2.82	+	1.42	3.13E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	117	3	2.15	+	1.40	3.63E-01
protein modification by small protein conjugation (GO:0032446)	117	3	2.15	+	1.40	3.63E-01
DNA packaging (GO:0006323)	39	1	.72	+	1.40	5.12E-01
response to organic substance (GO:0010033)	78	2	1.43	+	1.40	4.19E-01
ribonucleoprotein complex biogenesis (GO:0022613)	276	7	5.06	+	1.38	2.45E-01
organophosphate metabolic process (GO:0019637)	316	8	5.80	+	1.38	2.26E-01
carboxylic acid metabolic process (GO:0019752)	360	9	6.60	+	1.36	2.17E-01
response to nutrient levels (GO:0031667)	40	1	.73	+	1.36	5.21E-01
mitochondrial gene expression (GO:0140053)	40	1	.73	+	1.36	5.21E-01
lipid biosynthetic process (GO:0008610)	160	4	2.93	+	1.36	3.38E-01
divalent metal ion transport (GO:0070838)	40	1	.73	+	1.36	5.21E-01
lipid localization (GO:0010876)	40	1	.73	+	1.36	5.21E-01
mRNA processing (GO:0006397)	160	4	2.93	+	1.36	3.38E-01
response to extracellular stimulus (GO:0009991)	40	1	.73	+	1.36	5.21E-01
RNA 3'-end processing (GO:0031123)	40	1	.73	+	1.36	5.21E-01
organic substance metabolic process (GO:0071704)	2894	72	53.09	+	1.36	1.43E-03
nuclear transport (GO:0051169)	81	2	1.49	+	1.35	4.38E-01
catabolic process (GO:0009056)	648	16	11.89	+	1.35	1.39E-01
nucleocytoplasmic transport (GO:0006913)	81	2	1.49	+	1.35	4.38E-01
mitotic nuclear division (GO:0140014)	41	1	.75	+	1.33	5.29E-01
organophosphate ester transport (GO:0015748)	41	1	.75	+	1.33	5.29E-01
aspartate family amino acid metabolic process (GO:0009066)	41	1	.75	+	1.33	5.29E-01
ribosome assembly (GO:0042255)	41	1	.75	+	1.33	5.29E-01
protein polyubiquitination (GO:0000209)	41	1	.75	+	1.33	5.29E-01
carbohydrate derivative biosynthetic process (GO:1901137)	206	5	3.78	+	1.32	3.28E-01
organophosphate biosynthetic process (GO:0090407)	206	5	3.78	+	1.32	3.28E-01
organic substance catabolic process (GO:1901575)	577	14	10.58	+	1.32	1.75E-01
oxoacid metabolic process (GO:0043436)	371	9	6.81	+	1.32	2.43E-01
negative regulation of cellular metabolic process (GO:0031324)	124	3	2.27	+	1.32	3.98E-01
organic acid metabolic process (GO:0006082)	374	9	6.86	+	1.31	2.50E-01
metabolic process (GO:0008152)	3452	83	63.32	+	1.31	1.32E-03
response to organonitrogen compound (GO:0010243)	42	1	.77	+	1.30	5.38E-01
response to nitrogen compound (GO:1901698)	42	1	.77	+	1.30	5.38E-01
sister chromatid segregation (GO:0000819)	42	1	.77	+	1.30	5.38E-01
small molecule biosynthetic process (GO:0044283)	294	7	5.39	+	1.30	2.96E-01
cellular lipid catabolic process (GO:0044242)	42	1	.77	+	1.30	5.38E-01
cellular lipid metabolic process (GO:0044255)	254	6	4.66	+	1.29	3.24E-01
response to endoplasmic reticulum stress (GO:0034976)	43	1	.79	+	1.27	5.46E-01
cell communication (GO:0007154)	215	5	3.94	+	1.27	3.60E-01
lipid metabolic process (GO:0006629)	302	7	5.54	+	1.26	3.19E-01
primary metabolic process (GO:0044238)	2697	62	49.47	+	1.25	2.27E-02
amide biosynthetic process (GO:0043604)	305	7	5.59	+	1.25	3.28E-01
small molecule catabolic process (GO:0044282)	131	3	2.40	+	1.25	4.32E-01
divalent inorganic cation transport (GO:0072511)	44	1	.81	+	1.24	5.55E-01
anion transmembrane transport (GO:0098656)	88	2	1.61	+	1.24	4.81E-01
protein lipidation (GO:0006497)	44	1	.81	+	1.24	5.55E-01
anion transport (GO:0006820)	132	3	2.42	+	1.24	4.37E-01
lipoprotein biosynthetic process (GO:0042158)	44	1	.81	+	1.24	5.55E-01
regulation of catabolic process (GO:0009894)	44	1	.81	+	1.24	5.55E-01
tRNA metabolic process (GO:0006399)	134	3	2.46	+	1.22	4.46E-01
cellular amide metabolic process (GO:0043603)	358	8	6.57	+	1.22	3.36E-01
protein methylation (GO:0006479)	45	1	.83	+	1.21	5.63E-01
response to external stimulus (GO:0009605)	45	1	.83	+	1.21	5.63E-01
protein alkylation (GO:0008213)	45	1	.83	+	1.21	5.63E-01
organonitrogen compound biosynthetic process (GO:1901566)	677	15	12.42	+	1.21	2.61E-01
ion transport (GO:0006811)	317	7	5.81	+	1.20	3.63E-01
cellular component biogenesis (GO:0044085)	595	13	10.91	+	1.19	2.98E-01
quinone biosynthetic process (GO:1901663)	46	1	.84	+	1.19	5.71E-01
quinone metabolic process (GO:1901661)	46	1	.84	+	1.19	5.71E-01
regulation of chromosome organization (GO:0033044)	46	1	.84	+	1.19	5.71E-01
signaling (GO:0023052)	184	4	3.38	+	1.19	4.37E-01
ubiquinone biosynthetic process (GO:0006744)	46	1	.84	+	1.19	5.71E-01
ubiquinone metabolic process (GO:0006743)	46	1	.84	+	1.19	5.71E-01
signal transduction (GO:0007165)	184	4	3.38	+	1.19	4.37E-01
cellular nitrogen compound metabolic process (GO:0034641)	1434	31	26.30	+	1.18	1.85E-01
cellular metabolic process (GO:0044237)	2817	60	51.67	+	1.16	9.68E-02
organelle assembly (GO:0070925)	94	2	1.72	+	1.16	5.15E-01
mRNA splicing, via spliceosome (GO:0000398)	94	2	1.72	+	1.16	5.15E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	94	2	1.72	+	1.16	5.15E-01
ketone biosynthetic process (GO:0042181)	47	1	.86	+	1.16	5.79E-01
lipoprotein metabolic process (GO:0042157)	47	1	.86	+	1.16	5.79E-01
response to stress (GO:0006950)	378	8	6.93	+	1.15	3.91E-01
RNA splicing, via transesterification reactions (GO:0000375)	95	2	1.74	+	1.15	5.21E-01
biological_process (GO:0008150)	5050	106	92.64	+	1.14	2.28E-02
macromolecule modification (GO:0043412)	716	15	13.13	+	1.14	3.35E-01
phosphorus metabolic process (GO:0006793)	623	13	11.43	+	1.14	3.57E-01
RNA metabolic process (GO:0016070)	671	14	12.31	+	1.14	3.48E-01
phosphorylation (GO:0016310)	288	6	5.28	+	1.14	4.34E-01
nucleobase-containing compound metabolic process (GO:0006139)	1107	23	20.31	+	1.13	2.94E-01
protein phosphorylation (GO:0006468)	146	3	2.68	+	1.12	5.02E-01
gene expression (GO:0010467)	879	18	16.12	+	1.12	3.48E-01
fungal-type cell wall organization (GO:0031505)	49	1	.90	+	1.11	5.94E-01
heterocycle metabolic process (GO:0046483)	1185	24	21.74	+	1.10	3.34E-01
regulation of transcription by RNA polymerase II (GO:0006357)	348	7	6.38	+	1.10	4.56E-01
cellular aromatic compound metabolic process (GO:0006725)	1194	24	21.90	+	1.10	3.48E-01
ribonucleoprotein complex export from nucleus (GO:0071426)	50	1	.92	+	1.09	6.01E-01
protein dephosphorylation (GO:0006470)	50	1	.92	+	1.09	6.01E-01
response to abiotic stimulus (GO:0009628)	50	1	.92	+	1.09	6.01E-01
establishment of organelle localization (GO:0051656)	50	1	.92	+	1.09	6.01E-01
ribonucleoprotein complex localization (GO:0071166)	50	1	.92	+	1.09	6.01E-01
protein modification by small protein conjugation or removal (GO:0070647)	150	3	2.75	+	1.09	5.20E-01
organic substance biosynthetic process (GO:1901576)	1151	23	21.11	+	1.09	3.64E-01
regulation of cellular metabolic process (GO:0031323)	653	13	11.98	+	1.09	4.21E-01
cation transport (GO:0006812)	201	4	3.69	+	1.08	5.05E-01
nucleobase-containing compound catabolic process (GO:0034655)	101	2	1.85	+	1.08	5.54E-01
cellular response to stress (GO:0033554)	354	7	6.49	+	1.08	4.74E-01
phosphate-containing compound metabolic process (GO:0006796)	607	12	11.13	+	1.08	4.37E-01
nitrogen compound metabolic process (GO:0006807)	2383	47	43.71	+	1.08	3.08E-01
biological regulation (GO:0065007)	1268	25	23.26	+	1.07	3.81E-01
cellular amino acid catabolic process (GO:0009063)	51	1	.94	+	1.07	6.09E-01
protein ubiquitination (GO:0016567)	102	2	1.87	+	1.07	5.59E-01
protein export from nucleus (GO:0006611)	51	1	.94	+	1.07	6.09E-01
cellular process (GO:0009987)	4188	82	76.82	+	1.07	2.35E-01
biosynthetic process (GO:0009058)	1227	24	22.51	+	1.07	4.01E-01
cellular biosynthetic process (GO:0044249)	1176	23	21.57	+	1.07	4.05E-01
organonitrogen compound metabolic process (GO:1901564)	1587	31	29.11	+	1.06	3.81E-01
macromolecule metabolic process (GO:0043170)	2009	39	36.85	+	1.06	3.73E-01
cellular component disassembly (GO:0022411)	52	1	.95	+	1.05	6.16E-01
organic cyclic compound metabolic process (GO:1901360)	1251	24	22.95	+	1.05	4.40E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	680	13	12.47	+	1.04	4.80E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	527	10	9.67	+	1.03	5.02E-01
regulation of cellular protein metabolic process (GO:0032268)	159	3	2.92	+	1.03	5.60E-01
regulation of macromolecule biosynthetic process (GO:0010556)	530	10	9.72	+	1.03	5.10E-01
regulation of nitrogen compound metabolic process (GO:0051171)	639	12	11.72	+	1.02	5.09E-01
regulation of cellular biosynthetic process (GO:0031326)	535	10	9.81	+	1.02	5.22E-01
regulation of biosynthetic process (GO:0009889)	535	10	9.81	+	1.02	5.22E-01
regulation of cellular process (GO:0050794)	970	18	17.79	+	1.01	5.16E-01
cellular response to stimulus (GO:0051716)	539	10	9.89	+	1.01	5.31E-01
regulation of primary metabolic process (GO:0080090)	647	12	11.87	+	1.01	5.27E-01
regulation of organelle organization (GO:0033043)	108	2	1.98	+	1.01	5.90E-01
cellular catabolic process (GO:0044248)	544	10	9.98	+	1.00	5.43E-01
mRNA metabolic process (GO:0016071)	218	4	4.00	+	1.00	5.69E-01
RNA export from nucleus (GO:0006405)	55	1	1.01	-	.99	7.32E-01
protein-containing complex localization (GO:0031503)	55	1	1.01	-	.99	7.32E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	500	9	9.17	-	.98	5.64E-01
