




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (995)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
homogentisate catabolic process (GO:1902000)	1	1	.17	+	5.91	1.56E-01
glycerol catabolic process (GO:0019563)	1	1	.17	+	5.91	1.56E-01
blue light signaling pathway (GO:0009785)	1	1	.17	+	5.91	1.56E-01
negative regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031631)	1	1	.17	+	5.91	1.56E-01
glutamate catabolic process to 2-oxoglutarate (GO:0019551)	1	1	.17	+	5.91	1.56E-01
oxalate transport (GO:0019532)	1	1	.17	+	5.91	1.56E-01
negative regulation of microfilament motor activity (GO:0120080)	1	1	.17	+	5.91	1.56E-01
synaptic signaling by nitric oxide (GO:0099163)	1	1	.17	+	5.91	1.56E-01
response to paclitaxel (GO:1901555)	1	1	.17	+	5.91	1.56E-01
IRE1-mediated unfolded protein response (GO:0036498)	1	1	.17	+	5.91	1.56E-01
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	1	1	.17	+	5.91	1.56E-01
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	2	2	.34	+	5.91	4.59E-02
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	1	1	.17	+	5.91	1.56E-01
regulation of anion transport (GO:0044070)	1	1	.17	+	5.91	1.56E-01
terpene catabolic process (GO:0046247)	1	1	.17	+	5.91	1.56E-01
cap mRNA methylation (GO:0036451)	1	1	.17	+	5.91	1.56E-01
negative regulation of protein binding (GO:0032091)	2	2	.34	+	5.91	4.59E-02
mRNA pseudouridine synthesis (GO:1990481)	1	1	.17	+	5.91	1.56E-01
ARF protein signal transduction (GO:0032011)	1	1	.17	+	5.91	1.56E-01
negative regulation of autophagosome size (GO:0045771)	1	1	.17	+	5.91	1.56E-01
positive regulation of protein localization to cell surface (GO:2000010)	1	1	.17	+	5.91	1.56E-01
box H/ACA snoRNA 3'-end processing (GO:0000495)	1	1	.17	+	5.91	1.56E-01
box C/D snoRNA 3'-end processing (GO:0000494)	1	1	.17	+	5.91	1.56E-01
regulation of protein localization to cell surface (GO:2000008)	1	1	.17	+	5.91	1.56E-01
vitamin transport (GO:0051180)	1	1	.17	+	5.91	1.56E-01
tendon development (GO:0035989)	1	1	.17	+	5.91	1.56E-01
protein deglycosylation involved in glycoprotein catabolic process (GO:0035977)	1	1	.17	+	5.91	1.56E-01
cardiolipin acyl-chain remodeling (GO:0035965)	1	1	.17	+	5.91	1.56E-01
negative regulation of DNA repair (GO:0045738)	1	1	.17	+	5.91	1.56E-01
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	2	2	.34	+	5.91	4.59E-02
negative regulation of glycogen biosynthetic process (GO:0045719)	1	1	.17	+	5.91	1.56E-01
branchiomotor neuron axon guidance (GO:0021785)	1	1	.17	+	5.91	1.56E-01
renal absorption (GO:0070293)	2	2	.34	+	5.91	4.59E-02
acetyl-CoA biosynthetic process from acetate (GO:0019427)	1	1	.17	+	5.91	1.56E-01
regulation of cytoplasmic transport (GO:1903649)	1	1	.17	+	5.91	1.56E-01
response to red or far red light (GO:0009639)	2	2	.34	+	5.91	4.59E-02
renal water transport (GO:0003097)	1	1	.17	+	5.91	1.56E-01
renal water homeostasis (GO:0003091)	1	1	.17	+	5.91	1.56E-01
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	1	1	.17	+	5.91	1.56E-01
imidazole-containing compound catabolic process (GO:0052805)	1	1	.17	+	5.91	1.56E-01
circadian regulation of heart rate (GO:0003053)	3	3	.51	+	5.91	1.50E-02
recycling endosome to Golgi transport (GO:0071955)	1	1	.17	+	5.91	1.56E-01
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response (GO:0006990)	1	1	.17	+	5.91	1.56E-01
vitamin A transport (GO:0071938)	1	1	.17	+	5.91	1.56E-01
hypotonic response (GO:0006971)	1	1	.17	+	5.91	1.56E-01
alternative mRNA splicing, via spliceosome (GO:0000380)	1	1	.17	+	5.91	1.56E-01
proton-transporting ATP synthase complex assembly (GO:0043461)	1	1	.17	+	5.91	1.56E-01
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	1	1	.17	+	5.91	1.56E-01
response to corticotropin-releasing hormone (GO:0043435)	1	1	.17	+	5.91	1.56E-01
response to red light (GO:0010114)	2	2	.34	+	5.91	4.59E-02
protein localization to chromosome, telomeric region (GO:0070198)	1	1	.17	+	5.91	1.56E-01
N-terminal peptidyl-methionine acetylation (GO:0017196)	2	2	.34	+	5.91	4.59E-02
UV-A, blue light phototransduction (GO:0009588)	2	2	.34	+	5.91	4.59E-02
polycistronic mRNA processing (GO:0031426)	1	1	.17	+	5.91	1.56E-01
modified amino acid transport (GO:0072337)	1	1	.17	+	5.91	1.56E-01
positive regulation of endosome to plasma membrane protein transport (GO:1905751)	1	1	.17	+	5.91	1.56E-01
regulation of endosome to plasma membrane protein transport (GO:1905749)	1	1	.17	+	5.91	1.56E-01
anterior midgut invagination (GO:0007375)	1	1	.17	+	5.91	1.56E-01
negative regulation of mitochondrial translation (GO:0070130)	1	1	.17	+	5.91	1.56E-01
anterior region determination (GO:0007355)	1	1	.17	+	5.91	1.56E-01
vesicle-mediated intercellular transport (GO:0110077)	1	1	.17	+	5.91	1.56E-01
lauric acid metabolic process (GO:0048252)	1	1	.17	+	5.91	1.56E-01
sperm capacitation (GO:0048240)	1	1	.17	+	5.91	1.56E-01
metarhodopsin inactivation (GO:0016060)	5	4	.85	+	4.73	1.09E-02
positive regulation of exocytosis (GO:0045921)	5	4	.85	+	4.73	1.09E-02
NAD metabolic process (GO:0019674)	5	4	.85	+	4.73	1.09E-02
triglyceride biosynthetic process (GO:0019432)	5	4	.85	+	4.73	1.09E-02
tricarboxylic acid metabolic process (GO:0072350)	5	4	.85	+	4.73	1.09E-02
terpenoid metabolic process (GO:0006721)	9	7	1.52	+	4.59	9.99E-04
response to light intensity (GO:0009642)	9	7	1.52	+	4.59	9.99E-04
NADH metabolic process (GO:0006734)	4	3	.68	+	4.43	3.14E-02
positive regulation of activin receptor signaling pathway (GO:0032927)	4	3	.68	+	4.43	3.14E-02
regulation of activin receptor signaling pathway (GO:0032925)	4	3	.68	+	4.43	3.14E-02
circadian temperature homeostasis (GO:0060086)	4	3	.68	+	4.43	3.14E-02
rRNA pseudouridine synthesis (GO:0031118)	4	3	.68	+	4.43	3.14E-02
tubulin complex assembly (GO:0007021)	4	3	.68	+	4.43	3.14E-02
temperature homeostasis (GO:0001659)	4	3	.68	+	4.43	3.14E-02
imaginal disc-derived wing hair site selection (GO:0035320)	4	3	.68	+	4.43	3.14E-02
pseudouridine synthesis (GO:0001522)	4	3	.68	+	4.43	3.14E-02
adaptation of rhodopsin mediated signaling (GO:0016062)	4	3	.68	+	4.43	3.14E-02
terminal cell fate specification, open tracheal system (GO:0035154)	4	3	.68	+	4.43	3.14E-02
establishment of proximal/distal cell polarity (GO:0022606)	4	3	.68	+	4.43	3.14E-02
citrate metabolic process (GO:0006101)	4	3	.68	+	4.43	3.14E-02
glycerolipid catabolic process (GO:0046503)	4	3	.68	+	4.43	3.14E-02
acylglycerol catabolic process (GO:0046464)	4	3	.68	+	4.43	3.14E-02
neutral lipid catabolic process (GO:0046461)	4	3	.68	+	4.43	3.14E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	4	3	.68	+	4.43	3.14E-02
light adaption (GO:0036367)	4	3	.68	+	4.43	3.14E-02
protein deglycosylation (GO:0006517)	7	5	1.18	+	4.22	7.32E-03
rhodopsin metabolic process (GO:0046154)	13	9	2.20	+	4.09	4.61E-04
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	3	2	.51	+	3.94	9.25E-02
response to ether (GO:0045472)	3	2	.51	+	3.94	9.25E-02
one-carbon metabolic process (GO:0006730)	6	4	1.02	+	3.94	1.99E-02
juvenile hormone metabolic process (GO:0006716)	3	2	.51	+	3.94	9.25E-02
sesquiterpenoid metabolic process (GO:0006714)	3	2	.51	+	3.94	9.25E-02
negative regulation of developmental pigmentation (GO:0048086)	3	2	.51	+	3.94	9.25E-02
sex-specific pigmentation (GO:0048071)	3	2	.51	+	3.94	9.25E-02
dosage compensation complex assembly involved in dosage compensation by hyperactivation of X chromosome (GO:0016457)	3	2	.51	+	3.94	9.25E-02
protein targeting to lysosome (GO:0006622)	6	4	1.02	+	3.94	1.99E-02
mitochondrion inheritance (GO:0000001)	3	2	.51	+	3.94	9.25E-02
negative regulation of calcium ion transmembrane transporter activity (GO:1901020)	3	2	.51	+	3.94	9.25E-02
proline catabolic process (GO:0006562)	3	2	.51	+	3.94	9.25E-02
histamine metabolic process (GO:0001692)	3	2	.51	+	3.94	9.25E-02
leucine transport (GO:0015820)	3	2	.51	+	3.94	9.25E-02
negative regulation of calcium ion transmembrane transport (GO:1903170)	3	2	.51	+	3.94	9.25E-02
positive phototaxis (GO:0046956)	3	2	.51	+	3.94	9.25E-02
ribonucleoside monophosphate catabolic process (GO:0009158)	3	2	.51	+	3.94	9.25E-02
branched-chain amino acid transport (GO:0015803)	3	2	.51	+	3.94	9.25E-02
nucleoside monophosphate catabolic process (GO:0009125)	3	2	.51	+	3.94	9.25E-02
cellular response to light intensity (GO:0071484)	3	2	.51	+	3.94	9.25E-02
negative regulation of axon extension (GO:0030517)	3	2	.51	+	3.94	9.25E-02
G protein-coupled receptor internalization (GO:0002031)	3	2	.51	+	3.94	9.25E-02
desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	3	2	.51	+	3.94	9.25E-02
fatty-acyl-CoA metabolic process (GO:0035337)	3	2	.51	+	3.94	9.25E-02
negative regulation of transcription regulatory region DNA binding (GO:2000678)	3	2	.51	+	3.94	9.25E-02
hormone catabolic process (GO:0042447)	3	2	.51	+	3.94	9.25E-02
targeting of mRNA for destruction involved in RNA interference (GO:0030423)	3	2	.51	+	3.94	9.25E-02
positive energy taxis (GO:0052128)	3	2	.51	+	3.94	9.25E-02
rhodopsin biosynthetic process (GO:0016063)	12	8	2.03	+	3.94	1.19E-03
actin filament network formation (GO:0051639)	3	2	.51	+	3.94	9.25E-02
homeostasis of number of cells within a tissue (GO:0048873)	3	2	.51	+	3.94	9.25E-02
notum morphogenesis (GO:0048802)	3	2	.51	+	3.94	9.25E-02
autophagy of peroxisome (GO:0030242)	3	2	.51	+	3.94	9.25E-02
positive regulation of Rac protein signal transduction (GO:0035022)	3	2	.51	+	3.94	9.25E-02
adaptation of signaling pathway (GO:0023058)	6	4	1.02	+	3.94	1.99E-02
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901838)	3	2	.51	+	3.94	9.25E-02
positive regulation of clathrin-dependent endocytosis (GO:2000370)	6	4	1.02	+	3.94	1.99E-02
water homeostasis (GO:0030104)	6	4	1.02	+	3.94	1.99E-02
peptidyl-lysine dimethylation (GO:0018027)	3	2	.51	+	3.94	9.25E-02
microtubule cytoskeleton organization involved in establishment of planar polarity (GO:0090176)	3	2	.51	+	3.94	9.25E-02
Mo-molybdopterin cofactor metabolic process (GO:0019720)	3	2	.51	+	3.94	9.25E-02
acylglycerol biosynthetic process (GO:0046463)	6	4	1.02	+	3.94	1.99E-02
neutral lipid biosynthetic process (GO:0046460)	6	4	1.02	+	3.94	1.99E-02
oocyte morphogenesis (GO:0048601)	3	2	.51	+	3.94	9.25E-02
positive regulation of transcription by RNA polymerase I (GO:0045943)	6	4	1.02	+	3.94	1.99E-02
negative adaptation of signaling pathway (GO:0022401)	3	2	.51	+	3.94	9.25E-02
positive regulation of ribosome biogenesis (GO:0090070)	3	2	.51	+	3.94	9.25E-02
L-leucine import across plasma membrane (GO:1903801)	3	2	.51	+	3.94	9.25E-02
leucine import across plasma membrane (GO:0098713)	3	2	.51	+	3.94	9.25E-02
negative regulation of endocytosis (GO:0045806)	3	2	.51	+	3.94	9.25E-02
negative regulation of dendrite morphogenesis (GO:0050774)	3	2	.51	+	3.94	9.25E-02
negative regulation of centriole elongation (GO:1903723)	3	2	.51	+	3.94	9.25E-02
regulation of centriole elongation (GO:1903722)	3	2	.51	+	3.94	9.25E-02
positive regulation of ARF protein signal transduction (GO:0032014)	3	2	.51	+	3.94	9.25E-02
prosthetic group metabolic process (GO:0051189)	3	2	.51	+	3.94	9.25E-02
maintenance of DNA repeat elements (GO:0043570)	3	2	.51	+	3.94	9.25E-02
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	3	2	.51	+	3.94	9.25E-02
molybdopterin cofactor metabolic process (GO:0043545)	3	2	.51	+	3.94	9.25E-02
triglyceride catabolic process (GO:0019433)	3	2	.51	+	3.94	9.25E-02
alditol catabolic process (GO:0019405)	3	2	.51	+	3.94	9.25E-02
alditol metabolic process (GO:0019400)	3	2	.51	+	3.94	9.25E-02
secondary branching, open tracheal system (GO:0007429)	3	2	.51	+	3.94	9.25E-02
imidazole-containing compound metabolic process (GO:0052803)	3	2	.51	+	3.94	9.25E-02
organelle inheritance (GO:0048308)	3	2	.51	+	3.94	9.25E-02
mitotic cleavage furrow ingression (GO:1990386)	3	2	.51	+	3.94	9.25E-02
proline catabolic process to glutamate (GO:0010133)	3	2	.51	+	3.94	9.25E-02
negative regulation of voltage-gated calcium channel activity (GO:1901386)	3	2	.51	+	3.94	9.25E-02
N-glycan processing (GO:0006491)	11	7	1.86	+	3.76	3.06E-03
protein localization to lysosome (GO:0061462)	8	5	1.35	+	3.69	1.25E-02
detection of light stimulus involved in sensory perception (GO:0050962)	8	5	1.35	+	3.69	1.25E-02
eclosion rhythm (GO:0008062)	8	5	1.35	+	3.69	1.25E-02
phototransduction, visible light (GO:0007603)	21	13	3.55	+	3.66	8.48E-05
rhodopsin mediated signaling pathway (GO:0016056)	13	8	2.20	+	3.64	1.95E-03
photoperiodism (GO:0009648)	13	8	2.20	+	3.64	1.95E-03
optomotor response (GO:0071632)	5	3	.85	+	3.54	5.42E-02
regulation of transcription regulatory region DNA binding (GO:2000677)	5	3	.85	+	3.54	5.42E-02
cGMP biosynthetic process (GO:0006182)	5	3	.85	+	3.54	5.42E-02
optokinetic behavior (GO:0007634)	5	3	.85	+	3.54	5.42E-02
dicarboxylic acid biosynthetic process (GO:0043650)	5	3	.85	+	3.54	5.42E-02
analia development (GO:0007487)	5	3	.85	+	3.54	5.42E-02
deactivation of rhodopsin mediated signaling (GO:0016059)	17	10	2.88	+	3.48	7.92E-04
ATP generation from ADP (GO:0006757)	12	7	2.03	+	3.45	4.87E-03
entrainment of circadian clock by photoperiod (GO:0043153)	12	7	2.03	+	3.45	4.87E-03
glycolytic process (GO:0006096)	12	7	2.03	+	3.45	4.87E-03
regulation of microtubule polymerization (GO:0031113)	7	4	1.18	+	3.38	3.24E-02
behavioral response to starvation (GO:0042595)	7	4	1.18	+	3.38	3.24E-02
filopodium assembly (GO:0046847)	7	4	1.18	+	3.38	3.24E-02
regulation of transcription by RNA polymerase I (GO:0006356)	7	4	1.18	+	3.38	3.24E-02
cellular response to amino acid stimulus (GO:0071230)	7	4	1.18	+	3.38	3.24E-02
negative regulation of compound eye retinal cell programmed cell death (GO:0046673)	7	4	1.18	+	3.38	3.24E-02
negative regulation of retinal cell programmed cell death (GO:0046671)	7	4	1.18	+	3.38	3.24E-02
adherens junction maintenance (GO:0034334)	7	4	1.18	+	3.38	3.24E-02
regulation of insulin secretion (GO:0050796)	7	4	1.18	+	3.38	3.24E-02
cell-cell junction maintenance (GO:0045217)	9	5	1.52	+	3.28	1.96E-02
aromatic amino acid family catabolic process (GO:0009074)	9	5	1.52	+	3.28	1.96E-02
epithelial cell type specification, open tracheal system (GO:0035153)	9	5	1.52	+	3.28	1.96E-02
regulation of rhodopsin mediated signaling pathway (GO:0022400)	18	10	3.05	+	3.28	1.21E-03
engulfment of apoptotic cell (GO:0043652)	9	5	1.52	+	3.28	1.96E-02
response to anesthetic (GO:0072347)	9	5	1.52	+	3.28	1.96E-02
cGMP metabolic process (GO:0046068)	9	5	1.52	+	3.28	1.96E-02
eclosion (GO:0007562)	11	6	1.86	+	3.22	1.20E-02
ADP metabolic process (GO:0046031)	13	7	2.20	+	3.18	7.40E-03
isoprenoid metabolic process (GO:0006720)	13	7	2.20	+	3.18	7.40E-03
triglyceride metabolic process (GO:0006641)	13	7	2.20	+	3.18	7.40E-03
ribonucleoside diphosphate metabolic process (GO:0009185)	13	7	2.20	+	3.18	7.40E-03
purine ribonucleoside diphosphate metabolic process (GO:0009179)	13	7	2.20	+	3.18	7.40E-03
purine nucleoside diphosphate metabolic process (GO:0009135)	13	7	2.20	+	3.18	7.40E-03
chloride transmembrane transport (GO:1902476)	13	7	2.20	+	3.18	7.40E-03
ventral furrow formation (GO:0007370)	15	8	2.54	+	3.15	4.59E-03
thermotaxis (GO:0043052)	17	9	2.88	+	3.13	2.86E-03
entrainment of circadian clock (GO:0009649)	21	11	3.55	+	3.09	1.12E-03
detection of visible light (GO:0009584)	25	13	4.23	+	3.07	4.45E-04
pigment metabolic process involved in developmental pigmentation (GO:0043324)	35	18	5.92	+	3.04	4.53E-05
eye pigment metabolic process (GO:0042441)	35	18	5.92	+	3.04	4.53E-05
pigment metabolic process involved in pigmentation (GO:0043474)	35	18	5.92	+	3.04	4.53E-05
regulation of flagellated sperm motility (GO:1901317)	2	1	.34	+	2.95	2.87E-01
negative regulation of histone H2A K63-linked ubiquitination (GO:1901315)	2	1	.34	+	2.95	2.87E-01
regulation of histone H2A K63-linked ubiquitination (GO:1901314)	2	1	.34	+	2.95	2.87E-01
IMP metabolic process (GO:0046040)	2	1	.34	+	2.95	2.87E-01
multivesicular body assembly (GO:0036258)	2	1	.34	+	2.95	2.87E-01
response to anoxia (GO:0034059)	6	3	1.02	+	2.95	8.31E-02
Golgi to endosome transport (GO:0006895)	2	1	.34	+	2.95	2.87E-01
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	2	1	.34	+	2.95	2.87E-01
eye pigment precursor transport (GO:0006856)	4	2	.68	+	2.95	1.48E-01
regulation of protein binding (GO:0043393)	6	3	1.02	+	2.95	8.31E-02
manganese ion transport (GO:0006828)	4	2	.68	+	2.95	1.48E-01
spliceosomal tri-snRNP complex assembly (GO:0000244)	2	1	.34	+	2.95	2.87E-01
clustering of voltage-gated calcium channels (GO:0070073)	2	1	.34	+	2.95	2.87E-01
proton-transporting two-sector ATPase complex assembly (GO:0070071)	2	1	.34	+	2.95	2.87E-01
regulation of cilium movement involved in cell motility (GO:0060295)	2	1	.34	+	2.95	2.87E-01
proprioception (GO:0019230)	2	1	.34	+	2.95	2.87E-01
positive regulation of cell-matrix adhesion (GO:0001954)	2	1	.34	+	2.95	2.87E-01
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	2	1	.34	+	2.95	2.87E-01
positive regulation of synaptic vesicle recycling (GO:1903423)	4	2	.68	+	2.95	1.48E-01
regulation of synaptic vesicle recycling (GO:1903421)	8	4	1.35	+	2.95	4.86E-02
behavioral response to ether (GO:0048150)	2	1	.34	+	2.95	2.87E-01
phospholipase C-activating serotonin receptor signaling pathway (GO:0007208)	2	1	.34	+	2.95	2.87E-01
protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205)	4	2	.68	+	2.95	1.48E-01
regulation of polarized epithelial cell differentiation (GO:0030860)	2	1	.34	+	2.95	2.87E-01
nucleosome positioning (GO:0016584)	2	1	.34	+	2.95	2.87E-01
mRNA modification (GO:0016556)	6	3	1.02	+	2.95	8.31E-02
male courtship behavior, orientation prior to leg tapping and wing vibration (GO:0016543)	2	1	.34	+	2.95	2.87E-01
regulation of p38MAPK cascade (GO:1900744)	2	1	.34	+	2.95	2.87E-01
R8 cell-mediated photoreceptor organization (GO:0045470)	2	1	.34	+	2.95	2.87E-01
negative regulation of protein polyubiquitination (GO:1902915)	2	1	.34	+	2.95	2.87E-01
R8 cell development (GO:0045463)	4	2	.68	+	2.95	1.48E-01
eye pigment biosynthetic process (GO:0006726)	34	17	5.76	+	2.95	1.02E-04
inactivation of MAPK activity (GO:0000188)	2	1	.34	+	2.95	2.87E-01
galactose catabolic process via UDP-galactose (GO:0033499)	2	1	.34	+	2.95	2.87E-01
Ran protein signal transduction (GO:0031291)	2	1	.34	+	2.95	2.87E-01
adenylate cyclase-inhibiting serotonin receptor signaling pathway (GO:0007198)	2	1	.34	+	2.95	2.87E-01
anterior/posterior lineage restriction, imaginal disc (GO:0048099)	4	2	.68	+	2.95	1.48E-01
regulation of Golgi organization (GO:1903358)	2	1	.34	+	2.95	2.87E-01
receptor guanylyl cyclase signaling pathway (GO:0007168)	2	1	.34	+	2.95	2.87E-01
positive regulation of compound eye pigmentation (GO:0048078)	2	1	.34	+	2.95	2.87E-01
positive regulation of eye pigmentation (GO:0048075)	2	1	.34	+	2.95	2.87E-01
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	4	2	.68	+	2.95	1.48E-01
male somatic sex determination (GO:0019102)	2	1	.34	+	2.95	2.87E-01
collagen metabolic process (GO:0032963)	2	1	.34	+	2.95	2.87E-01
protein O-linked fucosylation (GO:0036066)	2	1	.34	+	2.95	2.87E-01
dosage compensation complex assembly (GO:0042714)	4	2	.68	+	2.95	1.48E-01
establishment of mitotic spindle asymmetry (GO:0061867)	2	1	.34	+	2.95	2.87E-01
acyl-CoA biosynthetic process (GO:0071616)	4	2	.68	+	2.95	1.48E-01
acylglycerol metabolic process (GO:0006639)	20	10	3.39	+	2.95	2.58E-03
neutral lipid metabolic process (GO:0006638)	20	10	3.39	+	2.95	2.58E-03
acyl-CoA metabolic process (GO:0006637)	8	4	1.35	+	2.95	4.86E-02
positive regulation of Wnt signaling pathway by establishment of Wnt protein localization to extracellular region (GO:0035593)	2	1	.34	+	2.95	2.87E-01
nucleotide salvage (GO:0043173)	2	1	.34	+	2.95	2.87E-01
farnesyl diphosphate metabolic process (GO:0045338)	2	1	.34	+	2.95	2.87E-01
farnesyl diphosphate biosynthetic process (GO:0045337)	2	1	.34	+	2.95	2.87E-01
phospholipid translocation (GO:0045332)	4	2	.68	+	2.95	1.48E-01
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	2	1	.34	+	2.95	2.87E-01
pericentric heterochromatin organization (GO:0140462)	2	1	.34	+	2.95	2.87E-01
positive regulation of compound eye photoreceptor development (GO:0045315)	2	1	.34	+	2.95	2.87E-01
inhibition of cysteine-type endopeptidase activity involved in apoptotic process (GO:1990001)	2	1	.34	+	2.95	2.87E-01
