




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of mitotic recombination (GO:0000019)	6	3	.31	+	9.79	3.81E-03
negative regulation of telomeric loop disassembly (GO:1904534)	2	1	.10	+	9.79	9.71E-02
regulation of glucocorticoid mediated signaling pathway (GO:1900169)	2	1	.10	+	9.79	9.71E-02
response to caloric restriction (GO:0061771)	4	2	.20	+	9.79	1.82E-02
chaperone-mediated protein transport involved in chaperone-mediated autophagy (GO:0061741)	2	1	.10	+	9.79	9.71E-02
lipophagy (GO:0061724)	2	1	.10	+	9.79	9.71E-02
histone H3-T11 phosphorylation (GO:0035407)	2	1	.10	+	9.79	9.71E-02
radial spoke assembly (GO:0062177)	2	1	.10	+	9.79	9.71E-02
box H/ACA snoRNA processing (GO:0034964)	2	1	.10	+	9.79	9.71E-02
pyridoxine biosynthetic process (GO:0008615)	2	1	.10	+	9.79	9.71E-02
pyridoxine metabolic process (GO:0008614)	2	1	.10	+	9.79	9.71E-02
regulation of transepithelial transport (GO:0150111)	4	2	.20	+	9.79	1.82E-02
cellular response to L-phenylalanine derivative (GO:1904387)	2	1	.10	+	9.79	9.71E-02
synaptic vesicle to endosome fusion (GO:0016189)	2	1	.10	+	9.79	9.71E-02
cellular stress response to acid chemical (GO:0097533)	2	1	.10	+	9.79	9.71E-02
stress response to acid chemical (GO:0097532)	2	1	.10	+	9.79	9.71E-02
negative regulation of triglyceride biosynthetic process (GO:0010868)	2	1	.10	+	9.79	9.71E-02
positive regulation of aorta morphogenesis (GO:1903849)	2	1	.10	+	9.79	9.71E-02
regulation of aorta morphogenesis (GO:1903847)	2	1	.10	+	9.79	9.71E-02
modification by virus of host mRNA processing (GO:0046778)	2	1	.10	+	9.79	9.71E-02
positive regulation of bile acid metabolic process (GO:1904253)	2	1	.10	+	9.79	9.71E-02
regulation of ubiquinone biosynthetic process (GO:0010795)	2	1	.10	+	9.79	9.71E-02
cellular response to phosphate starvation (GO:0016036)	2	1	.10	+	9.79	9.71E-02
positive regulation of potassium ion export across plasma membrane (GO:1903766)	2	1	.10	+	9.79	9.71E-02
cell-cell signaling involved in kidney development (GO:0060995)	2	1	.10	+	9.79	9.71E-02
olfactory learning (GO:0008355)	2	1	.10	+	9.79	9.71E-02
positive regulation of protein O-linked glycosylation (GO:1904100)	2	1	.10	+	9.79	9.71E-02
regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance (GO:0061394)	2	1	.10	+	9.79	9.71E-02
Wnt protein secretion (GO:0061355)	2	1	.10	+	9.79	9.71E-02
negative regulation of chaperone-mediated protein folding (GO:1903645)	2	1	.10	+	9.79	9.71E-02
regulation of protein O-linked glycosylation (GO:1904098)	2	1	.10	+	9.79	9.71E-02
inactivation of X chromosome by genetic imprinting (GO:0060819)	2	1	.10	+	9.79	9.71E-02
sphinganine biosynthetic process (GO:0046511)	2	1	.10	+	9.79	9.71E-02
negative regulation of vascular endothelial growth factor production (GO:1904046)	2	1	.10	+	9.79	9.71E-02
regulation of lung blood pressure (GO:0014916)	4	2	.20	+	9.79	1.82E-02
tRNA N1-guanine methylation (GO:0002939)	2	1	.10	+	9.79	9.71E-02
canonical Wnt signaling pathway involved in metanephric kidney development (GO:0061290)	2	1	.10	+	9.79	9.71E-02
Wnt signaling pathway involved in kidney development (GO:0061289)	2	1	.10	+	9.79	9.71E-02
negative regulation of exosomal secretion (GO:1903542)	2	1	.10	+	9.79	9.71E-02
calcium ion transport from cytosol to endoplasmic reticulum (GO:1903515)	2	1	.10	+	9.79	9.71E-02
cellular response to rapamycin (GO:0072752)	2	1	.10	+	9.79	9.71E-02
negative regulation of extracellular matrix constituent secretion (GO:0003332)	4	2	.20	+	9.79	1.82E-02
mesenchymal cell apoptotic process (GO:0097152)	2	1	.10	+	9.79	9.71E-02
circadian sleep/wake cycle process (GO:0022410)	4	2	.20	+	9.79	1.82E-02
lung smooth muscle development (GO:0061145)	2	1	.10	+	9.79	9.71E-02
negative regulation of mitotic cell cycle DNA replication (GO:1903464)	2	1	.10	+	9.79	9.71E-02
regulation of endoribonuclease activity (GO:0060699)	4	2	.20	+	9.79	1.82E-02
cardiac right atrium morphogenesis (GO:0003213)	2	1	.10	+	9.79	9.71E-02
cardiac atrium formation (GO:0003210)	2	1	.10	+	9.79	9.71E-02
cellular response to thyroxine stimulus (GO:0097069)	2	1	.10	+	9.79	9.71E-02
negative regulation of muscle hyperplasia (GO:0014740)	2	1	.10	+	9.79	9.71E-02
lymphocyte migration into lymph node (GO:0097022)	2	1	.10	+	9.79	9.71E-02
coronary vein morphogenesis (GO:0003169)	2	1	.10	+	9.79	9.71E-02
formaldehyde metabolic process (GO:0046292)	4	2	.20	+	9.79	1.82E-02
bronchus cartilage development (GO:0060532)	2	1	.10	+	9.79	9.71E-02
squamous basal epithelial stem cell differentiation involved in prostate gland acinus development (GO:0060529)	2	1	.10	+	9.79	9.71E-02
secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development (GO:0060528)	4	2	.20	+	9.79	1.82E-02
spermine catabolic process (GO:0046208)	2	1	.10	+	9.79	9.71E-02
spermidine catabolic process (GO:0046203)	2	1	.10	+	9.79	9.71E-02
negative regulation of translation in response to stress (GO:0032055)	7	3	.36	+	8.39	5.82E-03
dolichol metabolic process (GO:0019348)	5	2	.26	+	7.83	2.75E-02
protein localization to adherens junction (GO:0071896)	5	2	.26	+	7.83	2.75E-02
cytoplasm organization (GO:0007028)	10	4	.51	+	7.83	1.88E-03
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	2	.26	+	7.83	2.75E-02
response to blue light (GO:0009637)	5	2	.26	+	7.83	2.75E-02
regulation of snRNA transcription by RNA polymerase II (GO:1905380)	5	2	.26	+	7.83	2.75E-02
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	2	.26	+	7.83	2.75E-02
positive regulation of lipophagy (GO:1904504)	5	2	.26	+	7.83	2.75E-02
regulation of lipophagy (GO:1904502)	5	2	.26	+	7.83	2.75E-02
response to fungicide (GO:0060992)	5	2	.26	+	7.83	2.75E-02
isopentenyl diphosphate metabolic process (GO:0046490)	5	2	.26	+	7.83	2.75E-02
maintenance of protein location in mitochondrion (GO:0072656)	5	2	.26	+	7.83	2.75E-02
protein hexamerization (GO:0034214)	8	3	.41	+	7.34	8.37E-03
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	8	3	.41	+	7.34	8.37E-03
regulation of type B pancreatic cell development (GO:2000074)	8	3	.41	+	7.34	8.37E-03
ribosomal large subunit export from nucleus (GO:0000055)	8	3	.41	+	7.34	8.37E-03
regulation of extracellular matrix constituent secretion (GO:0003330)	8	3	.41	+	7.34	8.37E-03
endothelial cell apoptotic process (GO:0072577)	8	3	.41	+	7.34	8.37E-03
secondary alcohol biosynthetic process (GO:1902653)	40	14	2.04	+	6.85	3.50E-08
cholesterol biosynthetic process (GO:0006695)	40	14	2.04	+	6.85	3.50E-08
sterol biosynthetic process (GO:0016126)	45	15	2.30	+	6.53	2.16E-08
positive regulation of intestinal cholesterol absorption (GO:0045797)	3	1	.15	+	6.53	1.42E-01
4-hydroxyproline metabolic process (GO:0019471)	3	1	.15	+	6.53	1.42E-01
4-hydroxyproline catabolic process (GO:0019470)	3	1	.15	+	6.53	1.42E-01
U2-type prespliceosome assembly (GO:1903241)	3	1	.15	+	6.53	1.42E-01
regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903233)	3	1	.15	+	6.53	1.42E-01
cochlear nucleus development (GO:0021747)	3	1	.15	+	6.53	1.42E-01
lung induction (GO:0060492)	3	1	.15	+	6.53	1.42E-01
negative regulation of pro-B cell differentiation (GO:2000974)	3	1	.15	+	6.53	1.42E-01
proline catabolic process to glutamate (GO:0010133)	3	1	.15	+	6.53	1.42E-01
negative regulation of integrin activation (GO:0033624)	3	1	.15	+	6.53	1.42E-01
dibenzo-p-dioxin metabolic process (GO:0018894)	3	1	.15	+	6.53	1.42E-01
odontoblast differentiation (GO:0071895)	3	1	.15	+	6.53	1.42E-01
malonyl-CoA metabolic process (GO:2001293)	3	1	.15	+	6.53	1.42E-01
positive regulation of phosphatidylcholine biosynthetic process (GO:2001247)	3	1	.15	+	6.53	1.42E-01
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	3	1	.15	+	6.53	1.42E-01
N-acetylneuraminate catabolic process (GO:0019262)	6	2	.31	+	6.53	3.84E-02
lactate biosynthetic process (GO:0019249)	3	1	.15	+	6.53	1.42E-01
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	3	1	.15	+	6.53	1.42E-01
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	3	1	.15	+	6.53	1.42E-01
immunoglobulin biosynthetic process (GO:0002378)	3	1	.15	+	6.53	1.42E-01
eye pigment biosynthetic process (GO:0006726)	3	1	.15	+	6.53	1.42E-01
cloacal septation (GO:0060197)	3	1	.15	+	6.53	1.42E-01
mesenchymal cell proliferation involved in ureteric bud development (GO:0072138)	3	1	.15	+	6.53	1.42E-01
negative regulation of SREBP signaling pathway (GO:2000639)	3	1	.15	+	6.53	1.42E-01
thyroid-stimulating hormone-secreting cell differentiation (GO:0060129)	3	1	.15	+	6.53	1.42E-01
negative regulation of integrin-mediated signaling pathway (GO:2001045)	3	1	.15	+	6.53	1.42E-01
male meiosis chromosome segregation (GO:0007060)	3	1	.15	+	6.53	1.42E-01
positive regulation of T cell costimulation (GO:2000525)	3	1	.15	+	6.53	1.42E-01
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596)	3	1	.15	+	6.53	1.42E-01
translation reinitiation (GO:0002188)	3	1	.15	+	6.53	1.42E-01
cytoplasmic translational termination (GO:0002184)	3	1	.15	+	6.53	1.42E-01
negative regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901895)	3	1	.15	+	6.53	1.42E-01
regulation of glutamate uptake involved in transmission of nerve impulse (GO:0051946)	3	1	.15	+	6.53	1.42E-01
regulation of amino acid uptake involved in synaptic transmission (GO:0051941)	3	1	.15	+	6.53	1.42E-01
regulation of mitochondrial DNA metabolic process (GO:1901858)	3	1	.15	+	6.53	1.42E-01
extracellular polysaccharide biosynthetic process (GO:0045226)	3	1	.15	+	6.53	1.42E-01
establishment of neuroblast polarity (GO:0045200)	3	1	.15	+	6.53	1.42E-01
HRI-mediated signaling (GO:0140468)	3	1	.15	+	6.53	1.42E-01
pericentric heterochromatin organization (GO:0140462)	3	1	.15	+	6.53	1.42E-01
negative regulation of glycogen (starch) synthase activity (GO:2000466)	3	1	.15	+	6.53	1.42E-01
regulation of CD8-positive, alpha-beta T cell extravasation (GO:2000449)	3	1	.15	+	6.53	1.42E-01
apoptotic process involved in embryonic digit morphogenesis (GO:1902263)	3	1	.15	+	6.53	1.42E-01
threonyl-tRNA aminoacylation (GO:0006435)	3	1	.15	+	6.53	1.42E-01
asparaginyl-tRNA aminoacylation (GO:0006421)	3	1	.15	+	6.53	1.42E-01
establishment or maintenance of neuroblast polarity (GO:0045196)	3	1	.15	+	6.53	1.42E-01
norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure (GO:0002025)	3	1	.15	+	6.53	1.42E-01
lactose biosynthetic process (GO:0005989)	3	1	.15	+	6.53	1.42E-01
lactose metabolic process (GO:0005988)	3	1	.15	+	6.53	1.42E-01
negative regulation of mesoderm development (GO:2000381)	3	1	.15	+	6.53	1.42E-01
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000373)	6	2	.31	+	6.53	3.84E-02
regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000371)	6	2	.31	+	6.53	3.84E-02
serine import into mitochondrion (GO:0140300)	3	1	.15	+	6.53	1.42E-01
cellular response to luteinizing hormone stimulus (GO:0071373)	3	1	.15	+	6.53	1.42E-01
cellular response to follicle-stimulating hormone stimulus (GO:0071372)	12	4	.61	+	6.53	3.60E-03
constitutive secretory pathway (GO:0045054)	3	1	.15	+	6.53	1.42E-01
protein import into mitochondrial intermembrane space (GO:0045041)	3	1	.15	+	6.53	1.42E-01
regulation of postsynaptic membrane organization (GO:1901626)	3	1	.15	+	6.53	1.42E-01
receptor internalization involved in canonical Wnt signaling pathway (GO:2000286)	3	1	.15	+	6.53	1.42E-01
protein carboxylation (GO:0018214)	3	1	.15	+	6.53	1.42E-01
regulation of platelet-derived growth factor production (GO:0090361)	3	1	.15	+	6.53	1.42E-01
negative regulation of female gonad development (GO:2000195)	3	1	.15	+	6.53	1.42E-01
female genitalia morphogenesis (GO:0048807)	3	1	.15	+	6.53	1.42E-01
trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (GO:0099557)	3	1	.15	+	6.53	1.42E-01
positive regulation of endoplasmic reticulum calcium ion concentration (GO:0032470)	3	1	.15	+	6.53	1.42E-01
positive regulation of chromatin silencing (GO:0031937)	3	1	.15	+	6.53	1.42E-01
regulation of centromere complex assembly (GO:0090230)	3	1	.15	+	6.53	1.42E-01
protein localization to nuclear pore (GO:0090204)	3	1	.15	+	6.53	1.42E-01
UDP-glucuronate biosynthetic process (GO:0006065)	3	1	.15	+	6.53	1.42E-01
positive regulation of anaphase-promoting complex-dependent catabolic process (GO:1905786)	3	1	.15	+	6.53	1.42E-01
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784)	3	1	.15	+	6.53	1.42E-01
regulation of exonuclease activity (GO:1905777)	3	1	.15	+	6.53	1.42E-01
retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942)	3	1	.15	+	6.53	1.42E-01
response to rapamycin (GO:1901355)	3	1	.15	+	6.53	1.42E-01
vitamin D receptor signaling pathway (GO:0070561)	3	1	.15	+	6.53	1.42E-01
receptor-mediated endocytosis involved in cholesterol transport (GO:0090118)	3	1	.15	+	6.53	1.42E-01
tubulin deacetylation (GO:0090042)	3	1	.15	+	6.53	1.42E-01
regulation of blastocyst development (GO:0120222)	3	1	.15	+	6.53	1.42E-01
mucociliary clearance (GO:0120197)	3	1	.15	+	6.53	1.42E-01
negative regulation of lymphoid progenitor cell differentiation (GO:1905457)	3	1	.15	+	6.53	1.42E-01
positive regulation of autophagosome maturation (GO:1901098)	6	2	.31	+	6.53	3.84E-02
positive regulation of NK T cell differentiation (GO:0051138)	3	1	.15	+	6.53	1.42E-01
calcium ion import into sarcoplasmic reticulum (GO:1990036)	3	1	.15	+	6.53	1.42E-01
renal water absorption (GO:0070295)	3	1	.15	+	6.53	1.42E-01
pericentric heterochromatin assembly (GO:0031508)	3	1	.15	+	6.53	1.42E-01
regulation of endosome organization (GO:1904978)	3	1	.15	+	6.53	1.42E-01
regulation of activation-induced cell death of T cells (GO:0070235)	3	1	.15	+	6.53	1.42E-01
tRNA-type intron splice site recognition and cleavage (GO:0000379)	3	1	.15	+	6.53	1.42E-01
pigment metabolic process involved in pigmentation (GO:0043474)	3	1	.15	+	6.53	1.42E-01
peptidyl-glutamic acid carboxylation (GO:0017187)	3	1	.15	+	6.53	1.42E-01
homocysteine catabolic process (GO:0043418)	3	1	.15	+	6.53	1.42E-01
positive regulation of isotype switching to IgA isotypes (GO:0048298)	3	1	.15	+	6.53	1.42E-01
negative regulation of isotype switching to IgE isotypes (GO:0048294)	3	1	.15	+	6.53	1.42E-01
D-serine transport (GO:0042942)	3	1	.15	+	6.53	1.42E-01
protein unfolding (GO:0043335)	3	1	.15	+	6.53	1.42E-01
pigment metabolic process involved in developmental pigmentation (GO:0043324)	3	1	.15	+	6.53	1.42E-01
regulation of eosinophil degranulation (GO:0043309)	3	1	.15	+	6.53	1.42E-01
putrescine catabolic process (GO:0009447)	3	1	.15	+	6.53	1.42E-01
positive regulation of intestinal lipid absorption (GO:1904731)	3	1	.15	+	6.53	1.42E-01
vitamin B6 biosynthetic process (GO:0042819)	3	1	.15	+	6.53	1.42E-01
histone H3-K9 dimethylation (GO:0036123)	3	1	.15	+	6.53	1.42E-01
positive regulation of lysosomal protein catabolic process (GO:1905167)	3	1	.15	+	6.53	1.42E-01
bone mineralization involved in bone maturation (GO:0035630)	6	2	.31	+	6.53	3.84E-02
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	3	1	.15	+	6.53	1.42E-01
circadian sleep/wake cycle (GO:0042745)	6	2	.31	+	6.53	3.84E-02
negative regulation of NLRP3 inflammasome complex assembly (GO:1900226)	3	1	.15	+	6.53	1.42E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	6	2	.31	+	6.53	3.84E-02
long-chain fatty acid import across plasma membrane (GO:0015911)	3	1	.15	+	6.53	1.42E-01
positive regulation of oocyte maturation (GO:1900195)	3	1	.15	+	6.53	1.42E-01
regulation of telomeric loop disassembly (GO:1904533)	3	1	.15	+	6.53	1.42E-01
positive regulation of hyaluranon cable assembly (GO:1900106)	3	1	.15	+	6.53	1.42E-01
regulation of hyaluranon cable assembly (GO:1900104)	3	1	.15	+	6.53	1.42E-01
protein targeting to lysosome involved in chaperone-mediated autophagy (GO:0061740)	3	1	.15	+	6.53	1.42E-01
late endosomal microautophagy (GO:0061738)	3	1	.15	+	6.53	1.42E-01
biotin transport (GO:0015878)	3	1	.15	+	6.53	1.42E-01
positive regulation of intestinal absorption (GO:1904480)	3	1	.15	+	6.53	1.42E-01
Cajal body organization (GO:0030576)	3	1	.15	+	6.53	1.42E-01
regulation of eIF2 alpha phosphorylation by heme (GO:0010999)	3	1	.15	+	6.53	1.42E-01
positive regulation of vitamin D 24-hydroxylase activity (GO:0010980)	3	1	.15	+	6.53	1.42E-01
negative regulation of t-circle formation (GO:1904430)	3	1	.15	+	6.53	1.42E-01
regulation of vitamin D 24-hydroxylase activity (GO:0010979)	3	1	.15	+	6.53	1.42E-01
lysosomal microautophagy (GO:0016237)	3	1	.15	+	6.53	1.42E-01
positive regulation of TRAIL-activated apoptotic signaling pathway (GO:1903984)	3	1	.15	+	6.53	1.42E-01
aromatic amino acid family biosynthetic process (GO:0009073)	3	1	.15	+	6.53	1.42E-01
positive regulation of phosphatidylcholine metabolic process (GO:0150173)	3	1	.15	+	6.53	1.42E-01
response to cycloheximide (GO:0046898)	6	2	.31	+	6.53	3.84E-02
positive regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904395)	3	1	.15	+	6.53	1.42E-01
regulation of protein localization to cell-cell junction (GO:0150106)	3	1	.15	+	6.53	1.42E-01
eye pigment metabolic process (GO:0042441)	3	1	.15	+	6.53	1.42E-01
regulation of phosphatidylcholine catabolic process (GO:0010899)	3	1	.15	+	6.53	1.42E-01
negative regulation of dopaminergic neuron differentiation (GO:1904339)	3	1	.15	+	6.53	1.42E-01
negative regulation of protein ADP-ribosylation (GO:0010836)	3	1	.15	+	6.53	1.42E-01
modulation by virus of host gene expression (GO:0039656)	3	1	.15	+	6.53	1.42E-01
regulation of polynucleotide adenylyltransferase activity (GO:1904245)	3	1	.15	+	6.53	1.42E-01
polyprenol catabolic process (GO:0016095)	3	1	.15	+	6.53	1.42E-01
polyprenol biosynthetic process (GO:0016094)	3	1	.15	+	6.53	1.42E-01
piecemeal microautophagy of the nucleus (GO:0034727)	3	1	.15	+	6.53	1.42E-01
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061428)	3	1	.15	+	6.53	1.42E-01
cardiac vascular smooth muscle cell development (GO:0060948)	3	1	.15	+	6.53	1.42E-01
cardiac vascular smooth muscle cell differentiation (GO:0060947)	6	2	.31	+	6.53	3.84E-02
negative regulation of alkaline phosphatase activity (GO:0010693)	3	1	.15	+	6.53	1.42E-01
positive regulation of Wnt protein secretion (GO:0061357)	3	1	.15	+	6.53	1.42E-01
embryonic heart tube anterior/posterior pattern specification (GO:0035054)	3	1	.15	+	6.53	1.42E-01
signal transduction by trans-phosphorylation (GO:0023016)	3	1	.15	+	6.53	1.42E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	3	1	.15	+	6.53	1.42E-01
respiratory chain complex II assembly (GO:0034552)	3	1	.15	+	6.53	1.42E-01
positive regulation of B cell apoptotic process (GO:0002904)	3	1	.15	+	6.53	1.42E-01
cell proliferation involved in mesonephros development (GO:0061209)	3	1	.15	+	6.53	1.42E-01
regulation of single strand break repair (GO:1903516)	3	1	.15	+	6.53	1.42E-01
cellular response to sorbitol (GO:0072709)	3	1	.15	+	6.53	1.42E-01
U5 snRNA 3'-end processing (GO:0034476)	3	1	.15	+	6.53	1.42E-01
U1 snRNA 3'-end processing (GO:0034473)	3	1	.15	+	6.53	1.42E-01
syncytiotrophoblast cell differentiation involved in labyrinthine layer development (GO:0060715)	3	1	.15	+	6.53	1.42E-01
regulation of epidermal cell division (GO:0010482)	3	1	.15	+	6.53	1.42E-01
actin modification (GO:0030047)	3	1	.15	+	6.53	1.42E-01
negative regulation of growth rate (GO:0045967)	3	1	.15	+	6.53	1.42E-01
box H/ACA snoRNA metabolic process (GO:0033979)	3	1	.15	+	6.53	1.42E-01
