




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
diacylglycerol biosynthetic process (GO:0006651)	8	2	.19	+	10.72	1.53E-02
farnesyl diphosphate metabolic process (GO:0045338)	4	1	.09	+	10.72	8.90E-02
negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033)	4	1	.09	+	10.72	8.90E-02
somite specification (GO:0001757)	4	1	.09	+	10.72	8.90E-02
chemokine (C-X-C motif) ligand 12 signaling pathway (GO:0038146)	4	1	.09	+	10.72	8.90E-02
positive regulation of natural killer cell chemotaxis (GO:2000503)	4	1	.09	+	10.72	8.90E-02
negative regulation of natural killer cell differentiation involved in immune response (GO:0032827)	4	1	.09	+	10.72	8.90E-02
regulation of natural killer cell differentiation involved in immune response (GO:0032826)	4	1	.09	+	10.72	8.90E-02
negative regulation of natural killer cell differentiation (GO:0032824)	4	1	.09	+	10.72	8.90E-02
negative regulation of appetite by leptin-mediated signaling pathway (GO:0038108)	4	1	.09	+	10.72	8.90E-02
alanine metabolic process (GO:0006522)	4	1	.09	+	10.72	8.90E-02
cellular response to temperature stimulus (GO:0071502)	4	1	.09	+	10.72	8.90E-02
malate transmembrane transport (GO:0071423)	4	1	.09	+	10.72	8.90E-02
conditioned place preference (GO:1990708)	4	1	.09	+	10.72	8.90E-02
cellular response to vitamin D (GO:0071305)	4	1	.09	+	10.72	8.90E-02
positive regulation of bile acid biosynthetic process (GO:0070859)	4	1	.09	+	10.72	8.90E-02
oxidative stress-induced premature senescence (GO:0090403)	4	1	.09	+	10.72	8.90E-02
negative regulation of long-chain fatty acid import into cell (GO:0140213)	4	1	.09	+	10.72	8.90E-02
atrial cardiac muscle cell membrane repolarization (GO:0099624)	4	1	.09	+	10.72	8.90E-02
regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process (GO:0140192)	4	1	.09	+	10.72	8.90E-02
stem cell fate commitment (GO:0048865)	4	1	.09	+	10.72	8.90E-02
response to hydrostatic pressure (GO:0051599)	4	1	.09	+	10.72	8.90E-02
response to folic acid (GO:0051593)	4	1	.09	+	10.72	8.90E-02
locomotion involved in locomotory behavior (GO:0031987)	8	2	.19	+	10.72	1.53E-02
membrane repolarization during ventricular cardiac muscle cell action potential (GO:0098915)	4	1	.09	+	10.72	8.90E-02
membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)	4	1	.09	+	10.72	8.90E-02
regulation of atrial cardiac muscle cell action potential (GO:0098910)	4	1	.09	+	10.72	8.90E-02
regulation of AV node cell action potential (GO:0098904)	4	1	.09	+	10.72	8.90E-02
Golgi reassembly (GO:0090168)	4	1	.09	+	10.72	8.90E-02
regulation of axon extension involved in regeneration (GO:0048690)	4	1	.09	+	10.72	8.90E-02
myoblast fate commitment (GO:0048625)	4	1	.09	+	10.72	8.90E-02
embryonic hindgut morphogenesis (GO:0048619)	4	1	.09	+	10.72	8.90E-02
cellular response to potassium ion starvation (GO:0051365)	4	1	.09	+	10.72	8.90E-02
histone glutamine methylation (GO:1990258)	4	1	.09	+	10.72	8.90E-02
steroid hormone secretion (GO:0035929)	4	1	.09	+	10.72	8.90E-02
anterograde neuronal dense core vesicle transport (GO:1990048)	4	1	.09	+	10.72	8.90E-02
negative regulation of leukocyte adhesion to vascular endothelial cell (GO:1904995)	4	1	.09	+	10.72	8.90E-02
malate-aspartate shuttle (GO:0043490)	4	1	.09	+	10.72	8.90E-02
oviduct epithelium development (GO:0035846)	4	1	.09	+	10.72	8.90E-02
telomerase holoenzyme complex assembly (GO:1905323)	4	1	.09	+	10.72	8.90E-02
negative regulation of protein localization to centrosome (GO:1904780)	4	1	.09	+	10.72	8.90E-02
negative regulation of myofibroblast differentiation (GO:1904761)	4	1	.09	+	10.72	8.90E-02
positive regulation of mRNA polyadenylation (GO:1900365)	4	1	.09	+	10.72	8.90E-02
medium-chain fatty-acyl-CoA metabolic process (GO:0036112)	4	1	.09	+	10.72	8.90E-02
articular cartilage development (GO:0061975)	4	1	.09	+	10.72	8.90E-02
negative regulation of metalloendopeptidase activity (GO:1904684)	4	1	.09	+	10.72	8.90E-02
regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900175)	4	1	.09	+	10.72	8.90E-02
regulation of nodal signaling pathway involved in determination of left/right asymmetry (GO:1900145)	4	1	.09	+	10.72	8.90E-02
tripeptide transmembrane transport (GO:0035443)	4	1	.09	+	10.72	8.90E-02
autocrine signaling (GO:0035425)	8	2	.19	+	10.72	1.53E-02
amino-acid betaine transport (GO:0015838)	8	2	.19	+	10.72	1.53E-02
ketone body biosynthetic process (GO:0046951)	4	1	.09	+	10.72	8.90E-02
negative regulation of microglial cell activation (GO:1903979)	8	2	.19	+	10.72	1.53E-02
cellular response to sodium arsenite (GO:1903936)	4	1	.09	+	10.72	8.90E-02
malate transport (GO:0015743)	4	1	.09	+	10.72	8.90E-02
pyruvate family amino acid metabolic process (GO:0009078)	4	1	.09	+	10.72	8.90E-02
oxaloacetate transport (GO:0015729)	4	1	.09	+	10.72	8.90E-02
regulation of cardiac muscle cell membrane potential (GO:0086036)	8	2	.19	+	10.72	1.53E-02
thiosulfate transport (GO:0015709)	4	1	.09	+	10.72	8.90E-02
membrane repolarization during cardiac muscle cell action potential (GO:0086013)	8	2	.19	+	10.72	1.53E-02
positive regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904395)	4	1	.09	+	10.72	8.90E-02
microglial cell proliferation (GO:0061518)	8	2	.19	+	10.72	1.53E-02
macrophage proliferation (GO:0061517)	8	2	.19	+	10.72	1.53E-02
cellular response to arsenite ion (GO:1903843)	4	1	.09	+	10.72	8.90E-02
response to arsenite ion (GO:1903842)	4	1	.09	+	10.72	8.90E-02
glutathione transmembrane transport (GO:0034775)	4	1	.09	+	10.72	8.90E-02
positive regulation of bile acid metabolic process (GO:1904253)	4	1	.09	+	10.72	8.90E-02
negative regulation of long-chain fatty acid import across plasma membrane (GO:0010748)	4	1	.09	+	10.72	8.90E-02
negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903751)	4	1	.09	+	10.72	8.90E-02
regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903750)	4	1	.09	+	10.72	8.90E-02
negative regulation of complement-dependent cytotoxicity (GO:1903660)	4	1	.09	+	10.72	8.90E-02
siRNA loading onto RISC involved in RNA interference (GO:0035087)	4	1	.09	+	10.72	8.90E-02
peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan (GO:0019800)	8	2	.19	+	10.72	1.53E-02
regulation of lung blood pressure (GO:0014916)	4	1	.09	+	10.72	8.90E-02
prostate gland morphogenetic growth (GO:0060737)	4	1	.09	+	10.72	8.90E-02
circadian regulation of translation (GO:0097167)	4	1	.09	+	10.72	8.90E-02
vein smooth muscle contraction (GO:0014826)	4	1	.09	+	10.72	8.90E-02
mammary gland bud morphogenesis (GO:0060648)	4	1	.09	+	10.72	8.90E-02
epithelial cell differentiation involved in mammary gland alveolus development (GO:0061030)	4	1	.09	+	10.72	8.90E-02
mammary gland specification (GO:0060594)	4	1	.09	+	10.72	8.90E-02
positive regulation of prostaglandin-endoperoxide synthase activity (GO:0060585)	4	1	.09	+	10.72	8.90E-02
regulation of prostaglandin-endoperoxide synthase activity (GO:0060584)	4	1	.09	+	10.72	8.90E-02
bundle of His development (GO:0003166)	4	1	.09	+	10.72	8.90E-02
semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	12	3	.28	+	10.72	2.95E-03
semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285)	13	3	.30	+	9.90	3.68E-03
planar cell polarity pathway involved in neural tube closure (GO:0090179)	13	3	.30	+	9.90	3.68E-03
pre-miRNA processing (GO:0031054)	13	3	.30	+	9.90	3.68E-03
negative regulation of vasoconstriction (GO:0045906)	13	3	.30	+	9.90	3.68E-03
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	9	2	.21	+	9.53	1.91E-02
dense core granule transport (GO:1901950)	9	2	.21	+	9.53	1.91E-02
regulation of lamellipodium morphogenesis (GO:2000392)	9	2	.21	+	9.53	1.91E-02
response to redox state (GO:0051775)	9	2	.21	+	9.53	1.91E-02
response to salt (GO:1902074)	9	2	.21	+	9.53	1.91E-02
cardiac muscle cell membrane repolarization (GO:0099622)	9	2	.21	+	9.53	1.91E-02
regulation of peptidyl-cysteine S-nitrosylation (GO:2000169)	9	2	.21	+	9.53	1.91E-02
dense core granule cytoskeletal transport (GO:0099519)	9	2	.21	+	9.53	1.91E-02
collateral sprouting (GO:0048668)	9	2	.21	+	9.53	1.91E-02
dense core granule localization (GO:0032253)	9	2	.21	+	9.53	1.91E-02
hindgut development (GO:0061525)	9	2	.21	+	9.53	1.91E-02
toll-like receptor 7 signaling pathway (GO:0034154)	5	1	.12	+	8.58	1.10E-01
toll-like receptor 3 signaling pathway (GO:0034138)	10	2	.23	+	8.58	2.33E-02
regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002580)	5	1	.12	+	8.58	1.10E-01
positive regulation of melanocyte differentiation (GO:0045636)	5	1	.12	+	8.58	1.10E-01
positive regulation of cell adhesion molecule production (GO:0060355)	5	1	.12	+	8.58	1.10E-01
tricarboxylic acid transport (GO:0006842)	5	1	.12	+	8.58	1.10E-01
positive regulation of cell proliferation in bone marrow (GO:0071864)	10	2	.23	+	8.58	2.33E-02
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001241)	15	3	.35	+	8.58	5.47E-03
regulation of ovulation (GO:0060278)	5	1	.12	+	8.58	1.10E-01
positive regulation of apoptotic DNA fragmentation (GO:1902512)	5	1	.12	+	8.58	1.10E-01
pro-B cell differentiation (GO:0002328)	5	1	.12	+	8.58	1.10E-01
positive regulation of endocytic recycling (GO:2001137)	5	1	.12	+	8.58	1.10E-01
G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger (GO:0007199)	5	1	.12	+	8.58	1.10E-01
positive regulation of apoptotic process involved in mammary gland involution (GO:0060058)	5	1	.12	+	8.58	1.10E-01
neurofilament cytoskeleton organization (GO:0060052)	10	2	.23	+	8.58	2.33E-02
regulation of natural killer cell chemotaxis (GO:2000501)	5	1	.12	+	8.58	1.10E-01
positive regulation of cAMP-dependent protein kinase activity (GO:2000481)	5	1	.12	+	8.58	1.10E-01
non-canonical Wnt signaling pathway via JNK cascade (GO:0038031)	5	1	.12	+	8.58	1.10E-01
neuroblast differentiation (GO:0014016)	5	1	.12	+	8.58	1.10E-01
luteinization (GO:0001553)	10	2	.23	+	8.58	2.33E-02
peripheral nervous system neuron axonogenesis (GO:0048936)	5	1	.12	+	8.58	1.10E-01
ventricular cardiac muscle cell membrane repolarization (GO:0099625)	5	1	.12	+	8.58	1.10E-01
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)	15	3	.35	+	8.58	5.47E-03
regulation of postsynaptic cytosolic calcium ion concentration (GO:0099566)	5	1	.12	+	8.58	1.10E-01
branching morphogenesis of a nerve (GO:0048755)	5	1	.12	+	8.58	1.10E-01
response to follicle-stimulating hormone (GO:0032354)	10	2	.23	+	8.58	2.33E-02
lipid transport across blood-brain barrier (GO:1990379)	5	1	.12	+	8.58	1.10E-01
protein localization to microtubule end (GO:1905725)	5	1	.12	+	8.58	1.10E-01
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178)	15	3	.35	+	8.58	5.47E-03
regulation of sprouting of injured axon (GO:0048686)	5	1	.12	+	8.58	1.10E-01
smooth muscle cell proliferation (GO:0048659)	5	1	.12	+	8.58	1.10E-01
establishment of meiotic spindle localization (GO:0051295)	5	1	.12	+	8.58	1.10E-01
recognition of apoptotic cell (GO:0043654)	5	1	.12	+	8.58	1.10E-01
glucose import across plasma membrane (GO:0098708)	5	1	.12	+	8.58	1.10E-01
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	10	2	.23	+	8.58	2.33E-02
retrograde neuronal dense core vesicle transport (GO:1990049)	5	1	.12	+	8.58	1.10E-01
regulation of DNA-templated transcription, termination (GO:0031554)	5	1	.12	+	8.58	1.10E-01
synaptic growth at neuromuscular junction (GO:0051124)	5	1	.12	+	8.58	1.10E-01
negative regulation of activation-induced cell death of T cells (GO:0070236)	5	1	.12	+	8.58	1.10E-01
plasma membrane lactate transport (GO:0035879)	5	1	.12	+	8.58	1.10E-01
lactate transmembrane transport (GO:0035873)	5	1	.12	+	8.58	1.10E-01
nuclear envelope disassembly (GO:0051081)	5	1	.12	+	8.58	1.10E-01
detection of virus (GO:0009597)	5	1	.12	+	8.58	1.10E-01
lauric acid metabolic process (GO:0048252)	5	1	.12	+	8.58	1.10E-01
establishment or maintenance of actin cytoskeleton polarity (GO:0030950)	5	1	.12	+	8.58	1.10E-01
protein localization to microtubule plus-end (GO:1904825)	5	1	.12	+	8.58	1.10E-01
positive regulation of glucagon secretion (GO:0070094)	5	1	.12	+	8.58	1.10E-01
regulation of myofibroblast differentiation (GO:1904760)	5	1	.12	+	8.58	1.10E-01
aminophospholipid transport (GO:0015917)	5	1	.12	+	8.58	1.10E-01
long-chain fatty acid import across plasma membrane (GO:0015911)	5	1	.12	+	8.58	1.10E-01
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	1	.12	+	8.58	1.10E-01
regulation of microtubule binding (GO:1904526)	10	2	.23	+	8.58	2.33E-02
regulation of cardiac muscle tissue development (GO:0055024)	5	1	.12	+	8.58	1.10E-01
L-serine transport (GO:0015825)	5	1	.12	+	8.58	1.10E-01
aspartate transmembrane transport (GO:0015810)	10	2	.23	+	8.58	2.33E-02
cellular magnesium ion homeostasis (GO:0010961)	5	1	.12	+	8.58	1.10E-01
regulation of cellular response to heat (GO:1900034)	5	1	.12	+	8.58	1.10E-01
citrate transport (GO:0015746)	5	1	.12	+	8.58	1.10E-01
lactate transport (GO:0015727)	5	1	.12	+	8.58	1.10E-01
atrial cardiac muscle cell to AV node cell signaling (GO:0086026)	10	2	.23	+	8.58	2.33E-02
atrial cardiac muscle cell action potential (GO:0086014)	10	2	.23	+	8.58	2.33E-02
membrane disassembly (GO:0030397)	5	1	.12	+	8.58	1.10E-01
regulation of serine C-palmitoyltransferase activity (GO:1904220)	5	1	.12	+	8.58	1.10E-01
regulation of cardiac conduction (GO:1903779)	10	2	.23	+	8.58	2.33E-02
endocardial cell differentiation (GO:0060956)	5	1	.12	+	8.58	1.10E-01
axonemal central apparatus assembly (GO:1904158)	5	1	.12	+	8.58	1.10E-01
positive regulation of alkaline phosphatase activity (GO:0010694)	5	1	.12	+	8.58	1.10E-01
apoptotic chromosome condensation (GO:0030263)	5	1	.12	+	8.58	1.10E-01
positive regulation of platelet-derived growth factor receptor signaling pathway (GO:0010641)	5	1	.12	+	8.58	1.10E-01
regulation of cardiac muscle adaptation (GO:0010612)	10	2	.23	+	8.58	2.33E-02
cell adhesion involved in heart morphogenesis (GO:0061343)	5	1	.12	+	8.58	1.10E-01
regulation of phosphatidylinositol biosynthetic process (GO:0010511)	5	1	.12	+	8.58	1.10E-01
positive regulation of protein localization to cilium (GO:1903566)	5	1	.12	+	8.58	1.10E-01
isopentenyl diphosphate metabolic process (GO:0046490)	5	1	.12	+	8.58	1.10E-01
late endosome to Golgi transport (GO:0034499)	5	1	.12	+	8.58	1.10E-01
negative regulation of dendritic spine maintenance (GO:1902951)	5	1	.12	+	8.58	1.10E-01
skeletal muscle satellite cell activation (GO:0014719)	5	1	.12	+	8.58	1.10E-01
positive regulation of phospholipid translocation (GO:0061092)	5	1	.12	+	8.58	1.10E-01
oxalate transport (GO:0019532)	5	1	.12	+	8.58	1.10E-01
His-Purkinje system development (GO:0003164)	5	1	.12	+	8.58	1.10E-01
lens fiber cell differentiation (GO:0070306)	26	5	.61	+	8.25	4.05E-04
membrane fission (GO:0090148)	16	3	.37	+	8.04	6.52E-03
vasculogenesis involved in coronary vascular morphogenesis (GO:0060979)	16	3	.37	+	8.04	6.52E-03
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	27	5	.63	+	7.94	4.80E-04
regulation of cell proliferation in bone marrow (GO:0071863)	11	2	.26	+	7.80	2.77E-02
actin filament network formation (GO:0051639)	11	2	.26	+	7.80	2.77E-02
cAMP biosynthetic process (GO:0006171)	11	2	.26	+	7.80	2.77E-02
negative regulation of dendrite morphogenesis (GO:0050774)	11	2	.26	+	7.80	2.77E-02
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	11	2	.26	+	7.80	2.77E-02
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	11	2	.26	+	7.80	2.77E-02
membrane repolarization during action potential (GO:0086011)	11	2	.26	+	7.80	2.77E-02
regulation of nitric oxide mediated signal transduction (GO:0010749)	11	2	.26	+	7.80	2.77E-02
dichotomous subdivision of an epithelial terminal unit (GO:0060600)	11	2	.26	+	7.80	2.77E-02
production of small RNA involved in gene silencing by RNA (GO:0070918)	28	5	.65	+	7.66	5.65E-04
dsRNA processing (GO:0031050)	28	5	.65	+	7.66	5.65E-04
locomotor rhythm (GO:0045475)	17	3	.40	+	7.57	7.69E-03
axon regeneration (GO:0031103)	17	3	.40	+	7.57	7.69E-03
fatty-acyl-CoA metabolic process (GO:0035337)	17	3	.40	+	7.57	7.69E-03
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	29	5	.68	+	7.40	6.61E-04
positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	29	5	.68	+	7.40	6.61E-04
vascular associated smooth muscle contraction (GO:0014829)	18	3	.42	+	7.15	8.97E-03
negative regulation of chronic inflammatory response (GO:0002677)	6	1	.14	+	7.15	1.31E-01
optic nerve morphogenesis (GO:0021631)	6	1	.14	+	7.15	1.31E-01
regulation of membrane hyperpolarization (GO:1902630)	6	1	.14	+	7.15	1.31E-01
negative regulation of apoptotic process in bone marrow cell (GO:0071866)	6	1	.14	+	7.15	1.31E-01
regulation of apoptotic process in bone marrow cell (GO:0071865)	6	1	.14	+	7.15	1.31E-01
N-acetylneuraminate catabolic process (GO:0019262)	6	1	.14	+	7.15	1.31E-01
lactate biosynthetic process (GO:0019249)	6	1	.14	+	7.15	1.31E-01
intramembranous ossification (GO:0001957)	6	1	.14	+	7.15	1.31E-01
B-1 B cell differentiation (GO:0001923)	6	1	.14	+	7.15	1.31E-01
serotonin receptor signaling pathway (GO:0007210)	12	2	.28	+	7.15	3.25E-02
polyphosphate catabolic process (GO:0006798)	6	1	.14	+	7.15	1.31E-01
polyphosphate metabolic process (GO:0006797)	6	1	.14	+	7.15	1.31E-01
NADH regeneration (GO:0006735)	6	1	.14	+	7.15	1.31E-01
B cell proliferation involved in immune response (GO:0002322)	6	1	.14	+	7.15	1.31E-01
positive regulation of inositol trisphosphate biosynthetic process (GO:0032962)	6	1	.14	+	7.15	1.31E-01
positive regulation of transforming growth factor beta1 production (GO:0032914)	6	1	.14	+	7.15	1.31E-01
TORC2 signaling (GO:0038203)	6	1	.14	+	7.15	1.31E-01
triglyceride mobilization (GO:0006642)	6	1	.14	+	7.15	1.31E-01
monoacylglycerol biosynthetic process (GO:0006640)	6	1	.14	+	7.15	1.31E-01
positive regulation of skeletal muscle cell differentiation (GO:2001016)	6	1	.14	+	7.15	1.31E-01
negative regulation of skeletal muscle cell differentiation (GO:2001015)	6	1	.14	+	7.15	1.31E-01
oviduct development (GO:0060066)	6	1	.14	+	7.15	1.31E-01
positive regulation of cellular amine metabolic process (GO:0033240)	12	2	.28	+	7.15	3.25E-02
DNA methylation on cytosine (GO:0032776)	6	1	.14	+	7.15	1.31E-01
non-canonical Wnt signaling pathway via MAPK cascade (GO:0038030)	6	1	.14	+	7.15	1.31E-01
negative regulation of serotonin secretion (GO:0014063)	6	1	.14	+	7.15	1.31E-01
regulation of acetylcholine secretion, neurotransmission (GO:0014056)	6	1	.14	+	7.15	1.31E-01
negative regulation of gamma-aminobutyric acid secretion (GO:0014053)	6	1	.14	+	7.15	1.31E-01
manganese ion transmembrane transport (GO:0071421)	6	1	.14	+	7.15	1.31E-01
regulation of L-glutamate import across plasma membrane (GO:0002036)	6	1	.14	+	7.15	1.31E-01
intermediate filament bundle assembly (GO:0045110)	6	1	.14	+	7.15	1.31E-01
