




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (1540)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
priming of cellular response to stress (GO:0080136)	2	1	.22	+	4.62	1.94E-01
hexokinase-dependent signaling (GO:0009747)	2	1	.22	+	4.62	1.94E-01
hydrogen peroxide mediated signaling pathway involved in stomatal movement (GO:1901528)	2	1	.22	+	4.62	1.94E-01
regulation of defense response by callose deposition (GO:2000071)	4	2	.43	+	4.62	7.04E-02
tRNA thio-modification (GO:0034227)	4	2	.43	+	4.62	7.04E-02
response to vitamin B1 (GO:0010266)	2	1	.22	+	4.62	1.94E-01
SCF complex assembly (GO:0010265)	2	1	.22	+	4.62	1.94E-01
RNA import into mitochondrion (GO:0035927)	2	1	.22	+	4.62	1.94E-01
response to continuous far red light stimulus by the high-irradiance response system (GO:0010201)	2	1	.22	+	4.62	1.94E-01
positive regulation of anthocyanin metabolic process (GO:0031539)	2	1	.22	+	4.62	1.94E-01
positive regulation of cellular response to phosphate starvation (GO:0080040)	2	1	.22	+	4.62	1.94E-01
cell wall glycoprotein biosynthetic process (GO:0031506)	2	1	.22	+	4.62	1.94E-01
alternative mRNA splicing, via spliceosome (GO:0000380)	4	2	.43	+	4.62	7.04E-02
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	2	1	.22	+	4.62	1.94E-01
pyrimidine ribonucleotide salvage (GO:0010138)	6	3	.65	+	4.62	2.82E-02
ureide catabolic process (GO:0010136)	4	2	.43	+	4.62	7.04E-02
ureide metabolic process (GO:0010135)	4	2	.43	+	4.62	7.04E-02
flavin adenine dinucleotide biosynthetic process (GO:0072388)	2	1	.22	+	4.62	1.94E-01
cysteine biosynthetic process via cystathionine (GO:0019343)	2	1	.22	+	4.62	1.94E-01
pentose biosynthetic process (GO:0019322)	2	1	.22	+	4.62	1.94E-01
thiamine pyrophosphate transmembrane transport (GO:0030974)	2	1	.22	+	4.62	1.94E-01
apocarotenoid biosynthetic process (GO:0043289)	9	4	.97	+	4.11	1.73E-02
pyrimidine-containing compound salvage (GO:0008655)	9	4	.97	+	4.11	1.73E-02
tertiary alcohol biosynthetic process (GO:1902645)	9	4	.97	+	4.11	1.73E-02
regulation of shoot apical meristem development (GO:1902183)	9	4	.97	+	4.11	1.73E-02
abscisic acid biosynthetic process (GO:0009688)	9	4	.97	+	4.11	1.73E-02
response to symbiotic fungus (GO:0009610)	9	4	.97	+	4.11	1.73E-02
nucleoside diphosphate catabolic process (GO:0009134)	7	3	.76	+	3.96	4.14E-02
N-terminal protein amino acid acetylation (GO:0006474)	7	3	.76	+	3.96	4.14E-02
xanthophyll biosynthetic process (GO:0016123)	7	3	.76	+	3.96	4.14E-02
positive regulation of gibberellic acid mediated signaling pathway (GO:0009939)	7	3	.76	+	3.96	4.14E-02
pH reduction (GO:0045851)	7	3	.76	+	3.96	4.14E-02
photosynthesis, light harvesting in photosystem II (GO:0009769)	7	3	.76	+	3.96	4.14E-02
photosynthesis, light harvesting (GO:0009765)	31	13	3.35	+	3.88	4.81E-05
cellular carbohydrate catabolic process (GO:0044275)	36	15	3.89	+	3.85	1.41E-05
glycogen metabolic process (GO:0005977)	15	6	1.62	+	3.70	6.40E-03
energy reserve metabolic process (GO:0006112)	15	6	1.62	+	3.70	6.40E-03
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	5	2	.54	+	3.70	1.03E-01
positive regulation of circadian rhythm (GO:0042753)	10	4	1.08	+	3.70	2.43E-02
positive regulation of response to oxidative stress (GO:1902884)	5	2	.54	+	3.70	1.03E-01
phosphatidylcholine biosynthetic process (GO:0006656)	5	2	.54	+	3.70	1.03E-01
diacylglycerol biosynthetic process (GO:0006651)	5	2	.54	+	3.70	1.03E-01
response to molecule of oomycetes origin (GO:0002240)	5	2	.54	+	3.70	1.03E-01
PAMP-triggered immunity signalling pathway (GO:0140426)	5	2	.54	+	3.70	1.03E-01
protein lipoylation (GO:0009249)	5	2	.54	+	3.70	1.03E-01
purine nucleobase salvage (GO:0043096)	5	2	.54	+	3.70	1.03E-01
response to vitamin (GO:0033273)	5	2	.54	+	3.70	1.03E-01
response to redox state (GO:0051775)	5	2	.54	+	3.70	1.03E-01
transcription by RNA polymerase I (GO:0006360)	5	2	.54	+	3.70	1.03E-01
indole glucosinolate catabolic process (GO:0042344)	5	2	.54	+	3.70	1.03E-01
protein glutathionylation (GO:0010731)	5	2	.54	+	3.70	1.03E-01
adenine salvage (GO:0006168)	5	2	.54	+	3.70	1.03E-01
purine nucleobase catabolic process (GO:0006145)	5	2	.54	+	3.70	1.03E-01
NADH oxidation (GO:0006116)	5	2	.54	+	3.70	1.03E-01
miRNA metabolic process (GO:0010586)	5	2	.54	+	3.70	1.03E-01
determination of bilateral symmetry (GO:0009855)	5	2	.54	+	3.70	1.03E-01
gibberellic acid homeostasis (GO:0010336)	5	2	.54	+	3.70	1.03E-01
response to indolebutyric acid (GO:0080026)	5	2	.54	+	3.70	1.03E-01
response to symbiont (GO:0009608)	10	4	1.08	+	3.70	2.43E-02
positive regulation of tetrapyrrole metabolic process (GO:1901403)	5	2	.54	+	3.70	1.03E-01
inositol phosphorylation (GO:0052746)	5	2	.54	+	3.70	1.03E-01
starch metabolic process (GO:0005982)	51	20	5.51	+	3.63	1.41E-06
energy quenching (GO:1990066)	8	3	.86	+	3.47	5.72E-02
manganese ion transmembrane transport (GO:0071421)	8	3	.86	+	3.47	5.72E-02
positive regulation of development, heterochronic (GO:0045962)	8	3	.86	+	3.47	5.72E-02
response to iron ion starvation (GO:1990641)	8	3	.86	+	3.47	5.72E-02
response to high light intensity (GO:0009644)	40	15	4.32	+	3.47	4.60E-05
nonphotochemical quenching (GO:0010196)	8	3	.86	+	3.47	5.72E-02
threonine metabolic process (GO:0006566)	11	4	1.19	+	3.36	3.28E-02
long-chain fatty acid metabolic process (GO:0001676)	11	4	1.19	+	3.36	3.28E-02
homoserine metabolic process (GO:0009092)	11	4	1.19	+	3.36	3.28E-02
positive regulation of response to water deprivation (GO:1902584)	11	4	1.19	+	3.36	3.28E-02
cellular response to biotic stimulus (GO:0071216)	11	4	1.19	+	3.36	3.28E-02
nitrate assimilation (GO:0042128)	11	4	1.19	+	3.36	3.28E-02
nitrate metabolic process (GO:0042126)	11	4	1.19	+	3.36	3.28E-02
sulfate transport (GO:0008272)	11	4	1.19	+	3.36	3.28E-02
embryonic axis specification (GO:0000578)	11	4	1.19	+	3.36	3.28E-02
photosystem II assembly (GO:0010207)	15	5	1.62	+	3.08	2.48E-02
cellular sodium ion homeostasis (GO:0006883)	3	1	.32	+	3.08	2.77E-01
pyruvate transport (GO:0006848)	6	2	.65	+	3.08	1.38E-01
response to L-ascorbic acid (GO:0033591)	3	1	.32	+	3.08	2.77E-01
meiotic chromosome condensation (GO:0010032)	3	1	.32	+	3.08	2.77E-01
allantoin catabolic process (GO:0000256)	3	1	.32	+	3.08	2.77E-01
response to xenobiotic stimulus (GO:0009410)	9	3	.97	+	3.08	7.54E-02
endoplasmic reticulum tubular network organization (GO:0071786)	6	2	.65	+	3.08	1.38E-01
monopolar cell growth (GO:0042814)	3	1	.32	+	3.08	2.77E-01
epithelial cell differentiation (GO:0030855)	9	3	.97	+	3.08	7.54E-02
histone deubiquitination (GO:0016578)	3	1	.32	+	3.08	2.77E-01
thiamine metabolic process (GO:0006772)	6	2	.65	+	3.08	1.38E-01
protein autoprocessing (GO:0016540)	3	1	.32	+	3.08	2.77E-01
apocarotenoid metabolic process (GO:0043288)	18	6	1.95	+	3.08	1.46E-02
telomere maintenance in response to DNA damage (GO:0043247)	3	1	.32	+	3.08	2.77E-01
regulation of cyclase activity (GO:0031279)	3	1	.32	+	3.08	2.77E-01
regulation of exocyst localization (GO:0060178)	3	1	.32	+	3.08	2.77E-01
tRNA 3'-end processing (GO:0042780)	3	1	.32	+	3.08	2.77E-01
thiamine-containing compound metabolic process (GO:0042723)	6	2	.65	+	3.08	1.38E-01
regulation of response to oxidative stress (GO:1902882)	9	3	.97	+	3.08	7.54E-02
glycerol ether metabolic process (GO:0006662)	9	3	.97	+	3.08	7.54E-02
vacuolar protein processing (GO:0006624)	6	2	.65	+	3.08	1.38E-01
L-proline biosynthetic process (GO:0055129)	3	1	.32	+	3.08	2.77E-01
DNA repair complex assembly (GO:0090735)	3	1	.32	+	3.08	2.77E-01
single strand break repair (GO:0000012)	3	1	.32	+	3.08	2.77E-01
GDP-mannose biosynthetic process (GO:0009298)	6	2	.65	+	3.08	1.38E-01
regulation of potassium ion transmembrane transporter activity (GO:1901016)	3	1	.32	+	3.08	2.77E-01
proline catabolic process (GO:0006562)	3	1	.32	+	3.08	2.77E-01
endoplasmic reticulum membrane fusion (GO:0016320)	3	1	.32	+	3.08	2.77E-01
glutamine biosynthetic process (GO:0006542)	6	2	.65	+	3.08	1.38E-01
cytoplasmic translational termination (GO:0002184)	3	1	.32	+	3.08	2.77E-01
negative regulation of apoptotic process (GO:0043066)	3	1	.32	+	3.08	2.77E-01
pre-miRNA processing (GO:0031054)	3	1	.32	+	3.08	2.77E-01
Golgi to plasma membrane protein transport (GO:0043001)	3	1	.32	+	3.08	2.77E-01
fatty alcohol metabolic process (GO:1903173)	3	1	.32	+	3.08	2.77E-01
potassium ion export across plasma membrane (GO:0097623)	3	1	.32	+	3.08	2.77E-01
histone H3-R17 methylation (GO:0034971)	3	1	.32	+	3.08	2.77E-01
deoxyribonucleoside metabolic process (GO:0009120)	3	1	.32	+	3.08	2.77E-01
cellular response to UV-C (GO:0071494)	3	1	.32	+	3.08	2.77E-01
cellular response to blue light (GO:0071483)	18	6	1.95	+	3.08	1.46E-02
cellular response to ozone (GO:0071457)	3	1	.32	+	3.08	2.77E-01
protein ADP-ribosylation (GO:0006471)	3	1	.32	+	3.08	2.77E-01
secondary alcohol metabolic process (GO:1902652)	12	4	1.30	+	3.08	4.28E-02
tertiary alcohol metabolic process (GO:1902644)	18	6	1.95	+	3.08	1.46E-02
telomere capping (GO:0016233)	6	2	.65	+	3.08	1.38E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	3	1	.32	+	3.08	2.77E-01
response to nitrate starvation (GO:0090548)	3	1	.32	+	3.08	2.77E-01
oxidative demethylation (GO:0070989)	3	1	.32	+	3.08	2.77E-01
regulation of cellular response to oxidative stress (GO:1900407)	3	1	.32	+	3.08	2.77E-01
glycogen biosynthetic process (GO:0005978)	9	3	.97	+	3.08	7.54E-02
multi-organism intercellular transport (GO:1902586)	3	1	.32	+	3.08	2.77E-01
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	6	2	.65	+	3.08	1.38E-01
transcription by RNA polymerase III (GO:0006383)	3	1	.32	+	3.08	2.77E-01
epidermis development (GO:0008544)	9	3	.97	+	3.08	7.54E-02
molybdenum incorporation into molybdenum-molybdopterin complex (GO:0018315)	3	1	.32	+	3.08	2.77E-01
regulation of mRNA polyadenylation (GO:1900363)	3	1	.32	+	3.08	2.77E-01
regulation of transcription by RNA polymerase I (GO:0006356)	3	1	.32	+	3.08	2.77E-01
xanthophyll metabolic process (GO:0016122)	12	4	1.30	+	3.08	4.28E-02
heterochromatin organization involved in chromatin silencing (GO:0070868)	3	1	.32	+	3.08	2.77E-01
peptidyl-arginine omega-N-methylation (GO:0035247)	3	1	.32	+	3.08	2.77E-01
peptidyl-arginine N-methylation (GO:0035246)	3	1	.32	+	3.08	2.77E-01
gas transport (GO:0015669)	3	1	.32	+	3.08	2.77E-01
heterochromatin maintenance (GO:0070829)	3	1	.32	+	3.08	2.77E-01
chromatin maintenance (GO:0070827)	3	1	.32	+	3.08	2.77E-01
viral replication complex formation and maintenance (GO:0046786)	3	1	.32	+	3.08	2.77E-01
transport of virus in host, cell to cell (GO:0046740)	3	1	.32	+	3.08	2.77E-01
positive regulation of DNA biosynthetic process (GO:2000573)	3	1	.32	+	3.08	2.77E-01
protein N-linked glycosylation via asparagine (GO:0018279)	6	2	.65	+	3.08	1.38E-01
regulation of shade avoidance (GO:1902446)	3	1	.32	+	3.08	2.77E-01
regulation of hydrogen peroxide biosynthetic process (GO:0010728)	3	1	.32	+	3.08	2.77E-01
homogentisate metabolic process (GO:1901999)	3	1	.32	+	3.08	2.77E-01
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	3	1	.32	+	3.08	2.77E-01
peptidyl-asparagine modification (GO:0018196)	6	2	.65	+	3.08	1.38E-01
cellular component maintenance (GO:0043954)	3	1	.32	+	3.08	2.77E-01
aerenchyma formation (GO:0010618)	3	1	.32	+	3.08	2.77E-01
positive regulation of histone H3-K9 dimethylation (GO:1900111)	3	1	.32	+	3.08	2.77E-01
isocitrate metabolic process (GO:0006102)	12	4	1.30	+	3.08	4.28E-02
S-adenosylmethionine metabolic process (GO:0046500)	9	3	.97	+	3.08	7.54E-02
green leaf volatile biosynthetic process (GO:0010597)	3	1	.32	+	3.08	2.77E-01
regulation of starch biosynthetic process (GO:0010581)	3	1	.32	+	3.08	2.77E-01
peptidyl-lysine trimethylation (GO:0018023)	3	1	.32	+	3.08	2.77E-01
DNA recombinase assembly (GO:0000730)	3	1	.32	+	3.08	2.77E-01
regulation of cellular response to heat (GO:1900034)	6	2	.65	+	3.08	1.38E-01
pentacyclic triterpenoid biosynthetic process (GO:0019745)	3	1	.32	+	3.08	2.77E-01
pentacyclic triterpenoid metabolic process (GO:0019742)	3	1	.32	+	3.08	2.77E-01
dimethylallyl diphosphate metabolic process (GO:0050993)	3	1	.32	+	3.08	2.77E-01
dimethylallyl diphosphate biosynthetic process (GO:0050992)	3	1	.32	+	3.08	2.77E-01
epidermal cell fate specification (GO:0009957)	3	1	.32	+	3.08	2.77E-01
prephenate(2-) biosynthetic process (GO:1901747)	3	1	.32	+	3.08	2.77E-01
prephenate(2-) metabolic process (GO:1901745)	3	1	.32	+	3.08	2.77E-01
epidermal cell differentiation (GO:0009913)	9	3	.97	+	3.08	7.54E-02
FAD metabolic process (GO:0046443)	3	1	.32	+	3.08	2.77E-01
ncRNA 5'-end processing (GO:0034471)	3	1	.32	+	3.08	2.77E-01
metal incorporation into metallo-molybdopterin complex (GO:0042040)	3	1	.32	+	3.08	2.77E-01
response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance (GO:0032260)	3	1	.32	+	3.08	2.77E-01
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	1	.32	+	3.08	2.77E-01
choline metabolic process (GO:0019695)	3	1	.32	+	3.08	2.77E-01
protoxylem development (GO:0090059)	3	1	.32	+	3.08	2.77E-01
rRNA (guanine-N7)-methylation (GO:0070476)	3	1	.32	+	3.08	2.77E-01
induced systemic resistance, ethylene mediated signaling pathway (GO:0009866)	3	1	.32	+	3.08	2.77E-01
pollen tube adhesion (GO:0009865)	3	1	.32	+	3.08	2.77E-01
positive regulation of systemic acquired resistance (GO:1901672)	3	1	.32	+	3.08	2.77E-01
response to ketone (GO:1901654)	3	1	.32	+	3.08	2.77E-01
disaccharide catabolic process (GO:0046352)	6	2	.65	+	3.08	1.38E-01
diacylglycerol metabolic process (GO:0046339)	6	2	.65	+	3.08	1.38E-01
phosphatidylethanolamine metabolic process (GO:0046337)	9	3	.97	+	3.08	7.54E-02
protein K69-linked ufmylation (GO:1990592)	3	1	.32	+	3.08	2.77E-01
regulation of response to nutrient levels (GO:0032107)	3	1	.32	+	3.08	2.77E-01
regulation of response to extracellular stimulus (GO:0032104)	3	1	.32	+	3.08	2.77E-01
protein polyufmylation (GO:1990564)	3	1	.32	+	3.08	2.77E-01
leaf shaping (GO:0010358)	6	2	.65	+	3.08	1.38E-01
mitochondrial fusion (GO:0008053)	3	1	.32	+	3.08	2.77E-01
leaf formation (GO:0010338)	3	1	.32	+	3.08	2.77E-01
homogentisate catabolic process (GO:1902000)	3	1	.32	+	3.08	2.77E-01
abscisic acid transport (GO:0080168)	6	2	.65	+	3.08	1.38E-01
specification of symmetry (GO:0009799)	6	2	.65	+	3.08	1.38E-01
negative regulation of reductive pentose-phosphate cycle (GO:0080153)	3	1	.32	+	3.08	2.77E-01
regulation of reductive pentose-phosphate cycle (GO:0080152)	3	1	.32	+	3.08	2.77E-01
pyridine-containing compound catabolic process (GO:0072526)	3	1	.32	+	3.08	2.77E-01
flower calyx development (GO:0048464)	3	1	.32	+	3.08	2.77E-01
petal formation (GO:0048451)	3	1	.32	+	3.08	2.77E-01
IRE1-mediated unfolded protein response (GO:0036498)	3	1	.32	+	3.08	2.77E-01
sepal development (GO:0048442)	3	1	.32	+	3.08	2.77E-01
spermidine catabolic process (GO:0046203)	3	1	.32	+	3.08	2.77E-01
snoRNA splicing (GO:0034247)	3	1	.32	+	3.08	2.77E-01
positive regulation of cell size (GO:0045793)	3	1	.32	+	3.08	2.77E-01
response to cobalt ion (GO:0032025)	3	1	.32	+	3.08	2.77E-01
negative regulation of immune effector process (GO:0002698)	3	1	.32	+	3.08	2.77E-01
response to silver ion (GO:0010272)	3	1	.32	+	3.08	2.77E-01
photosystem II oxygen evolving complex assembly (GO:0010270)	3	1	.32	+	3.08	2.77E-01
regulation of photorespiration (GO:0080093)	3	1	.32	+	3.08	2.77E-01
regulation of response to endoplasmic reticulum stress (GO:1905897)	3	1	.32	+	3.08	2.77E-01
abscisic acid metabolic process (GO:0009687)	18	6	1.95	+	3.08	1.46E-02
negative regulation of defense response to virus (GO:0050687)	3	1	.32	+	3.08	2.77E-01
mRNA methylation (GO:0080009)	3	1	.32	+	3.08	2.77E-01
protein poly-ADP-ribosylation (GO:0070212)	3	1	.32	+	3.08	2.77E-01
phloem loading (GO:0110126)	6	2	.65	+	3.08	1.38E-01
pyrimidine deoxyribonucleoside metabolic process (GO:0046125)	3	1	.32	+	3.08	2.77E-01
thymidine metabolic process (GO:0046104)	3	1	.32	+	3.08	2.77E-01
hypotonic response (GO:0006971)	3	1	.32	+	3.08	2.77E-01
positive regulation of binding (GO:0051099)	3	1	.32	+	3.08	2.77E-01
abaxial cell fate specification (GO:0010158)	6	2	.65	+	3.08	1.38E-01
positive regulation of DNA metabolic process (GO:0051054)	9	3	.97	+	3.08	7.54E-02
proline catabolic process to glutamate (GO:0010133)	3	1	.32	+	3.08	2.77E-01
alkane biosynthetic process (GO:0043447)	3	1	.32	+	3.08	2.77E-01
cellular alkane metabolic process (GO:0043446)	3	1	.32	+	3.08	2.77E-01
phenylacetate catabolic process (GO:0010124)	3	1	.32	+	3.08	2.77E-01
negative regulation of systemic acquired resistance (GO:0010113)	3	1	.32	+	3.08	2.77E-01
regulation of photosynthesis, dark reaction (GO:0010110)	3	1	.32	+	3.08	2.77E-01
cellular response to iron ion starvation (GO:0010106)	3	1	.32	+	3.08	2.77E-01
lipoxygenase pathway (GO:0019372)	3	1	.32	+	3.08	2.77E-01
regulation of mRNA 3'-end processing (GO:0031440)	3	1	.32	+	3.08	2.77E-01
regulation of exocytosis (GO:0017157)	6	2	.65	+	3.08	1.38E-01
hexose catabolic process (GO:0019320)	3	1	.32	+	3.08	2.77E-01
adenine biosynthetic process (GO:0046084)	6	2	.65	+	3.08	1.38E-01
adenine metabolic process (GO:0046083)	6	2	.65	+	3.08	1.38E-01
glucoside transport (GO:0042946)	3	1	.32	+	3.08	2.77E-01
cell redox homeostasis (GO:0045454)	43	14	4.65	+	3.01	3.37E-04
response to red light (GO:0010114)	50	16	5.41	+	2.96	1.60E-04
magnesium ion transport (GO:0015693)	19	6	2.05	+	2.92	1.85E-02
defense response to Gram-negative bacterium (GO:0050829)	19	6	2.05	+	2.92	1.85E-02
N-terminal protein amino acid modification (GO:0031365)	16	5	1.73	+	2.89	3.15E-02
response to low light intensity stimulus (GO:0009645)	16	5	1.73	+	2.89	3.15E-02
response to far red light (GO:0010218)	29	9	3.14	+	2.87	4.98E-03
reactive nitrogen species metabolic process (GO:2001057)	13	4	1.41	+	2.85	5.43E-02
protein maturation by iron-sulfur cluster transfer (GO:0097428)	13	4	1.41	+	2.85	5.43E-02
fructose 6-phosphate metabolic process (GO:0006002)	13	4	1.41	+	2.85	5.43E-02
entrainment of circadian clock (GO:0009649)	13	4	1.41	+	2.85	5.43E-02
mucilage biosynthetic process involved in seed coat development (GO:0048354)	13	4	1.41	+	2.85	5.43E-02
galactolipid biosynthetic process (GO:0019375)	13	4	1.41	+	2.85	5.43E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	23	7	2.49	+	2.82	1.37E-02
CTP metabolic process (GO:0046036)	10	3	1.08	+	2.77	9.58E-02
riboflavin metabolic process (GO:0006771)	10	3	1.08	+	2.77	9.58E-02
flavin-containing compound biosynthetic process (GO:0042727)	10	3	1.08	+	2.77	9.58E-02
regulation of starch metabolic process (GO:2000904)	10	3	1.08	+	2.77	9.58E-02
riboflavin biosynthetic process (GO:0009231)	10	3	1.08	+	2.77	9.58E-02
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	10	3	1.08	+	2.77	9.58E-02
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	10	3	1.08	+	2.77	9.58E-02
outer mitochondrial membrane organization (GO:0007008)	10	3	1.08	+	2.77	9.58E-02
protein O-linked glycosylation (GO:0006493)	10	3	1.08	+	2.77	9.58E-02
protein insertion into mitochondrial outer membrane (GO:0045040)	10	3	1.08	+	2.77	9.58E-02
phylloquinone metabolic process (GO:0042374)	10	3	1.08	+	2.77	9.58E-02
phylloquinone biosynthetic process (GO:0042372)	10	3	1.08	+	2.77	9.58E-02
CTP biosynthetic process (GO:0006241)	10	3	1.08	+	2.77	9.58E-02
cellular response to hydrogen peroxide (GO:0070301)	10	3	1.08	+	2.77	9.58E-02
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	10	3	1.08	+	2.77	9.58E-02
protein deneddylation (GO:0000338)	10	3	1.08	+	2.77	9.58E-02
circadian rhythm (GO:0007623)	74	22	8.00	+	2.75	3.14E-05
rhythmic process (GO:0048511)	74	22	8.00	+	2.75	3.14E-05
regulation of cellular pH (GO:0030641)	27	8	2.92	+	2.74	1.02E-02
regulation of intracellular pH (GO:0051453)	27	8	2.92	+	2.74	1.02E-02
unsaturated fatty acid metabolic process (GO:0033559)	24	7	2.59	+	2.70	1.69E-02
photosynthesis, light reaction (GO:0019684)	86	25	9.30	+	2.69	1.36E-05
cellular response to light stimulus (GO:0071482)	66	19	7.14	+	2.66	1.58E-04
response to anoxia (GO:0034059)	7	2	.76	+	2.64	1.76E-01
cellular zinc ion homeostasis (GO:0006882)	7	2	.76	+	2.64	1.76E-01
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	7	2	.76	+	2.64	1.76E-01
starch biosynthetic process (GO:0019252)	28	8	3.03	+	2.64	1.24E-02
NAD biosynthetic process (GO:0009435)	7	2	.76	+	2.64	1.76E-01
alditol phosphate metabolic process (GO:0052646)	7	2	.76	+	2.64	1.76E-01
chorismate biosynthetic process (GO:0009423)	7	2	.76	+	2.64	1.76E-01
glutathione catabolic process (GO:0006751)	7	2	.76	+	2.64	1.76E-01
response to mannose (GO:1905582)	7	2	.76	+	2.64	1.76E-01
arabinan catabolic process (GO:0031222)	7	2	.76	+	2.64	1.76E-01
oligosaccharide catabolic process (GO:0009313)	7	2	.76	+	2.64	1.76E-01
inositol trisphosphate metabolic process (GO:0032957)	7	2	.76	+	2.64	1.76E-01
somatic cell DNA recombination (GO:0016444)	7	2	.76	+	2.64	1.76E-01
sodium ion homeostasis (GO:0055078)	7	2	.76	+	2.64	1.76E-01
leucine catabolic process (GO:0006552)	7	2	.76	+	2.64	1.76E-01
glycine catabolic process (GO:0006546)	7	2	.76	+	2.64	1.76E-01
negative regulation of defense response to bacterium (GO:1900425)	14	4	1.51	+	2.64	6.73E-02
dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)	7	2	.76	+	2.64	1.76E-01
pentose-phosphate shunt, oxidative branch (GO:0009051)	14	4	1.51	+	2.64	6.73E-02
