




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (1025)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of protein binding (GO:0032091)	2	2	.35	+	5.73	4.83E-02
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	1	1	.17	+	5.73	1.60E-01
nitric oxide metabolic process (GO:0046209)	1	1	.17	+	5.73	1.60E-01
mRNA pseudouridine synthesis (GO:1990481)	1	1	.17	+	5.73	1.60E-01
ARF protein signal transduction (GO:0032011)	1	1	.17	+	5.73	1.60E-01
negative regulation of autophagosome size (GO:0045771)	1	1	.17	+	5.73	1.60E-01
positive regulation of protein localization to cell surface (GO:2000010)	1	1	.17	+	5.73	1.60E-01
box H/ACA snoRNA 3'-end processing (GO:0000495)	1	1	.17	+	5.73	1.60E-01
regulation of protein localization to cell surface (GO:2000008)	1	1	.17	+	5.73	1.60E-01
tendon development (GO:0035989)	1	1	.17	+	5.73	1.60E-01
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	1	1	.17	+	5.73	1.60E-01
cardiolipin acyl-chain remodeling (GO:0035965)	1	1	.17	+	5.73	1.60E-01
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	2	2	.35	+	5.73	4.83E-02
response to UV-C (GO:0010225)	1	1	.17	+	5.73	1.60E-01
RNA import into mitochondrion (GO:0035927)	1	1	.17	+	5.73	1.60E-01
peptidyl-serine dephosphorylation (GO:0070262)	1	1	.17	+	5.73	1.60E-01
pharynx development (GO:0060465)	1	1	.17	+	5.73	1.60E-01
wing disc proximal/distal pattern formation (GO:0007473)	3	3	.52	+	5.73	1.62E-02
response to high light intensity (GO:0009644)	1	1	.17	+	5.73	1.60E-01
regulation of cytoplasmic transport (GO:1903649)	1	1	.17	+	5.73	1.60E-01
positive regulation of chaperone-mediated protein folding (GO:1903646)	1	1	.17	+	5.73	1.60E-01
regulation of chaperone-mediated protein folding (GO:1903644)	1	1	.17	+	5.73	1.60E-01
renal water transport (GO:0003097)	1	1	.17	+	5.73	1.60E-01
hydrogen peroxide biosynthetic process (GO:0050665)	1	1	.17	+	5.73	1.60E-01
cytokine secretion (GO:0050663)	1	1	.17	+	5.73	1.60E-01
renal water homeostasis (GO:0003091)	1	1	.17	+	5.73	1.60E-01
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	1	1	.17	+	5.73	1.60E-01
muscle tissue morphogenesis (GO:0060415)	2	2	.35	+	5.73	4.83E-02
imidazole-containing compound catabolic process (GO:0052805)	1	1	.17	+	5.73	1.60E-01
circadian regulation of heart rate (GO:0003053)	3	3	.52	+	5.73	1.62E-02
pigment catabolic process (GO:0046149)	1	1	.17	+	5.73	1.60E-01
protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947)	1	1	.17	+	5.73	1.60E-01
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response (GO:0006990)	1	1	.17	+	5.73	1.60E-01
response to lipid hydroperoxide (GO:0006982)	1	1	.17	+	5.73	1.60E-01
negative regulation of R8 cell differentiation (GO:0045680)	1	1	.17	+	5.73	1.60E-01
regulation of R8 cell differentiation (GO:0045679)	1	1	.17	+	5.73	1.60E-01
malate-aspartate shuttle (GO:0043490)	2	2	.35	+	5.73	4.83E-02
positive regulation of cyclin-dependent protein kinase activity (GO:1904031)	2	2	.35	+	5.73	4.83E-02
proton-transporting ATP synthase complex assembly (GO:0043461)	1	1	.17	+	5.73	1.60E-01
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	1	1	.17	+	5.73	1.60E-01
negative regulation of membrane protein ectodomain proteolysis (GO:0051045)	1	1	.17	+	5.73	1.60E-01
regulation of membrane protein ectodomain proteolysis (GO:0051043)	1	1	.17	+	5.73	1.60E-01
response to corticotropin-releasing hormone (GO:0043435)	1	1	.17	+	5.73	1.60E-01
protein localization to pericentriolar material (GO:1905793)	1	1	.17	+	5.73	1.60E-01
protein localization to chromosome, telomeric region (GO:0070198)	1	1	.17	+	5.73	1.60E-01
N-terminal peptidyl-serine acetylation (GO:0017198)	1	1	.17	+	5.73	1.60E-01
UV-A, blue light phototransduction (GO:0009588)	2	2	.35	+	5.73	4.83E-02
negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)	1	1	.17	+	5.73	1.60E-01
polycistronic mRNA processing (GO:0031426)	1	1	.17	+	5.73	1.60E-01
chaperone-mediated protein transport (GO:0072321)	1	1	.17	+	5.73	1.60E-01
anterior midgut invagination (GO:0007375)	1	1	.17	+	5.73	1.60E-01
drug metabolic process (GO:0017144)	2	2	.35	+	5.73	4.83E-02
positive regulation of mitochondrial translation (GO:0070131)	2	2	.35	+	5.73	4.83E-02
negative regulation of mitochondrial translation (GO:0070130)	1	1	.17	+	5.73	1.60E-01
anterior region determination (GO:0007355)	1	1	.17	+	5.73	1.60E-01
positive regulation of membrane permeability (GO:1905710)	1	1	.17	+	5.73	1.60E-01
regulation of mitochondrial ATP synthesis coupled proton transport (GO:1905706)	1	1	.17	+	5.73	1.60E-01
endoplasmic reticulum to cytosol transport (GO:1903513)	1	1	.17	+	5.73	1.60E-01
sperm capacitation (GO:0048240)	1	1	.17	+	5.73	1.60E-01
retrograde protein transport, ER to cytosol (GO:0030970)	1	1	.17	+	5.73	1.60E-01
rhabdomere morphogenesis (GO:0061541)	5	5	.87	+	5.73	2.03E-03
acylglycerol biosynthetic process (GO:0046463)	6	5	1.05	+	4.78	4.39E-03
neutral lipid biosynthetic process (GO:0046460)	6	5	1.05	+	4.78	4.39E-03
triglyceride biosynthetic process (GO:0019432)	5	4	.87	+	4.59	1.21E-02
tricarboxylic acid metabolic process (GO:0072350)	5	4	.87	+	4.59	1.21E-02
regulation of mitochondrial translation (GO:0070129)	5	4	.87	+	4.59	1.21E-02
pteridine biosynthetic process (GO:0006728)	4	3	.70	+	4.30	3.38E-02
rRNA pseudouridine synthesis (GO:0031118)	4	3	.70	+	4.30	3.38E-02
pseudouridine synthesis (GO:0001522)	4	3	.70	+	4.30	3.38E-02
citrate metabolic process (GO:0006101)	4	3	.70	+	4.30	3.38E-02
positive regulation of phagocytosis (GO:0050766)	8	6	1.40	+	4.30	3.12E-03
ADP metabolic process (GO:0046031)	13	9	2.27	+	3.97	5.68E-04
ribonucleoside diphosphate metabolic process (GO:0009185)	13	9	2.27	+	3.97	5.68E-04
purine ribonucleoside diphosphate metabolic process (GO:0009179)	13	9	2.27	+	3.97	5.68E-04
purine nucleoside diphosphate metabolic process (GO:0009135)	13	9	2.27	+	3.97	5.68E-04
Golgi vesicle docking (GO:0048211)	3	2	.52	+	3.82	9.73E-02
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	3	2	.52	+	3.82	9.73E-02
nitric oxide mediated signal transduction (GO:0007263)	3	2	.52	+	3.82	9.73E-02
gamma-aminobutyric acid signaling pathway (GO:0007214)	3	2	.52	+	3.82	9.73E-02
ATP generation from ADP (GO:0006757)	12	8	2.09	+	3.82	1.43E-03
response to ether (GO:0045472)	3	2	.52	+	3.82	9.73E-02
juvenile hormone metabolic process (GO:0006716)	3	2	.52	+	3.82	9.73E-02
sesquiterpenoid metabolic process (GO:0006714)	3	2	.52	+	3.82	9.73E-02
positive regulation of cuticle pigmentation (GO:0048081)	3	2	.52	+	3.82	9.73E-02
regulation of establishment or maintenance of cell polarity (GO:0032878)	3	2	.52	+	3.82	9.73E-02
post-chaperonin tubulin folding pathway (GO:0007023)	3	2	.52	+	3.82	9.73E-02
SNARE complex disassembly (GO:0035494)	3	2	.52	+	3.82	9.73E-02
sulfation (GO:0051923)	3	2	.52	+	3.82	9.73E-02
histamine metabolic process (GO:0001692)	3	2	.52	+	3.82	9.73E-02
positive phototaxis (GO:0046956)	3	2	.52	+	3.82	9.73E-02
aspartate transmembrane transport (GO:0015810)	3	2	.52	+	3.82	9.73E-02
regulation of mitochondrial gene expression (GO:0062125)	6	4	1.05	+	3.82	2.19E-02
beta-catenin destruction complex disassembly (GO:1904886)	3	2	.52	+	3.82	9.73E-02
assembly of large subunit precursor of preribosome (GO:1902626)	3	2	.52	+	3.82	9.73E-02
G protein-coupled receptor internalization (GO:0002031)	3	2	.52	+	3.82	9.73E-02
desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	3	2	.52	+	3.82	9.73E-02
fatty-acyl-CoA metabolic process (GO:0035337)	3	2	.52	+	3.82	9.73E-02
positive regulation of extracellular matrix organization (GO:1903055)	3	2	.52	+	3.82	9.73E-02
negative regulation of transcription regulatory region DNA binding (GO:2000678)	3	2	.52	+	3.82	9.73E-02
tRNA methylation (GO:0030488)	3	2	.52	+	3.82	9.73E-02
retinoid metabolic process (GO:0001523)	3	2	.52	+	3.82	9.73E-02
dopamine biosynthetic process (GO:0042416)	3	2	.52	+	3.82	9.73E-02
termination of RNA polymerase II transcription (GO:0006369)	3	2	.52	+	3.82	9.73E-02
diterpenoid metabolic process (GO:0016101)	3	2	.52	+	3.82	9.73E-02
double-strand break repair via single-strand annealing (GO:0045002)	3	2	.52	+	3.82	9.73E-02
positive energy taxis (GO:0052128)	3	2	.52	+	3.82	9.73E-02
snRNA modification (GO:0040031)	3	2	.52	+	3.82	9.73E-02
isoprenoid catabolic process (GO:0008300)	3	2	.52	+	3.82	9.73E-02
regulation of centriole replication (GO:0046599)	3	2	.52	+	3.82	9.73E-02
glycolytic process (GO:0006096)	12	8	2.09	+	3.82	1.43E-03
parallel actin filament bundle assembly (GO:0030046)	3	2	.52	+	3.82	9.73E-02
negative adaptation of signaling pathway (GO:0022401)	3	2	.52	+	3.82	9.73E-02
central nervous system projection neuron axonogenesis (GO:0021952)	3	2	.52	+	3.82	9.73E-02
protein desumoylation (GO:0016926)	3	2	.52	+	3.82	9.73E-02
peptidyl-threonine dephosphorylation (GO:0035970)	3	2	.52	+	3.82	9.73E-02
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	3	2	.52	+	3.82	9.73E-02
regulation of response to endoplasmic reticulum stress (GO:1905897)	3	2	.52	+	3.82	9.73E-02
imidazole-containing compound metabolic process (GO:0052803)	3	2	.52	+	3.82	9.73E-02
smooth muscle contraction (GO:0006939)	3	2	.52	+	3.82	9.73E-02
response to light intensity (GO:0009642)	9	6	1.57	+	3.82	5.47E-03
regulation of phagocytosis (GO:0050764)	11	7	1.92	+	3.65	3.59E-03
detection of light stimulus involved in sensory perception (GO:0050962)	8	5	1.40	+	3.58	1.40E-02
eclosion rhythm (GO:0008062)	8	5	1.40	+	3.58	1.40E-02
maturation of LSU-rRNA (GO:0000470)	13	8	2.27	+	3.53	2.34E-03
positive regulation of developmental pigmentation (GO:0048087)	5	3	.87	+	3.44	5.82E-02
optomotor response (GO:0071632)	5	3	.87	+	3.44	5.82E-02
regulation of neuron projection arborization (GO:0150011)	5	3	.87	+	3.44	5.82E-02
regulation of transcription regulatory region DNA binding (GO:2000677)	5	3	.87	+	3.44	5.82E-02
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	5	3	.87	+	3.44	5.82E-02
pteridine metabolic process (GO:0019889)	5	3	.87	+	3.44	5.82E-02
negative regulation of protein catabolic process (GO:0042177)	10	6	1.74	+	3.44	8.92E-03
optokinetic behavior (GO:0007634)	5	3	.87	+	3.44	5.82E-02
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	5	3	.87	+	3.44	5.82E-02
morphogenesis of larval imaginal disc epithelium (GO:0016335)	7	4	1.22	+	3.28	3.55E-02
protein deglycosylation (GO:0006517)	7	4	1.22	+	3.28	3.55E-02
inositol metabolic process (GO:0006020)	7	4	1.22	+	3.28	3.55E-02
nucleotide phosphorylation (GO:0046939)	16	9	2.79	+	3.23	2.34E-03
nucleoside diphosphate phosphorylation (GO:0006165)	16	9	2.79	+	3.23	2.34E-03
behavioral response to cocaine (GO:0048148)	9	5	1.57	+	3.19	2.19E-02
terpenoid metabolic process (GO:0006721)	9	5	1.57	+	3.19	2.19E-02
negative regulation of cellular protein catabolic process (GO:1903363)	9	5	1.57	+	3.19	2.19E-02
circadian regulation of gene expression (GO:0032922)	9	5	1.57	+	3.19	2.19E-02
nucleoside diphosphate metabolic process (GO:0009132)	18	10	3.14	+	3.19	1.50E-03
regulation of rhodopsin mediated signaling pathway (GO:0022400)	18	10	3.14	+	3.19	1.50E-03
sperm chromatin decondensation (GO:0035041)	11	6	1.92	+	3.13	1.37E-02
chloride transmembrane transport (GO:1902476)	13	7	2.27	+	3.09	8.62E-03
rhodopsin mediated signaling pathway (GO:0016056)	13	7	2.27	+	3.09	8.62E-03
rhodopsin metabolic process (GO:0046154)	13	7	2.27	+	3.09	8.62E-03
retina homeostasis (GO:0001895)	15	8	2.62	+	3.06	5.45E-03
deactivation of rhodopsin mediated signaling (GO:0016059)	17	9	2.96	+	3.04	3.47E-03
negative regulation of histone H2A K63-linked ubiquitination (GO:1901315)	2	1	.35	+	2.87	2.94E-01
regulation of histone H2A K63-linked ubiquitination (GO:1901314)	2	1	.35	+	2.87	2.94E-01
response to anoxia (GO:0034059)	6	3	1.05	+	2.87	8.89E-02
contractile ring localization (GO:0036214)	2	1	.35	+	2.87	2.94E-01
cell volume homeostasis (GO:0006884)	4	2	.70	+	2.87	1.55E-01
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	2	1	.35	+	2.87	2.94E-01
intracellular sequestering of iron ion (GO:0006880)	2	1	.35	+	2.87	2.94E-01
regulation of protein binding (GO:0043393)	6	3	1.05	+	2.87	8.89E-02
pre-mRNA catabolic process (GO:1990261)	2	1	.35	+	2.87	2.94E-01
manganese ion transport (GO:0006828)	4	2	.70	+	2.87	1.55E-01
regulation of transcription from RNA polymerase II promoter in response to DNA damage (GO:1990248)	2	1	.35	+	2.87	2.94E-01
response to iron(II) ion (GO:0010040)	2	1	.35	+	2.87	2.94E-01
clustering of voltage-gated calcium channels (GO:0070073)	2	1	.35	+	2.87	2.94E-01
proton-transporting two-sector ATPase complex assembly (GO:0070071)	2	1	.35	+	2.87	2.94E-01
gamma-aminobutyric acid metabolic process (GO:0009448)	2	1	.35	+	2.87	2.94E-01
alditol phosphate metabolic process (GO:0052646)	2	1	.35	+	2.87	2.94E-01
behavioral response to ether (GO:0048150)	2	1	.35	+	2.87	2.94E-01
patched ligand maturation (GO:0007225)	2	1	.35	+	2.87	2.94E-01
tachykinin receptor signaling pathway (GO:0007217)	4	2	.70	+	2.87	1.55E-01
activation of phospholipase C activity (GO:0007202)	2	1	.35	+	2.87	2.94E-01
outer dynein arm assembly (GO:0036158)	4	2	.70	+	2.87	1.55E-01
somatic stem cell division (GO:0048103)	2	1	.35	+	2.87	2.94E-01
nucleosome positioning (GO:0016584)	2	1	.35	+	2.87	2.94E-01
female analia development (GO:0045497)	2	1	.35	+	2.87	2.94E-01
male analia development (GO:0045496)	2	1	.35	+	2.87	2.94E-01
regulation of p38MAPK cascade (GO:1900744)	2	1	.35	+	2.87	2.94E-01
R8 cell-mediated photoreceptor organization (GO:0045470)	2	1	.35	+	2.87	2.94E-01
NADH metabolic process (GO:0006734)	4	2	.70	+	2.87	1.55E-01
negative regulation of protein polyubiquitination (GO:1902915)	2	1	.35	+	2.87	2.94E-01
protein localization to rhabdomere (GO:1990146)	2	1	.35	+	2.87	2.94E-01
endothelial cell differentiation (GO:0045446)	2	1	.35	+	2.87	2.94E-01
positive regulation of guanylate cyclase activity (GO:0031284)	2	1	.35	+	2.87	2.94E-01
regulation of guanylate cyclase activity (GO:0031282)	2	1	.35	+	2.87	2.94E-01
folic acid-containing compound biosynthetic process (GO:0009396)	2	1	.35	+	2.87	2.94E-01
positive regulation of lipase activity (GO:0060193)	2	1	.35	+	2.87	2.94E-01
regulation of lipase activity (GO:0060191)	2	1	.35	+	2.87	2.94E-01
endothelial cell development (GO:0001885)	2	1	.35	+	2.87	2.94E-01
regulation of Golgi organization (GO:1903358)	2	1	.35	+	2.87	2.94E-01
positive regulation of compound eye pigmentation (GO:0048078)	2	1	.35	+	2.87	2.94E-01
positive regulation of eye pigmentation (GO:0048075)	2	1	.35	+	2.87	2.94E-01
male somatic sex determination (GO:0019102)	2	1	.35	+	2.87	2.94E-01
positive regulation of regulated secretory pathway (GO:1903307)	2	1	.35	+	2.87	2.94E-01
negative regulation of response to oxidative stress (GO:1902883)	2	1	.35	+	2.87	2.94E-01
sphingosine metabolic process (GO:0006670)	6	3	1.05	+	2.87	8.89E-02
acyl-CoA biosynthetic process (GO:0071616)	4	2	.70	+	2.87	1.55E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	2	1	.35	+	2.87	2.94E-01
acyl-CoA metabolic process (GO:0006637)	8	4	1.40	+	2.87	5.30E-02
nucleoside salvage (GO:0043174)	2	1	.35	+	2.87	2.94E-01
farnesyl diphosphate metabolic process (GO:0045338)	2	1	.35	+	2.87	2.94E-01
farnesyl diphosphate biosynthetic process (GO:0045337)	2	1	.35	+	2.87	2.94E-01
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	2	1	.35	+	2.87	2.94E-01
leukocyte activation (GO:0045321)	2	1	.35	+	2.87	2.94E-01
positive regulation of compound eye photoreceptor development (GO:0045315)	2	1	.35	+	2.87	2.94E-01
inhibition of cysteine-type endopeptidase activity involved in apoptotic process (GO:1990001)	2	1	.35	+	2.87	2.94E-01
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	6	3	1.05	+	2.87	8.89E-02
protein localization to Golgi membrane (GO:1903292)	2	1	.35	+	2.87	2.94E-01
meiotic cell cycle checkpoint (GO:0033313)	4	2	.70	+	2.87	1.55E-01
circadian temperature homeostasis (GO:0060086)	4	2	.70	+	2.87	1.55E-01
membrane bending (GO:0097753)	2	1	.35	+	2.87	2.94E-01
positive regulation of microtubule depolymerization (GO:0031117)	2	1	.35	+	2.87	2.94E-01
negative regulation of microtubule polymerization (GO:0031115)	2	1	.35	+	2.87	2.94E-01
regulation of vacuole fusion, non-autophagic (GO:0032889)	2	1	.35	+	2.87	2.94E-01
regulation of mitotic spindle elongation (GO:0032888)	2	1	.35	+	2.87	2.94E-01
regulation of spindle elongation (GO:0032887)	2	1	.35	+	2.87	2.94E-01
pericardium development (GO:0060039)	2	1	.35	+	2.87	2.94E-01
positive regulation of malate dehydrogenase (decarboxylating) (NADP+) activity (GO:1903220)	2	1	.35	+	2.87	2.94E-01
regulation of malate dehydrogenase (decarboxylating) (NADP+) activity (GO:1903218)	2	1	.35	+	2.87	2.94E-01
regulation of response to reactive oxygen species (GO:1901031)	2	1	.35	+	2.87	2.94E-01
tubulin complex assembly (GO:0007021)	4	2	.70	+	2.87	1.55E-01
inner mitochondrial membrane organization (GO:0007007)	6	3	1.05	+	2.87	8.89E-02
mitochondrial large ribosomal subunit assembly (GO:1902775)	2	1	.35	+	2.87	2.94E-01
dopamine biosynthetic process from tyrosine (GO:0006585)	2	1	.35	+	2.87	2.94E-01
positive regulation of transmission of nerve impulse (GO:0051971)	2	1	.35	+	2.87	2.94E-01
monovalent inorganic anion homeostasis (GO:0055083)	2	1	.35	+	2.87	2.94E-01
establishment or maintenance of polarity of embryonic epithelium (GO:0016332)	6	3	1.05	+	2.87	8.89E-02
chloride ion homeostasis (GO:0055064)	2	1	.35	+	2.87	2.94E-01
endoplasmic reticulum membrane fusion (GO:0016320)	2	1	.35	+	2.87	2.94E-01
glutamate catabolic process (GO:0006538)	4	2	.70	+	2.87	1.55E-01
regulation of GTP cyclohydrolase I activity (GO:0043095)	2	1	.35	+	2.87	2.94E-01
cysteine metabolic process (GO:0006534)	2	1	.35	+	2.87	2.94E-01
negative regulation of calcium ion transport (GO:0051926)	6	3	1.05	+	2.87	8.89E-02
vesicle cargo loading (GO:0035459)	6	3	1.05	+	2.87	8.89E-02
heme transport (GO:0015886)	2	1	.35	+	2.87	2.94E-01
maintenance of neuroblast polarity (GO:0045201)	2	1	.35	+	2.87	2.94E-01
tRNA 5'-leader removal (GO:0001682)	2	1	.35	+	2.87	2.94E-01
L-glutamate transmembrane transport (GO:0015813)	4	2	.70	+	2.87	1.55E-01
modulation by symbiont of entry into host (GO:0052372)	2	1	.35	+	2.87	2.94E-01
fatty-acyl-CoA biosynthetic process (GO:0046949)	2	1	.35	+	2.87	2.94E-01
acidic amino acid transport (GO:0015800)	6	3	1.05	+	2.87	8.89E-02
retinal metabolic process (GO:0042574)	2	1	.35	+	2.87	2.94E-01
temperature homeostasis (GO:0001659)	4	2	.70	+	2.87	1.55E-01
negative regulation of ATPase activity (GO:0032780)	2	1	.35	+	2.87	2.94E-01
superoxide anion generation (GO:0042554)	2	1	.35	+	2.87	2.94E-01
nitric oxide-cGMP-mediated signaling pathway (GO:0038060)	2	1	.35	+	2.87	2.94E-01
regulation of cytoplasmic translation (GO:2000765)	6	3	1.05	+	2.87	8.89E-02
signal transduction in absence of ligand (GO:0038034)	2	1	.35	+	2.87	2.94E-01
cellular response to water stimulus (GO:0071462)	2	1	.35	+	2.87	2.94E-01
regulation of SMAD protein complex assembly (GO:0010990)	2	1	.35	+	2.87	2.94E-01
mitochondrial ribosome assembly (GO:0061668)	2	1	.35	+	2.87	2.94E-01
O-glycan processing, core 1 (GO:0016267)	2	1	.35	+	2.87	2.94E-01
malate transmembrane transport (GO:0071423)	2	1	.35	+	2.87	2.94E-01
succinate transmembrane transport (GO:0071422)	2	1	.35	+	2.87	2.94E-01
regulation of autophagosome size (GO:0016243)	2	1	.35	+	2.87	2.94E-01
regulation of translational elongation (GO:0006448)	2	1	.35	+	2.87	2.94E-01
neuronal ion channel clustering (GO:0045161)	2	1	.35	+	2.87	2.94E-01
thioester biosynthetic process (GO:0035384)	4	2	.70	+	2.87	1.55E-01
thioester metabolic process (GO:0035383)	8	4	1.40	+	2.87	5.30E-02
neuroblast fate specification (GO:0014018)	2	1	.35	+	2.87	2.94E-01
translational termination (GO:0006415)	2	1	.35	+	2.87	2.94E-01
cellular triglyceride homeostasis (GO:0035356)	2	1	.35	+	2.87	2.94E-01
azole transmembrane transport (GO:0045117)	2	1	.35	+	2.87	2.94E-01
regulation of histone H2B ubiquitination (GO:2001166)	2	1	.35	+	2.87	2.94E-01
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	2	1	.35	+	2.87	2.94E-01
intermediate filament cytoskeleton organization (GO:0045104)	2	1	.35	+	2.87	2.94E-01
