




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	28	0	.51	-	 < 0.01	5.98E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	28	0	.51	-	 < 0.01	5.98E-01
negative regulation of mitotic nuclear division (GO:0045839)	7	0	.13	-	 < 0.01	8.79E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	30	0	.55	-	 < 0.01	5.76E-01
translesion synthesis (GO:0019985)	7	0	.13	-	 < 0.01	8.79E-01
endoplasmic reticulum organization (GO:0007029)	11	0	.20	-	 < 0.01	8.17E-01
protein transmembrane import into intracellular organelle (GO:0044743)	25	0	.46	-	 < 0.01	6.32E-01
activation of protein kinase activity (GO:0032147)	8	0	.15	-	 < 0.01	8.63E-01
mismatch repair (GO:0006298)	18	0	.33	-	 < 0.01	7.19E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	7	0	.13	-	 < 0.01	8.79E-01
regulation of histone modification (GO:0031056)	6	0	.11	-	 < 0.01	8.96E-01
microtubule depolymerization (GO:0007019)	1	0	.02	-	 < 0.01	9.82E-01
microtubule-based movement (GO:0007018)	23	0	.42	-	 < 0.01	6.55E-01
microtubule-based process (GO:0007017)	61	0	1.12	-	 < 0.01	3.25E-01
actin filament organization (GO:0007015)	24	0	.44	-	 < 0.01	6.44E-01
regulation of gene expression, epigenetic (GO:0040029)	21	0	.39	-	 < 0.01	6.80E-01
cytoskeleton organization (GO:0007010)	89	0	1.63	-	 < 0.01	1.94E-01
secretion (GO:0046903)	25	0	.46	-	 < 0.01	6.32E-01
nucleotide-excision repair (GO:0006289)	24	0	.44	-	 < 0.01	6.44E-01
gene silencing by RNA (GO:0031047)	5	0	.09	-	 < 0.01	9.12E-01
base-excision repair (GO:0006284)	14	0	.26	-	 < 0.01	7.73E-01
pteridine-containing compound metabolic process (GO:0042558)	14	0	.26	-	 < 0.01	7.73E-01
regulation of DNA repair (GO:0006282)	4	0	.07	-	 < 0.01	9.29E-01
DNA repair (GO:0006281)	121	0	2.22	-	 < 0.01	1.07E-01
negative regulation of gene expression, epigenetic (GO:0045814)	15	0	.28	-	 < 0.01	7.59E-01
plasma membrane organization (GO:0007009)	2	0	.04	-	 < 0.01	9.64E-01
inner mitochondrial membrane organization (GO:0007007)	7	0	.13	-	 < 0.01	8.79E-01
mitochondrial membrane organization (GO:0007006)	17	0	.31	-	 < 0.01	7.32E-01
telomere maintenance via telomerase (GO:0007004)	5	0	.09	-	 < 0.01	9.12E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	6	0	.11	-	 < 0.01	8.96E-01
Golgi vesicle budding (GO:0048194)	9	0	.17	-	 < 0.01	8.48E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	6	0	.11	-	 < 0.01	8.96E-01
locomotion (GO:0040011)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of catabolic process (GO:0009896)	9	0	.17	-	 < 0.01	8.48E-01
regulation of protein modification process (GO:0031399)	42	0	.77	-	 < 0.01	4.62E-01
negative regulation of catabolic process (GO:0009895)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of metabolic process (GO:0009893)	128	0	2.35	-	 < 0.01	9.40E-02
positive regulation of biosynthetic process (GO:0009891)	96	0	1.76	-	 < 0.01	1.70E-01
DNA strand elongation involved in DNA replication (GO:0006271)	13	0	.24	-	 < 0.01	7.88E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	1	0	.02	-	 < 0.01	9.82E-01
plasma membrane bounded cell projection organization (GO:0120036)	6	0	.11	-	 < 0.01	8.96E-01
regulation of developmental process (GO:0050793)	5	0	.09	-	 < 0.01	9.12E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	4	0	.07	-	 < 0.01	9.29E-01
sexual reproduction (GO:0019953)	14	0	.26	-	 < 0.01	7.73E-01
plasma membrane bounded cell projection assembly (GO:0120031)	5	0	.09	-	 < 0.01	9.12E-01
intraciliary transport involved in cilium assembly (GO:0035735)	1	0	.02	-	 < 0.01	9.82E-01
regulation of growth (GO:0040008)	1	0	.02	-	 < 0.01	9.82E-01
growth (GO:0040007)	1	0	.02	-	 < 0.01	9.82E-01
cellular protein complex disassembly (GO:0043624)	14	0	.26	-	 < 0.01	7.73E-01
organelle membrane fusion (GO:0090174)	40	0	.73	-	 < 0.01	4.79E-01
DNA unwinding involved in DNA replication (GO:0006268)	5	0	.09	-	 < 0.01	9.12E-01
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	6	0	.11	-	 < 0.01	8.96E-01
establishment of mitotic spindle localization (GO:0040001)	5	0	.09	-	 < 0.01	9.12E-01
microtubule organizing center organization (GO:0031023)	9	0	.17	-	 < 0.01	8.48E-01
unsaturated fatty acid metabolic process (GO:0033559)	1	0	.02	-	 < 0.01	9.82E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	7	0	.13	-	 < 0.01	8.79E-01
multi-organism reproductive process (GO:0044703)	14	0	.26	-	 < 0.01	7.73E-01
regulation of mitotic cell cycle (GO:0007346)	39	0	.72	-	 < 0.01	4.88E-01
positive regulation of cytokinesis (GO:0032467)	1	0	.02	-	 < 0.01	9.82E-01
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	5	0	.09	-	 < 0.01	9.12E-01
regulation of cytokinesis (GO:0032465)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of response to external stimulus (GO:0032103)	2	0	.04	-	 < 0.01	9.64E-01
regulation of response to external stimulus (GO:0032101)	2	0	.04	-	 < 0.01	9.64E-01
carbohydrate derivative transport (GO:1901264)	5	0	.09	-	 < 0.01	9.12E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	5	0	.09	-	 < 0.01	9.12E-01
mitochondrial RNA processing (GO:0000963)	3	0	.06	-	 < 0.01	9.46E-01
cAMP-mediated signaling (GO:0019933)	5	0	.09	-	 < 0.01	9.12E-01
second-messenger-mediated signaling (GO:0019932)	8	0	.15	-	 < 0.01	8.63E-01
dephosphorylation (GO:0016311)	36	0	.66	-	 < 0.01	5.16E-01
endocytic recycling (GO:0032456)	3	0	.06	-	 < 0.01	9.46E-01
histone H4 acetylation (GO:0043967)	6	0	.11	-	 < 0.01	8.96E-01
histone H3 acetylation (GO:0043966)	5	0	.09	-	 < 0.01	9.12E-01
establishment of protein localization to membrane (GO:0090150)	39	0	.72	-	 < 0.01	4.88E-01
mitochondrial protein processing (GO:0034982)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial RNA metabolic process (GO:0000959)	5	0	.09	-	 < 0.01	9.12E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	42	0	.77	-	 < 0.01	4.62E-01
membrane fission (GO:0090148)	17	0	.31	-	 < 0.01	7.32E-01
lipid storage (GO:0019915)	3	0	.06	-	 < 0.01	9.46E-01
chromosome condensation (GO:0030261)	7	0	.13	-	 < 0.01	8.79E-01
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	5	0	.09	-	 < 0.01	9.12E-01
regulation of cAMP-mediated signaling (GO:0043949)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1	0	.02	-	 < 0.01	9.82E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of RNA biosynthetic process (GO:1902680)	77	0	1.41	-	 < 0.01	2.42E-01
histone lysine methylation (GO:0034968)	12	0	.22	-	 < 0.01	8.02E-01
cellular response to heat (GO:0034605)	5	0	.09	-	 < 0.01	9.12E-01
regulation of cell projection organization (GO:0031344)	4	0	.07	-	 < 0.01	9.29E-01
neurogenesis (GO:0022008)	1	0	.02	-	 < 0.01	9.82E-01
lipid modification (GO:0030258)	24	0	.44	-	 < 0.01	6.44E-01
negative regulation of RNA biosynthetic process (GO:1902679)	47	0	.86	-	 < 0.01	4.21E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	9	0	.17	-	 < 0.01	8.48E-01
intracellular protein transmembrane transport (GO:0065002)	29	0	.53	-	 < 0.01	5.87E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	11	0	.20	-	 < 0.01	8.17E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein-containing complex assembly (GO:0031334)	15	0	.28	-	 < 0.01	7.59E-01
tyrosine metabolic process (GO:0006570)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of cellular catabolic process (GO:0031331)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of cellular catabolic process (GO:0031330)	3	0	.06	-	 < 0.01	9.46E-01
COPII-coated vesicle budding (GO:0090114)	8	0	.15	-	 < 0.01	8.63E-01
pyrimidine nucleobase catabolic process (GO:0006208)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of cellular biosynthetic process (GO:0031328)	96	0	1.76	-	 < 0.01	1.70E-01
negative regulation of neuron death (GO:1901215)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cellular metabolic process (GO:0031325)	123	0	2.26	-	 < 0.01	1.03E-01
regulation of neuron death (GO:1901214)	1	0	.02	-	 < 0.01	9.82E-01
division septum assembly (GO:0000917)	1	0	.02	-	 < 0.01	9.82E-01
cytokinesis (GO:0000910)	10	0	.18	-	 < 0.01	8.32E-01
secondary alcohol biosynthetic process (GO:1902653)	5	0	.09	-	 < 0.01	9.12E-01
secondary alcohol metabolic process (GO:1902652)	11	0	.20	-	 < 0.01	8.17E-01
fatty acid derivative metabolic process (GO:1901568)	2	0	.04	-	 < 0.01	9.64E-01
intrinsic apoptotic signaling pathway (GO:0097193)	3	0	.06	-	 < 0.01	9.46E-01
apoptotic signaling pathway (GO:0097190)	3	0	.06	-	 < 0.01	9.46E-01
cell morphogenesis (GO:0000902)	7	0	.13	-	 < 0.01	8.79E-01
poly(A)+ mRNA export from nucleus (GO:0016973)	7	0	.13	-	 < 0.01	8.79E-01
cell development (GO:0048468)	2	0	.04	-	 < 0.01	9.64E-01
regulation of multi-organism process (GO:0043900)	2	0	.04	-	 < 0.01	9.64E-01
receptor-mediated endocytosis (GO:0006898)	7	0	.13	-	 < 0.01	8.79E-01
endocytosis (GO:0006897)	37	0	.68	-	 < 0.01	5.07E-01
Golgi to vacuole transport (GO:0006896)	7	0	.13	-	 < 0.01	8.79E-01
Golgi to endosome transport (GO:0006895)	2	0	.04	-	 < 0.01	9.64E-01
Golgi to plasma membrane transport (GO:0006893)	13	0	.24	-	 < 0.01	7.88E-01
post-Golgi vesicle-mediated transport (GO:0006892)	22	0	.40	-	 < 0.01	6.68E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	17	0	.31	-	 < 0.01	7.32E-01
glycosaminoglycan metabolic process (GO:0030203)	3	0	.06	-	 < 0.01	9.46E-01
cytoplasmic translational initiation (GO:0002183)	10	0	.18	-	 < 0.01	8.32E-01
cytoplasmic translation (GO:0002181)	41	0	.75	-	 < 0.01	4.71E-01
arginine catabolic process (GO:0006527)	1	0	.02	-	 < 0.01	9.82E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	47	0	.86	-	 < 0.01	4.21E-01
exocytosis (GO:0006887)	20	0	.37	-	 < 0.01	6.93E-01
regulation of protein stability (GO:0031647)	7	0	.13	-	 < 0.01	8.79E-01
cellular zinc ion homeostasis (GO:0006882)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of molecular function (GO:0044093)	36	0	.66	-	 < 0.01	5.16E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	5	0	.09	-	 < 0.01	9.12E-01
cellular copper ion homeostasis (GO:0006878)	4	0	.07	-	 < 0.01	9.29E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	12	0	.22	-	 < 0.01	8.02E-01
organic hydroxy compound transport (GO:0015850)	1	0	.02	-	 < 0.01	9.82E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	6	0	.11	-	 < 0.01	8.96E-01
protein monoubiquitination (GO:0006513)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of cellular component biogenesis (GO:0044089)	16	0	.29	-	 < 0.01	7.45E-01
regulation of cellular component biogenesis (GO:0044087)	40	0	.73	-	 < 0.01	4.79E-01
mitotic DNA replication (GO:1902969)	7	0	.13	-	 < 0.01	8.79E-01
cellular response to peptide hormone stimulus (GO:0071375)	1	0	.02	-	 < 0.01	9.82E-01
proton transmembrane transport (GO:1902600)	30	0	.55	-	 < 0.01	5.76E-01
cell fate commitment (GO:0045165)	1	0	.02	-	 < 0.01	9.82E-01
lipid transport (GO:0006869)	16	0	.29	-	 < 0.01	7.45E-01
GPI anchor biosynthetic process (GO:0006506)	19	0	.35	-	 < 0.01	7.05E-01
GPI anchor metabolic process (GO:0006505)	20	0	.37	-	 < 0.01	6.93E-01
nucleotide transport (GO:0006862)	2	0	.04	-	 < 0.01	9.64E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial calcium ion transmembrane transport (GO:0006851)	1	0	.02	-	 < 0.01	9.82E-01
cell-cell signaling by wnt (GO:0198738)	2	0	.04	-	 < 0.01	9.64E-01
axoneme assembly (GO:0035082)	1	0	.02	-	 < 0.01	9.82E-01
meiotic sister chromatid segregation (GO:0045144)	3	0	.06	-	 < 0.01	9.46E-01
homologous chromosome segregation (GO:0045143)	3	0	.06	-	 < 0.01	9.46E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	12	0	.22	-	 < 0.01	8.02E-01
mitochondrial transport (GO:0006839)	40	0	.73	-	 < 0.01	4.79E-01
meiotic chromosome segregation (GO:0045132)	16	0	.29	-	 < 0.01	7.45E-01
dicarboxylic acid transport (GO:0006835)	4	0	.07	-	 < 0.01	9.29E-01
xylan metabolic process (GO:0045491)	4	0	.07	-	 < 0.01	9.29E-01
cortical actin cytoskeleton organization (GO:0030866)	2	0	.04	-	 < 0.01	9.64E-01
cortical cytoskeleton organization (GO:0030865)	3	0	.06	-	 < 0.01	9.46E-01
regulation of Ras protein signal transduction (GO:0046578)	4	0	.07	-	 < 0.01	9.29E-01
L-amino acid transport (GO:0015807)	6	0	.11	-	 < 0.01	8.96E-01
protein localization to extracellular region (GO:0071692)	6	0	.11	-	 < 0.01	8.96E-01
neutral amino acid transport (GO:0015804)	2	0	.04	-	 < 0.01	9.64E-01
basic amino acid transport (GO:0015802)	9	0	.17	-	 < 0.01	8.48E-01
chloride transport (GO:0006821)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cell morphogenesis (GO:0022604)	3	0	.06	-	 < 0.01	9.46E-01
regulation of anatomical structure morphogenesis (GO:0022603)	3	0	.06	-	 < 0.01	9.46E-01
system development (GO:0048731)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of chromatin silencing (GO:0031936)	3	0	.06	-	 < 0.01	9.46E-01
regulation of chromatin silencing (GO:0031935)	5	0	.09	-	 < 0.01	9.12E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	5	0	.09	-	 < 0.01	9.12E-01
protein localization to cytoskeleton (GO:0044380)	2	0	.04	-	 < 0.01	9.64E-01
