




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
generation of neurons (GO:0048699)	322	27	32.74	-	.82	1.79E-01
regulation of cell cycle (GO:0051726)	179	15	18.20	-	.82	2.70E-01
mRNA processing (GO:0006397)	191	16	19.42	-	.82	2.59E-01
regulation of organelle organization (GO:0033043)	239	20	24.30	-	.82	2.23E-01
proteolysis (GO:0006508)	586	49	59.57	-	.82	8.90E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	24	2	2.44	-	.82	5.59E-01
apoptotic cell clearance (GO:0043277)	12	1	1.22	-	.82	6.55E-01
heme metabolic process (GO:0042168)	12	1	1.22	-	.82	6.55E-01
regulation of heart contraction (GO:0008016)	12	1	1.22	-	.82	6.55E-01
positive regulation of T cell proliferation (GO:0042102)	12	1	1.22	-	.82	6.55E-01
iron-sulfur cluster assembly (GO:0016226)	12	1	1.22	-	.82	6.55E-01
regulation of phosphatase activity (GO:0010921)	12	1	1.22	-	.82	6.55E-01
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	12	1	1.22	-	.82	6.55E-01
regulation of actin cytoskeleton organization (GO:0032956)	96	8	9.76	-	.82	3.60E-01
plasma membrane fusion (GO:0045026)	12	1	1.22	-	.82	6.55E-01
cellular carbohydrate catabolic process (GO:0044275)	12	1	1.22	-	.82	6.55E-01
cardiac muscle contraction (GO:0060048)	12	1	1.22	-	.82	6.55E-01
phospholipid translocation (GO:0045332)	24	2	2.44	-	.82	5.59E-01
pseudouridine synthesis (GO:0001522)	12	1	1.22	-	.82	6.55E-01
spindle localization (GO:0051653)	12	1	1.22	-	.82	6.55E-01
steroid biosynthetic process (GO:0006694)	24	2	2.44	-	.82	5.59E-01
vesicle transport along microtubule (GO:0047496)	12	1	1.22	-	.82	6.55E-01
camera-type eye development (GO:0043010)	24	2	2.44	-	.82	5.59E-01
protein polymerization (GO:0051258)	96	8	9.76	-	.82	3.60E-01
protein modification by small protein conjugation or removal (GO:0070647)	324	27	32.94	-	.82	1.70E-01
DNA replication initiation (GO:0006270)	12	1	1.22	-	.82	6.55E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	84	7	8.54	-	.82	3.80E-01
carbohydrate derivative transport (GO:1901264)	12	1	1.22	-	.82	6.55E-01
lipid storage (GO:0019915)	12	1	1.22	-	.82	6.55E-01
sensory perception of sound (GO:0007605)	12	1	1.22	-	.82	6.55E-01
receptor localization to synapse (GO:0097120)	24	2	2.44	-	.82	5.59E-01
organelle disassembly (GO:1903008)	36	3	3.66	-	.82	5.02E-01
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	36	3	3.66	-	.82	5.02E-01
cilium movement (GO:0003341)	36	3	3.66	-	.82	5.02E-01
protein depolymerization (GO:0051261)	36	3	3.66	-	.82	5.02E-01
actomyosin structure organization (GO:0031032)	36	3	3.66	-	.82	5.02E-01
establishment of protein localization to membrane (GO:0090150)	72	6	7.32	-	.82	4.03E-01
positive regulation of cell projection organization (GO:0031346)	36	3	3.66	-	.82	5.02E-01
cellular metal ion homeostasis (GO:0006875)	157	13	15.96	-	.81	2.77E-01
cellular nitrogen compound catabolic process (GO:0044270)	145	12	14.74	-	.81	2.89E-01
neurogenesis (GO:0022008)	339	28	34.46	-	.81	1.52E-01
protein transport along microtubule (GO:0098840)	109	9	11.08	-	.81	3.31E-01
microtubule-based protein transport (GO:0099118)	109	9	11.08	-	.81	3.31E-01
vesicle targeting (GO:0006903)	109	9	11.08	-	.81	3.31E-01
regulation of actin filament-based process (GO:0032970)	97	8	9.86	-	.81	3.48E-01
regulation of supramolecular fiber organization (GO:1902903)	85	7	8.64	-	.81	3.67E-01
positive regulation of nucleic acid-templated transcription (GO:1903508)	268	22	27.25	-	.81	1.81E-01
positive regulation of transcription, DNA-templated (GO:0045893)	268	22	27.25	-	.81	1.81E-01
organelle assembly (GO:0070925)	268	22	27.25	-	.81	1.81E-01
cAMP-mediated signaling (GO:0019933)	134	11	13.62	-	.81	2.92E-01
positive regulation of RNA biosynthetic process (GO:1902680)	268	22	27.25	-	.81	1.81E-01
cell differentiation (GO:0030154)	719	59	73.09	-	.81	4.85E-02
cell-cell signaling (GO:0007267)	391	32	39.75	-	.81	1.20E-01
aromatic compound catabolic process (GO:0019439)	147	12	14.94	-	.80	2.71E-01
heterocycle catabolic process (GO:0046700)	147	12	14.94	-	.80	2.71E-01
negative regulation of cellular component organization (GO:0051129)	98	8	9.96	-	.80	3.36E-01
vasculature development (GO:0001944)	49	4	4.98	-	.80	4.43E-01
anatomical structure homeostasis (GO:0060249)	49	4	4.98	-	.80	4.43E-01
cellular developmental process (GO:0048869)	723	59	73.50	-	.80	4.39E-02
regulation of cell projection organization (GO:0031344)	86	7	8.74	-	.80	3.54E-01
RNA splicing (GO:0008380)	185	15	18.81	-	.80	2.26E-01
activation of phospholipase C activity (GO:0007202)	37	3	3.76	-	.80	4.81E-01
positive regulation of phospholipase C activity (GO:0010863)	37	3	3.76	-	.80	4.81E-01
regulation of phospholipase C activity (GO:1900274)	37	3	3.76	-	.80	4.81E-01
phagocytosis (GO:0006909)	37	3	3.76	-	.80	4.81E-01
response to endoplasmic reticulum stress (GO:0034976)	74	6	7.52	-	.80	3.75E-01
sensory perception of chemical stimulus (GO:0007606)	37	3	3.76	-	.80	4.81E-01
sensory perception (GO:0007600)	74	6	7.52	-	.80	3.75E-01
cellular localization (GO:0051641)	963	78	97.90	-	.80	1.90E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	87	7	8.84	-	.79	3.42E-01
positive regulation of actin filament polymerization (GO:0030838)	25	2	2.54	-	.79	5.33E-01
protein import (GO:0017038)	75	6	7.62	-	.79	3.61E-01
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	25	2	2.54	-	.79	5.33E-01
positive regulation of organelle organization (GO:0010638)	75	6	7.62	-	.79	3.61E-01
positive regulation of cellular protein catabolic process (GO:1903364)	25	2	2.54	-	.79	5.33E-01
regulation of metal ion transport (GO:0010959)	50	4	5.08	-	.79	4.26E-01
regulation of chromatin organization (GO:1902275)	25	2	2.54	-	.79	5.33E-01
protein acetylation (GO:0006473)	50	4	5.08	-	.79	4.26E-01
regulation of actin filament organization (GO:0110053)	75	6	7.62	-	.79	3.61E-01
positive regulation of synaptic transmission (GO:0050806)	25	2	2.54	-	.79	5.33E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	50	4	5.08	-	.79	4.26E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	25	2	2.54	-	.79	5.33E-01
fatty acid derivative metabolic process (GO:1901568)	25	2	2.54	-	.79	5.33E-01
cortical cytoskeleton organization (GO:0030865)	25	2	2.54	-	.79	5.33E-01
protein ubiquitination (GO:0016567)	238	19	24.20	-	.79	1.68E-01
organic cyclic compound catabolic process (GO:1901361)	163	13	16.57	-	.78	2.29E-01
DNA biosynthetic process (GO:0071897)	88	7	8.95	-	.78	3.30E-01
regulation of cell differentiation (GO:0045595)	151	12	15.35	-	.78	2.38E-01
humoral immune response (GO:0006959)	63	5	6.40	-	.78	3.83E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	38	3	3.86	-	.78	4.60E-01
gene silencing (GO:0016458)	38	3	3.86	-	.78	4.60E-01
response to lipopolysaccharide (GO:0032496)	38	3	3.86	-	.78	4.60E-01
apoptotic signaling pathway (GO:0097190)	76	6	7.73	-	.78	3.47E-01
vesicle-mediated transport (GO:0016192)	621	49	63.13	-	.78	3.63E-02
peptidyl-serine phosphorylation (GO:0018105)	102	8	10.37	-	.77	2.92E-01
cellular response to oxygen-containing compound (GO:1901701)	128	10	13.01	-	.77	2.50E-01
regulation of apoptotic process (GO:0042981)	128	10	13.01	-	.77	2.50E-01
positive regulation of transferase activity (GO:0051347)	129	10	13.11	-	.76	2.41E-01
ribonucleoprotein complex localization (GO:0071166)	39	3	3.96	-	.76	4.40E-01
ribonucleoprotein complex export from nucleus (GO:0071426)	39	3	3.96	-	.76	4.40E-01
membrane fission (GO:0090148)	39	3	3.96	-	.76	4.40E-01
polysaccharide biosynthetic process (GO:0000271)	26	2	2.64	-	.76	5.08E-01
production of molecular mediator of immune response (GO:0002440)	13	1	1.32	-	.76	6.19E-01
positive regulation of cellular component organization (GO:0051130)	130	10	13.22	-	.76	2.33E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	13	1	1.32	-	.76	6.19E-01
chromosome localization (GO:0050000)	13	1	1.32	-	.76	6.19E-01
porphyrin-containing compound metabolic process (GO:0006778)	13	1	1.32	-	.76	6.19E-01
RNA export from nucleus (GO:0006405)	52	4	5.29	-	.76	3.91E-01
positive regulation of chemotaxis (GO:0050921)	13	1	1.32	-	.76	6.19E-01
establishment of protein localization to peroxisome (GO:0072663)	13	1	1.32	-	.76	6.19E-01
protein localization to peroxisome (GO:0072662)	13	1	1.32	-	.76	6.19E-01
aromatic amino acid family catabolic process (GO:0009074)	13	1	1.32	-	.76	6.19E-01
regulation of cation transmembrane transport (GO:1904062)	52	4	5.29	-	.76	3.91E-01
tissue homeostasis (GO:0001894)	13	1	1.32	-	.76	6.19E-01
establishment of chromosome localization (GO:0051303)	13	1	1.32	-	.76	6.19E-01
cellular polysaccharide biosynthetic process (GO:0033692)	26	2	2.64	-	.76	5.08E-01
transcription elongation from RNA polymerase II promoter (GO:0006368)	13	1	1.32	-	.76	6.19E-01
negative regulation of chromosome organization (GO:2001251)	26	2	2.64	-	.76	5.08E-01
protein targeting to peroxisome (GO:0006625)	13	1	1.32	-	.76	6.19E-01
regulation of JNK cascade (GO:0046328)	26	2	2.64	-	.76	5.08E-01
regulation of dendrite morphogenesis (GO:0048814)	13	1	1.32	-	.76	6.19E-01
calcium-ion regulated exocytosis (GO:0017156)	26	2	2.64	-	.76	5.08E-01
protein localization to synapse (GO:0035418)	26	2	2.64	-	.76	5.08E-01
myelination (GO:0042552)	13	1	1.32	-	.76	6.19E-01
DNA-dependent DNA replication (GO:0006261)	52	4	5.29	-	.76	3.91E-01
histone H2A ubiquitination (GO:0033522)	13	1	1.32	-	.76	6.19E-01
chromosome condensation (GO:0030261)	13	1	1.32	-	.76	6.19E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	13	1	1.32	-	.76	6.19E-01
poly(A)+ mRNA export from nucleus (GO:0016973)	13	1	1.32	-	.76	6.19E-01
cellular response to lipid (GO:0071396)	52	4	5.29	-	.76	3.91E-01
regulation of cell communication (GO:0010646)	734	56	74.62	-	.75	1.32E-02
regulation of signaling (GO:0023051)	734	56	74.62	-	.75	1.32E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	211	16	21.45	-	.75	1.39E-01
hemopoiesis (GO:0030097)	66	5	6.71	-	.75	3.39E-01
hematopoietic or lymphoid organ development (GO:0048534)	66	5	6.71	-	.75	3.39E-01
regulation of programmed cell death (GO:0043067)	132	10	13.42	-	.75	2.16E-01
vacuolar transport (GO:0007034)	66	5	6.71	-	.75	3.39E-01
DNA replication (GO:0006260)	66	5	6.71	-	.75	3.39E-01
apoptotic process (GO:0006915)	185	14	18.81	-	.74	1.58E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	40	3	4.07	-	.74	4.20E-01
alcohol metabolic process (GO:0006066)	80	6	8.13	-	.74	2.97E-01
tissue development (GO:0009888)	147	11	14.94	-	.74	1.87E-01
regulation of RNA splicing (GO:0043484)	67	5	6.81	-	.73	3.25E-01
cellular divalent inorganic cation homeostasis (GO:0072503)	134	10	13.62	-	.73	2.01E-01
regulation of cell cycle process (GO:0010564)	94	7	9.56	-	.73	2.62E-01
positive regulation of kinase activity (GO:0033674)	121	9	12.30	-	.73	2.16E-01
mRNA splicing, via spliceosome (GO:0000398)	148	11	15.05	-	.73	1.81E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	148	11	15.05	-	.73	1.81E-01
RNA splicing, via transesterification reactions (GO:0000375)	148	11	15.05	-	.73	1.81E-01
regulation of cell shape (GO:0008360)	27	2	2.74	-	.73	4.83E-01
regulation of mRNA processing (GO:0050684)	54	4	5.49	-	.73	3.59E-01
mRNA export from nucleus (GO:0006406)	27	2	2.74	-	.73	4.83E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	27	2	2.74	-	.73	4.83E-01
embryonic organ morphogenesis (GO:0048562)	27	2	2.74	-	.73	4.83E-01
acyl-CoA metabolic process (GO:0006637)	27	2	2.74	-	.73	4.83E-01
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	27	2	2.74	-	.73	4.83E-01
organelle localization (GO:0051640)	243	18	24.70	-	.73	1.00E-01
regulation of cell death (GO:0010941)	149	11	15.15	-	.73	1.74E-01
programmed cell death (GO:0012501)	190	14	19.32	-	.72	1.33E-01
regulation of mitotic cell cycle (GO:0007346)	95	7	9.66	-	.72	2.52E-01
phospholipid metabolic process (GO:0006644)	136	10	13.83	-	.72	1.86E-01
endocytosis (GO:0006897)	150	11	15.25	-	.72	1.68E-01
regulation of cellular response to growth factor stimulus (GO:0090287)	41	3	4.17	-	.72	4.01E-01
tRNA metabolic process (GO:0006399)	96	7	9.76	-	.72	2.42E-01
cell death (GO:0008219)	206	15	20.94	-	.72	1.12E-01
tube morphogenesis (GO:0035239)	55	4	5.59	-	.72	3.43E-01
regulation of MAP kinase activity (GO:0043405)	55	4	5.59	-	.72	3.43E-01
vesicle organization (GO:0016050)	317	23	32.23	-	.71	5.48E-02
regulation of ion transmembrane transport (GO:0034765)	69	5	7.01	-	.71	2.98E-01
divalent inorganic cation homeostasis (GO:0072507)	138	10	14.03	-	.71	1.73E-01
membrane invagination (GO:0010324)	152	11	15.45	-	.71	1.55E-01
system process (GO:0003008)	236	17	23.99	-	.71	8.58E-02
membrane organization (GO:0061024)	431	31	43.82	-	.71	2.51E-02
regulation of signal transduction (GO:0009966)	654	47	66.49	-	.71	6.56E-03
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	42	3	4.27	-	.70	3.82E-01
embryonic morphogenesis (GO:0048598)	42	3	4.27	-	.70	3.82E-01
cell cycle phase transition (GO:0044770)	84	6	8.54	-	.70	2.51E-01
negative regulation of response to external stimulus (GO:0032102)	42	3	4.27	-	.70	3.82E-01
extrinsic apoptotic signaling pathway (GO:0097191)	42	3	4.27	-	.70	3.82E-01
nucleotide catabolic process (GO:0009166)	14	1	1.42	-	.70	5.84E-01
transcription preinitiation complex assembly (GO:0070897)	14	1	1.42	-	.70	5.84E-01
regulation of blood vessel diameter (GO:0097746)	14	1	1.42	-	.70	5.84E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	14	1	1.42	-	.70	5.84E-01
nucleoside monophosphate metabolic process (GO:0009123)	14	1	1.42	-	.70	5.84E-01
regulation of leukocyte mediated immunity (GO:0002703)	28	2	2.85	-	.70	4.58E-01
protein O-linked glycosylation (GO:0006493)	14	1	1.42	-	.70	5.84E-01
folic acid-containing compound metabolic process (GO:0006760)	14	1	1.42	-	.70	5.84E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	14	1	1.42	-	.70	5.84E-01
vesicle cytoskeletal trafficking (GO:0099518)	28	2	2.85	-	.70	4.58E-01
protein localization to lysosome (GO:0061462)	14	1	1.42	-	.70	5.84E-01
tetrapyrrole metabolic process (GO:0033013)	14	1	1.42	-	.70	5.84E-01
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	28	2	2.85	-	.70	4.58E-01
negative regulation of cellular response to growth factor stimulus (GO:0090288)	28	2	2.85	-	.70	4.58E-01
iron ion homeostasis (GO:0055072)	14	1	1.42	-	.70	5.84E-01
phosphatidylinositol biosynthetic process (GO:0006661)	28	2	2.85	-	.70	4.58E-01
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	14	1	1.42	-	.70	5.84E-01
gene silencing by miRNA (GO:0035195)	14	1	1.42	-	.70	5.84E-01
regulation of DNA recombination (GO:0000018)	14	1	1.42	-	.70	5.84E-01
mismatch repair (GO:0006298)	14	1	1.42	-	.70	5.84E-01
regulation of cytokinesis (GO:0032465)	14	1	1.42	-	.70	5.84E-01
cortical actin cytoskeleton organization (GO:0030866)	14	1	1.42	-	.70	5.84E-01
organic hydroxy compound metabolic process (GO:1901615)	113	8	11.49	-	.70	1.91E-01
positive regulation of developmental process (GO:0051094)	85	6	8.64	-	.69	2.41E-01
regulation of transmembrane transport (GO:0034762)	71	5	7.22	-	.69	2.73E-01
immune system development (GO:0002520)	71	5	7.22	-	.69	2.73E-01
Golgi vesicle transport (GO:0048193)	242	17	24.60	-	.69	6.87E-02
cellular component disassembly (GO:0022411)	101	7	10.27	-	.68	1.96E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	2	2.95	-	.68	4.35E-01
response to oxidative stress (GO:0006979)	29	2	2.95	-	.68	4.35E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	29	2	2.95	-	.68	4.35E-01
fatty acid metabolic process (GO:0006631)	102	7	10.37	-	.68	1.88E-01
import into nucleus (GO:0051170)	44	3	4.47	-	.67	3.47E-01
regulation of DNA-binding transcription factor activity (GO:0051090)	88	6	8.95	-	.67	2.11E-01
muscle system process (GO:0003012)	44	3	4.47	-	.67	3.47E-01
protein import into nucleus (GO:0006606)	44	3	4.47	-	.67	3.47E-01
negative regulation of cell communication (GO:0010648)	192	13	19.52	-	.67	7.91E-02
negative regulation of signaling (GO:0023057)	192	13	19.52	-	.67	7.91E-02
regulation of transport (GO:0051049)	222	15	22.57	-	.66	6.05E-02
negative regulation of response to stimulus (GO:0048585)	237	16	24.09	-	.66	5.30E-02
regulation of protein-containing complex assembly (GO:0043254)	89	6	9.05	-	.66	2.02E-01
regulation of membrane potential (GO:0042391)	119	8	12.10	-	.66	1.48E-01
T cell mediated immunity (GO:0002456)	15	1	1.52	-	.66	5.49E-01
antigen processing and presentation (GO:0019882)	15	1	1.52	-	.66	5.49E-01
JNK cascade (GO:0007254)	30	2	3.05	-	.66	4.12E-01
regulation of translational initiation (GO:0006446)	15	1	1.52	-	.66	5.49E-01
neuromuscular junction development (GO:0007528)	15	1	1.52	-	.66	5.49E-01
lens development in camera-type eye (GO:0002088)	15	1	1.52	-	.66	5.49E-01
aromatic amino acid family metabolic process (GO:0009072)	15	1	1.52	-	.66	5.49E-01
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	15	1	1.52	-	.66	5.49E-01
meiotic chromosome separation (GO:0051307)	15	1	1.52	-	.66	5.49E-01
defense response to virus (GO:0051607)	30	2	3.05	-	.66	4.12E-01
protein localization to cell junction (GO:1902414)	30	2	3.05	-	.66	4.12E-01
protein stabilization (GO:0050821)	15	1	1.52	-	.66	5.49E-01
glycerophospholipid metabolic process (GO:0006650)	105	7	10.67	-	.66	1.65E-01
triglyceride metabolic process (GO:0006641)	30	2	3.05	-	.66	4.12E-01
organic acid transmembrane transport (GO:1903825)	45	3	4.57	-	.66	3.29E-01
negative regulation of cell cycle phase transition (GO:1901988)	30	2	3.05	-	.66	4.12E-01
G1/S transition of mitotic cell cycle (GO:0000082)	30	2	3.05	-	.66	4.12E-01
adaptive immune response (GO:0002250)	45	3	4.57	-	.66	3.29E-01
carboxylic acid transmembrane transport (GO:1905039)	45	3	4.57	-	.66	3.29E-01
regulation of mitotic nuclear division (GO:0007088)	30	2	3.05	-	.66	4.12E-01
positive regulation of receptor signaling pathway via STAT (GO:1904894)	15	1	1.52	-	.66	5.49E-01
synaptic vesicle endocytosis (GO:0048488)	30	2	3.05	-	.66	4.12E-01
protein monoubiquitination (GO:0006513)	15	1	1.52	-	.66	5.49E-01
negative regulation of BMP signaling pathway (GO:0030514)	15	1	1.52	-	.66	5.49E-01
striated muscle tissue development (GO:0014706)	15	1	1.52	-	.66	5.49E-01
protein folding (GO:0006457)	75	5	7.62	-	.66	2.27E-01
regulation of secretion by cell (GO:1903530)	75	5	7.62	-	.66	2.27E-01
cellular response to nitrogen compound (GO:1901699)	75	5	7.62	-	.66	2.27E-01
regulation of cytoskeleton organization (GO:0051493)	136	9	13.83	-	.65	1.17E-01
cellular response to hormone stimulus (GO:0032870)	91	6	9.25	-	.65	1.84E-01
response to oxygen-containing compound (GO:1901700)	152	10	15.45	-	.65	9.70E-02
macroautophagy (GO:0016236)	61	4	6.20	-	.65	2.58E-01
inositol phosphate-mediated signaling (GO:0048016)	46	3	4.68	-	.64	3.13E-01
transition metal ion transport (GO:0000041)	46	3	4.68	-	.64	3.13E-01
cellular protein complex disassembly (GO:0043624)	46	3	4.68	-	.64	3.13E-01
regulation of secretion (GO:0051046)	77	5	7.83	-	.64	2.07E-01
polysaccharide metabolic process (GO:0005976)	31	2	3.15	-	.63	3.90E-01
cellular polysaccharide metabolic process (GO:0044264)	31	2	3.15	-	.63	3.90E-01
positive regulation of immune effector process (GO:0002699)	31	2	3.15	-	.63	3.90E-01
regulation of stress-activated MAPK cascade (GO:0032872)	31	2	3.15	-	.63	3.90E-01
cellular response to organic cyclic compound (GO:0071407)	31	2	3.15	-	.63	3.90E-01
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	31	2	3.15	-	.63	3.90E-01
endoplasmic reticulum organization (GO:0007029)	31	2	3.15	-	.63	3.90E-01
cellular carbohydrate biosynthetic process (GO:0034637)	31	2	3.15	-	.63	3.90E-01
mitotic cell cycle phase transition (GO:0044772)	78	5	7.93	-	.63	1.97E-01
glycerolipid metabolic process (GO:0046486)	141	9	14.33	-	.63	9.35E-02
ERAD pathway (GO:0036503)	47	3	4.78	-	.63	2.97E-01
extracellular matrix organization (GO:0030198)	110	7	11.18	-	.63	1.31E-01
protein-containing complex disassembly (GO:0032984)	63	4	6.40	-	.62	2.34E-01
positive regulation of cell differentiation (GO:0045597)	63	4	6.40	-	.62	2.34E-01
positive regulation of cellular component biogenesis (GO:0044089)	63	4	6.40	-	.62	2.34E-01
extracellular structure organization (GO:0043062)	111	7	11.28	-	.62	1.25E-01
vesicle budding from membrane (GO:0006900)	175	11	17.79	-	.62	5.93E-02
positive regulation of protein catabolic process (GO:0045732)	48	3	4.88	-	.61	2.82E-01
amino acid transport (GO:0006865)	48	3	4.88	-	.61	2.82E-01
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	1	1.63	-	.61	5.16E-01
protein import into mitochondrial matrix (GO:0030150)	16	1	1.63	-	.61	5.16E-01
maturation of SSU-rRNA (GO:0030490)	32	2	3.25	-	.61	3.69E-01
'de novo' protein folding (GO:0006458)	16	1	1.63	-	.61	5.16E-01
ionotropic glutamate receptor signaling pathway (GO:0035235)	16	1	1.63	-	.61	5.16E-01
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	32	2	3.25	-	.61	3.69E-01
positive regulation of protein polymerization (GO:0032273)	32	2	3.25	-	.61	3.69E-01
regulation of cell division (GO:0051302)	16	1	1.63	-	.61	5.16E-01
cell cycle G1/S phase transition (GO:0044843)	32	2	3.25	-	.61	3.69E-01
positive regulation of secretion by cell (GO:1903532)	16	1	1.63	-	.61	5.16E-01
response to lipid (GO:0033993)	64	4	6.51	-	.61	2.22E-01
icosanoid metabolic process (GO:0006690)	16	1	1.63	-	.61	5.16E-01
DNA duplex unwinding (GO:0032508)	16	1	1.63	-	.61	5.16E-01
protein insertion into membrane (GO:0051205)	16	1	1.63	-	.61	5.16E-01
histone H3 acetylation (GO:0043966)	16	1	1.63	-	.61	5.16E-01
regulation of protein stability (GO:0031647)	16	1	1.63	-	.61	5.16E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	1	1.63	-	.61	5.16E-01
nervous system process (GO:0050877)	161	10	16.37	-	.61	6.48E-02
regulation of ion transport (GO:0043269)	97	6	9.86	-	.61	1.38E-01
canonical Wnt signaling pathway (GO:0060070)	97	6	9.86	-	.61	1.38E-01
positive regulation of DNA-binding transcription factor activity (GO:0051091)	81	5	8.23	-	.61	1.70E-01
regulation of actin filament polymerization (GO:0030833)	65	4	6.61	-	.61	2.11E-01
cellular carbohydrate metabolic process (GO:0044262)	65	4	6.61	-	.61	2.11E-01
protein localization to nucleus (GO:0034504)	49	3	4.98	-	.60	2.67E-01
organic hydroxy compound biosynthetic process (GO:1901617)	49	3	4.98	-	.60	2.67E-01
stress-activated protein kinase signaling cascade (GO:0031098)	49	3	4.98	-	.60	2.67E-01
circulatory system development (GO:0072359)	99	6	10.06	-	.60	1.25E-01
regulation of nuclear division (GO:0051783)	33	2	3.35	-	.60	3.48E-01
aerobic respiration (GO:0009060)	33	2	3.35	-	.60	3.48E-01
phospholipid transport (GO:0015914)	33	2	3.35	-	.60	3.48E-01
cellular response to organonitrogen compound (GO:0071417)	66	4	6.71	-	.60	2.01E-01
detection of chemical stimulus (GO:0009593)	33	2	3.35	-	.60	3.48E-01
Wnt signaling pathway (GO:0016055)	116	7	11.79	-	.59	9.81E-02
protein maturation (GO:0051604)	83	5	8.44	-	.59	1.54E-01
cellular respiration (GO:0045333)	50	3	5.08	-	.59	2.53E-01
regulation of cellular component biogenesis (GO:0044087)	150	9	15.25	-	.59	6.13E-02
cell-cell signaling by wnt (GO:0198738)	117	7	11.89	-	.59	9.34E-02
regulation of actin filament length (GO:0030832)	67	4	6.81	-	.59	1.90E-01
regulation of actin polymerization or depolymerization (GO:0008064)	67	4	6.81	-	.59	1.90E-01
leukocyte mediated immunity (GO:0002443)	34	2	3.46	-	.58	3.29E-01
protein K63-linked ubiquitination (GO:0070534)	17	1	1.73	-	.58	4.84E-01
DNA geometric change (GO:0032392)	17	1	1.73	-	.58	4.84E-01
negative regulation of cell cycle process (GO:0010948)	34	2	3.46	-	.58	3.29E-01
regulation of sodium ion transport (GO:0002028)	17	1	1.73	-	.58	4.84E-01
positive regulation of leukocyte migration (GO:0002687)	17	1	1.73	-	.58	4.84E-01
positive regulation of secretion (GO:0051047)	17	1	1.73	-	.58	4.84E-01
establishment of protein localization to extracellular region (GO:0035592)	34	2	3.46	-	.58	3.29E-01
negative regulation of MAP kinase activity (GO:0043407)	17	1	1.73	-	.58	4.84E-01
protein secretion (GO:0009306)	34	2	3.46	-	.58	3.29E-01
posttranscriptional gene silencing (GO:0016441)	17	1	1.73	-	.58	4.84E-01
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	17	1	1.73	-	.58	4.84E-01
post-transcriptional gene silencing by RNA (GO:0035194)	17	1	1.73	-	.58	4.84E-01
gene silencing by RNA (GO:0031047)	17	1	1.73	-	.58	4.84E-01
histone H4 acetylation (GO:0043967)	17	1	1.73	-	.58	4.84E-01
L-amino acid transport (GO:0015807)	17	1	1.73	-	.58	4.84E-01
negative regulation of cell death (GO:0060548)	69	4	7.01	-	.57	1.71E-01
eye development (GO:0001654)	35	2	3.56	-	.56	3.10E-01
stress-activated MAPK cascade (GO:0051403)	35	2	3.56	-	.56	3.10E-01
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	70	4	7.12	-	.56	1.62E-01
establishment of protein localization to vacuole (GO:0072666)	35	2	3.56	-	.56	3.10E-01
regulation of immune effector process (GO:0002697)	35	2	3.56	-	.56	3.10E-01
actin filament polymerization (GO:0030041)	70	4	7.12	-	.56	1.62E-01
central nervous system development (GO:0007417)	70	4	7.12	-	.56	1.62E-01
visual system development (GO:0150063)	35	2	3.56	-	.56	3.10E-01
sensory system development (GO:0048880)	35	2	3.56	-	.56	3.10E-01
