




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
inorganic anion transmembrane transport (GO:0098661)	40	1	2.04	-	.49	3.94E-01
organic hydroxy compound transport (GO:0015850)	40	1	2.04	-	.49	3.94E-01
regulation of hydrolase activity (GO:0051336)	243	6	12.41	-	.48	3.54E-02
regulation of MAPK cascade (GO:0043408)	123	3	6.28	-	.48	1.27E-01
cell junction organization (GO:0034330)	123	3	6.28	-	.48	1.27E-01
cell-substrate adhesion (GO:0031589)	42	1	2.15	-	.47	3.68E-01
immune system process (GO:0002376)	420	10	21.45	-	.47	4.45E-03
head development (GO:0060322)	42	1	2.15	-	.47	3.68E-01
antimicrobial humoral response (GO:0019730)	42	1	2.15	-	.47	3.68E-01
positive regulation of nervous system development (GO:0051962)	42	1	2.15	-	.47	3.68E-01
brain development (GO:0007420)	42	1	2.15	-	.47	3.68E-01
embryonic morphogenesis (GO:0048598)	42	1	2.15	-	.47	3.68E-01
cell cycle phase transition (GO:0044770)	84	2	4.29	-	.47	1.98E-01
calcium ion transport (GO:0006816)	84	2	4.29	-	.47	1.98E-01
cell population proliferation (GO:0008283)	169	4	8.63	-	.46	6.77E-02
regulation of apoptotic process (GO:0042981)	128	3	6.54	-	.46	1.08E-01
monocarboxylic acid catabolic process (GO:0072329)	43	1	2.20	-	.46	3.55E-01
leukocyte activation (GO:0045321)	86	2	4.39	-	.46	1.85E-01
positive regulation of cell population proliferation (GO:0008284)	86	2	4.39	-	.46	1.85E-01
muscle structure development (GO:0061061)	43	1	2.20	-	.46	3.55E-01
muscle contraction (GO:0006936)	43	1	2.20	-	.46	3.55E-01
regulation of system process (GO:0044057)	43	1	2.20	-	.46	3.55E-01
blood circulation (GO:0008015)	44	1	2.25	-	.44	3.43E-01
muscle system process (GO:0003012)	44	1	2.25	-	.44	3.43E-01
blood vessel morphogenesis (GO:0048514)	44	1	2.25	-	.44	3.43E-01
regulation of programmed cell death (GO:0043067)	132	3	6.74	-	.44	9.53E-02
response to bacterium (GO:0009617)	89	2	4.55	-	.44	1.68E-01
positive regulation of immune response (GO:0050778)	89	2	4.55	-	.44	1.68E-01
transport along microtubule (GO:0010970)	134	3	6.84	-	.44	8.93E-02
microtubule-based transport (GO:0099111)	134	3	6.84	-	.44	8.93E-02
cellular divalent inorganic cation homeostasis (GO:0072503)	134	3	6.84	-	.44	8.93E-02
regulation of transmembrane transporter activity (GO:0022898)	45	1	2.30	-	.44	3.31E-01
monocarboxylic acid biosynthetic process (GO:0072330)	45	1	2.30	-	.44	3.31E-01
circulatory system process (GO:0003013)	45	1	2.30	-	.44	3.31E-01
cellular process involved in reproduction in multicellular organism (GO:0022412)	45	1	2.30	-	.44	3.31E-01
regulation of ion transmembrane transporter activity (GO:0032412)	45	1	2.30	-	.44	3.31E-01
regulation of transporter activity (GO:0032409)	45	1	2.30	-	.44	3.31E-01
ribonucleoprotein complex assembly (GO:0022618)	90	2	4.60	-	.44	1.62E-01
MAPK cascade (GO:0000165)	135	3	6.90	-	.44	8.65E-02
ion transport (GO:0006811)	591	13	30.19	-	.43	3.02E-04
ribonucleoprotein complex subunit organization (GO:0071826)	91	2	4.65	-	.43	1.57E-01
blood vessel development (GO:0001568)	46	1	2.35	-	.43	3.19E-01
antigen receptor-mediated signaling pathway (GO:0050851)	46	1	2.35	-	.43	3.19E-01
regulation of lymphocyte activation (GO:0051249)	46	1	2.35	-	.43	3.19E-01
regulation of Ras protein signal transduction (GO:0046578)	46	1	2.35	-	.43	3.19E-01
BMP signaling pathway (GO:0030509)	47	1	2.40	-	.42	3.08E-01
immune response (GO:0006955)	284	6	14.51	-	.41	9.93E-03
cell activation (GO:0001775)	95	2	4.85	-	.41	1.37E-01
chemical synaptic transmission (GO:0007268)	238	5	12.16	-	.41	1.78E-02
anterograde trans-synaptic signaling (GO:0098916)	238	5	12.16	-	.41	1.78E-02
peptidyl-tyrosine phosphorylation (GO:0018108)	48	1	2.45	-	.41	2.97E-01
cellular response to BMP stimulus (GO:0071773)	48	1	2.45	-	.41	2.97E-01
response to BMP (GO:0071772)	48	1	2.45	-	.41	2.97E-01
trans-synaptic signaling (GO:0099537)	240	5	12.26	-	.41	1.67E-02
transmembrane transport (GO:0055085)	486	10	24.82	-	.40	5.69E-04
gamete generation (GO:0007276)	49	1	2.50	-	.40	2.86E-01
stress-activated protein kinase signaling cascade (GO:0031098)	49	1	2.50	-	.40	2.86E-01
metal ion transport (GO:0030001)	296	6	15.12	-	.40	6.71E-03
synaptic signaling (GO:0099536)	247	5	12.62	-	.40	1.33E-02
regulation of cell death (GO:0010941)	149	3	7.61	-	.39	5.42E-02
ion transmembrane transport (GO:0034220)	400	8	20.43	-	.39	1.44E-03
regulation of metal ion transport (GO:0010959)	50	1	2.55	-	.39	2.76E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	50	1	2.55	-	.39	2.76E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	50	1	2.55	-	.39	2.76E-01
peptidyl-tyrosine modification (GO:0018212)	50	1	2.55	-	.39	2.76E-01
leukocyte chemotaxis (GO:0030595)	51	1	2.60	-	.38	2.66E-01
T cell activation (GO:0042110)	52	1	2.66	-	.38	2.56E-01
membrane lipid biosynthetic process (GO:0046467)	52	1	2.66	-	.38	2.56E-01
glycerolipid biosynthetic process (GO:0045017)	52	1	2.66	-	.38	2.56E-01
regulation of cation transmembrane transport (GO:1904062)	52	1	2.66	-	.38	2.56E-01
DNA-dependent DNA replication (GO:0006261)	52	1	2.66	-	.38	2.56E-01
cellular metal ion homeostasis (GO:0006875)	157	3	8.02	-	.37	4.12E-02
multicellular organismal reproductive process (GO:0048609)	53	1	2.71	-	.37	2.47E-01
cell chemotaxis (GO:0060326)	53	1	2.71	-	.37	2.47E-01
developmental process involved in reproduction (GO:0003006)	53	1	2.71	-	.37	2.47E-01
calcium ion transmembrane transport (GO:0070588)	54	1	2.76	-	.36	2.38E-01
myeloid leukocyte migration (GO:0097529)	54	1	2.76	-	.36	2.38E-01
extracellular matrix organization (GO:0030198)	110	2	5.62	-	.36	8.06E-02
heart development (GO:0007507)	55	1	2.81	-	.36	2.29E-01
maintenance of location (GO:0051235)	55	1	2.81	-	.36	2.29E-01
divalent metal ion transport (GO:0070838)	111	2	5.67	-	.35	7.78E-02
extracellular structure organization (GO:0043062)	111	2	5.67	-	.35	7.78E-02
divalent inorganic cation transport (GO:0072511)	111	2	5.67	-	.35	7.78E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	56	1	2.86	-	.35	2.20E-01
immune response-activating signal transduction (GO:0002757)	56	1	2.86	-	.35	2.20E-01
regulation of cell cycle phase transition (GO:1901987)	56	1	2.86	-	.35	2.20E-01
negative regulation of apoptotic process (GO:0043066)	56	1	2.86	-	.35	2.20E-01
cation transport (GO:0006812)	396	7	20.23	-	.35	5.98E-04
chromatin remodeling (GO:0006338)	57	1	2.91	-	.34	2.12E-01
negative regulation of programmed cell death (GO:0043069)	57	1	2.91	-	.34	2.12E-01
cell-cell junction organization (GO:0045216)	58	1	2.96	-	.34	2.04E-01
negative regulation of endopeptidase activity (GO:0010951)	59	1	3.01	-	.33	1.97E-01
metal ion homeostasis (GO:0055065)	177	3	9.04	-	.33	2.01E-02
cation transmembrane transport (GO:0098655)	299	5	15.27	-	.33	2.16E-03
multicellular organism reproduction (GO:0032504)	61	1	3.12	-	.32	1.82E-01
negative regulation of peptidase activity (GO:0010466)	61	1	3.12	-	.32	1.82E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	63	1	3.22	-	.31	1.68E-01
humoral immune response (GO:0006959)	63	1	3.22	-	.31	1.68E-01
leukocyte migration (GO:0050900)	64	1	3.27	-	.31	1.62E-01
synaptic vesicle cycle (GO:0099504)	64	1	3.27	-	.31	1.62E-01
vesicle-mediated transport in synapse (GO:0099003)	64	1	3.27	-	.31	1.62E-01
negative regulation of proteolysis (GO:0045861)	65	1	3.32	-	.30	1.56E-01
sexual reproduction (GO:0019953)	65	1	3.32	-	.30	1.56E-01
multi-organism process (GO:0051704)	66	1	3.37	-	.30	1.50E-01
multi-organism reproductive process (GO:0044703)	66	1	3.37	-	.30	1.50E-01
glycoprotein metabolic process (GO:0009100)	135	2	6.90	-	.29	3.16E-02
regulation of ion transmembrane transport (GO:0034765)	69	1	3.52	-	.28	1.33E-01
negative regulation of cell death (GO:0060548)	69	1	3.52	-	.28	1.33E-01
central nervous system development (GO:0007417)	70	1	3.58	-	.28	1.28E-01
monovalent inorganic cation transport (GO:0015672)	211	3	10.78	-	.28	5.59E-03
G protein-coupled receptor signaling pathway (GO:0007186)	353	5	18.03	-	.28	2.85E-04
regulation of transmembrane transport (GO:0034762)	71	1	3.63	-	.28	1.23E-01
establishment of protein localization to membrane (GO:0090150)	72	1	3.68	-	.27	1.18E-01
lymphocyte activation (GO:0046649)	74	1	3.78	-	.26	1.09E-01
inorganic ion transmembrane transport (GO:0098660)	301	4	15.37	-	.26	5.95E-04
regulation of cytosolic calcium ion concentration (GO:0051480)	78	1	3.98	-	.25	9.22E-02
protein glycosylation (GO:0006486)	80	1	4.09	-	.24	8.49E-02
macromolecule glycosylation (GO:0043413)	80	1	4.09	-	.24	8.49E-02
immune effector process (GO:0002252)	85	1	4.34	-	.23	6.90E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	87	1	4.44	-	.23	6.35E-02
inorganic cation transmembrane transport (GO:0098662)	270	3	13.79	-	.22	5.21E-04
glycosylation (GO:0070085)	92	1	4.70	-	.21	5.14E-02
regulation of ion transport (GO:0043269)	97	1	4.95	-	.20	4.16E-02
potassium ion transmembrane transport (GO:0071805)	106	1	5.41	-	.18	2.82E-02
potassium ion transport (GO:0006813)	107	1	5.47	-	.18	2.70E-02
animal organ morphogenesis (GO:0009887)	113	1	5.77	-	.17	2.08E-02
glycoprotein biosynthetic process (GO:0009101)	115	1	5.87	-	.17	1.90E-02
regulation of membrane potential (GO:0042391)	119	1	6.08	-	.16	1.60E-02
system process (GO:0003008)	236	1	12.05	-	.08	7.05E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	27	0	1.38	-	 < 0.01	2.52E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	35	0	1.79	-	 < 0.01	1.67E-01
intermediate filament cytoskeleton organization (GO:0045104)	13	0	.66	-	 < 0.01	5.15E-01
cellular component macromolecule biosynthetic process (GO:0070589)	1	0	.05	-	 < 0.01	9.50E-01
mitotic cytokinesis (GO:0000281)	13	0	.66	-	 < 0.01	5.15E-01
positive regulation of actin filament polymerization (GO:0030838)	25	0	1.28	-	 < 0.01	2.79E-01
sperm-egg recognition (GO:0035036)	13	0	.66	-	 < 0.01	5.15E-01
T cell mediated immunity (GO:0002456)	15	0	.77	-	 < 0.01	4.65E-01
bone resorption (GO:0045453)	6	0	.31	-	 < 0.01	7.36E-01
lymphocyte mediated immunity (GO:0002449)	27	0	1.38	-	 < 0.01	2.52E-01
regulation of Rho protein signal transduction (GO:0035023)	33	0	1.69	-	 < 0.01	1.85E-01
apoptotic cell clearance (GO:0043277)	12	0	.61	-	 < 0.01	5.42E-01
regulation of neurotransmitter receptor activity (GO:0099601)	19	0	.97	-	 < 0.01	3.79E-01
production of molecular mediator of immune response (GO:0002440)	13	0	.66	-	 < 0.01	5.15E-01
oligodendrocyte differentiation (GO:0048709)	5	0	.26	-	 < 0.01	7.75E-01
regulation of lipid biosynthetic process (GO:0046890)	14	0	.72	-	 < 0.01	4.89E-01
endothelial cell differentiation (GO:0045446)	8	0	.41	-	 < 0.01	6.65E-01
neutrophil migration (GO:1990266)	43	0	2.20	-	 < 0.01	1.11E-01
fat cell differentiation (GO:0045444)	4	0	.20	-	 < 0.01	8.15E-01
axo-dendritic transport (GO:0008088)	14	0	.72	-	 < 0.01	4.89E-01
sensory perception of pain (GO:0019233)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of hormone secretion (GO:0046887)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of peptide secretion (GO:0002793)	5	0	.26	-	 < 0.01	7.75E-01
regulation of hormone secretion (GO:0046883)	13	0	.66	-	 < 0.01	5.15E-01
nucleotide catabolic process (GO:0009166)	14	0	.72	-	 < 0.01	4.89E-01
response to interleukin-1 (GO:0070555)	29	0	1.48	-	 < 0.01	2.27E-01
regulation of AMPA receptor activity (GO:2000311)	14	0	.72	-	 < 0.01	4.89E-01
hormone secretion (GO:0046879)	14	0	.72	-	 < 0.01	4.89E-01
striated muscle cell differentiation (GO:0051146)	26	0	1.33	-	 < 0.01	2.65E-01
purine ribonucleotide catabolic process (GO:0009154)	8	0	.41	-	 < 0.01	6.65E-01
heme metabolic process (GO:0042168)	12	0	.61	-	 < 0.01	5.42E-01
spliceosomal complex assembly (GO:0000245)	18	0	.92	-	 < 0.01	3.99E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	34	0	1.74	-	 < 0.01	1.76E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	35	0	1.79	-	 < 0.01	1.67E-01
granulocyte chemotaxis (GO:0071621)	43	0	2.20	-	 < 0.01	1.11E-01
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.26	-	 < 0.01	7.75E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	38	0	1.94	-	 < 0.01	1.43E-01
nucleoside triphosphate metabolic process (GO:0009141)	43	0	2.20	-	 < 0.01	1.11E-01
positive regulation of blood pressure (GO:0045777)	3	0	.15	-	 < 0.01	8.58E-01
transcription preinitiation complex assembly (GO:0070897)	14	0	.72	-	 < 0.01	4.89E-01
mitochondrial fusion (GO:0008053)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	5	0	.26	-	 < 0.01	7.75E-01
regulation of bone remodeling (GO:0046850)	5	0	.26	-	 < 0.01	7.75E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	13	0	.66	-	 < 0.01	5.15E-01
platelet aggregation (GO:0070527)	7	0	.36	-	 < 0.01	6.99E-01
vacuole fusion, non-autophagic (GO:0042144)	4	0	.20	-	 < 0.01	8.15E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of cellular amide metabolic process (GO:0034250)	24	0	1.23	-	 < 0.01	2.93E-01
motor neuron axon guidance (GO:0008045)	11	0	.56	-	 < 0.01	5.70E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	4	0	.20	-	 < 0.01	8.15E-01
bone remodeling (GO:0046849)	6	0	.31	-	 < 0.01	7.36E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	14	0	.72	-	 < 0.01	4.89E-01
skin development (GO:0043588)	5	0	.26	-	 < 0.01	7.75E-01
meiotic DNA double-strand break formation (GO:0042138)	1	0	.05	-	 < 0.01	9.50E-01
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of T cell proliferation (GO:0042130)	11	0	.56	-	 < 0.01	5.70E-01
V(D)J recombination (GO:0033151)	1	0	.05	-	 < 0.01	9.50E-01
hippo signaling (GO:0035329)	15	0	.77	-	 < 0.01	4.65E-01
peroxisomal transport (GO:0043574)	17	0	.87	-	 < 0.01	4.19E-01
cellular response to oxidative stress (GO:0034599)	18	0	.92	-	 < 0.01	3.99E-01
purine nucleobase biosynthetic process (GO:0009113)	8	0	.41	-	 < 0.01	6.65E-01
regulation of T cell proliferation (GO:0042129)	20	0	1.02	-	 < 0.01	3.60E-01
nucleobase metabolic process (GO:0009112)	22	0	1.12	-	 < 0.01	3.25E-01
calcium ion import (GO:0070509)	17	0	.87	-	 < 0.01	4.19E-01
negative regulation of Notch signaling pathway (GO:0045746)	7	0	.36	-	 < 0.01	6.99E-01
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	17	0	.87	-	 < 0.01	4.19E-01
positive regulation of DNA replication (GO:0045740)	4	0	.20	-	 < 0.01	8.15E-01
regulation of response to wounding (GO:1903034)	10	0	.51	-	 < 0.01	6.00E-01
sperm motility (GO:0097722)	10	0	.51	-	 < 0.01	6.00E-01
positive regulation of DNA repair (GO:0045739)	8	0	.41	-	 < 0.01	6.65E-01
negative regulation of DNA repair (GO:0045738)	6	0	.31	-	 < 0.01	7.36E-01
B cell activation (GO:0042113)	32	0	1.63	-	 < 0.01	1.95E-01
odontogenesis of dentin-containing tooth (GO:0042475)	4	0	.20	-	 < 0.01	8.15E-01
regulation of heart contraction (GO:0008016)	12	0	.61	-	 < 0.01	5.42E-01
antigen processing and presentation (GO:0019882)	15	0	.77	-	 < 0.01	4.65E-01
negative regulation of protein dephosphorylation (GO:0035308)	3	0	.15	-	 < 0.01	8.58E-01
cardiolipin biosynthetic process (GO:0032049)	1	0	.05	-	 < 0.01	9.50E-01
spermatid development (GO:0007286)	18	0	.92	-	 < 0.01	3.99E-01
regulation of protein dephosphorylation (GO:0035304)	10	0	.51	-	 < 0.01	6.00E-01
spermatogenesis (GO:0007283)	33	0	1.69	-	 < 0.01	1.85E-01
carbohydrate transmembrane transport (GO:0034219)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	13	0	.66	-	 < 0.01	5.15E-01
positive regulation of translation (GO:0045727)	23	0	1.17	-	 < 0.01	3.09E-01
positive regulation of T cell proliferation (GO:0042102)	12	0	.61	-	 < 0.01	5.42E-01
B cell proliferation (GO:0042100)	19	0	.97	-	 < 0.01	3.79E-01
regulation of cell shape (GO:0008360)	27	0	1.38	-	 < 0.01	2.52E-01
regulation of cytokine production involved in immune response (GO:0002718)	7	0	.36	-	 < 0.01	6.99E-01
neuromuscular synaptic transmission (GO:0007274)	6	0	.31	-	 < 0.01	7.36E-01
synaptic transmission, cholinergic (GO:0007271)	6	0	.31	-	 < 0.01	7.36E-01
regulation of mitotic sister chromatid separation (GO:0010965)	17	0	.87	-	 < 0.01	4.19E-01
RNA interference (GO:0016246)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of cellular protein catabolic process (GO:1903363)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of lymphocyte mediated immunity (GO:0002708)	19	0	.97	-	 < 0.01	3.79E-01
regulation of lymphocyte mediated immunity (GO:0002706)	21	0	1.07	-	 < 0.01	3.42E-01
positive regulation of leukocyte mediated immunity (GO:0002705)	22	0	1.12	-	 < 0.01	3.25E-01
Rho protein signal transduction (GO:0007266)	45	0	2.30	-	 < 0.01	1.00E-01
regulation of production of molecular mediator of immune response (GO:0002700)	10	0	.51	-	 < 0.01	6.00E-01
tyrosine phosphorylation of STAT protein (GO:0007260)	11	0	.56	-	 < 0.01	5.70E-01
calcium ion transport into cytosol (GO:0060402)	22	0	1.12	-	 < 0.01	3.25E-01
cytosolic calcium ion transport (GO:0060401)	25	0	1.28	-	 < 0.01	2.79E-01
C-terminal protein amino acid modification (GO:0018410)	5	0	.26	-	 < 0.01	7.75E-01
negative regulation of nuclear division (GO:0051784)	15	0	.77	-	 < 0.01	4.65E-01
replication fork processing (GO:0031297)	6	0	.31	-	 < 0.01	7.36E-01
embryo development ending in birth or egg hatching (GO:0009792)	21	0	1.07	-	 < 0.01	3.42E-01
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	9	0	.46	-	 < 0.01	6.31E-01
heterochromatin organization (GO:0070828)	8	0	.41	-	 < 0.01	6.65E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	2	0	.10	-	 < 0.01	9.03E-01
hormone biosynthetic process (GO:0042446)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of cell division (GO:0051781)	4	0	.20	-	 < 0.01	8.15E-01
post-embryonic development (GO:0009791)	1	0	.05	-	 < 0.01	9.50E-01
phosphatidylinositol 3-kinase signaling (GO:0014065)	16	0	.82	-	 < 0.01	4.41E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	3	0	.15	-	 < 0.01	8.58E-01
pigment metabolic process (GO:0042440)	23	0	1.17	-	 < 0.01	3.09E-01
JNK cascade (GO:0007254)	30	0	1.53	-	 < 0.01	2.16E-01
negative regulation of cell cycle process (GO:0010948)	34	0	1.74	-	 < 0.01	1.76E-01
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	8	0	.41	-	 < 0.01	6.65E-01
iron-sulfur cluster assembly (GO:0016226)	12	0	.61	-	 < 0.01	5.42E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of blood coagulation (GO:0030195)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of TOR signaling (GO:0032008)	9	0	.46	-	 < 0.01	6.31E-01
non-motile cilium assembly (GO:1905515)	13	0	.66	-	 < 0.01	5.15E-01
intracellular sterol transport (GO:0032366)	2	0	.10	-	 < 0.01	9.03E-01
stress-activated MAPK cascade (GO:0051403)	35	0	1.79	-	 < 0.01	1.67E-01
neuron apoptotic process (GO:0051402)	11	0	.56	-	 < 0.01	5.70E-01
response to UV (GO:0009411)	7	0	.36	-	 < 0.01	6.99E-01
regulation of lymphocyte proliferation (GO:0050670)	25	0	1.28	-	 < 0.01	2.79E-01
B cell differentiation (GO:0030183)	16	0	.82	-	 < 0.01	4.41E-01
hemostasis (GO:0007599)	17	0	.87	-	 < 0.01	4.19E-01
blood coagulation (GO:0007596)	17	0	.87	-	 < 0.01	4.19E-01
cellular component assembly involved in morphogenesis (GO:0010927)	23	0	1.17	-	 < 0.01	3.09E-01
response to estradiol (GO:0032355)	4	0	.20	-	 < 0.01	8.15E-01
developmental pigmentation (GO:0048066)	4	0	.20	-	 < 0.01	8.15E-01
response to cold (GO:0009409)	5	0	.26	-	 < 0.01	7.75E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	21	0	1.07	-	 < 0.01	3.42E-01
ATP synthesis coupled electron transport (GO:0042773)	21	0	1.07	-	 < 0.01	3.42E-01
signal transduction in response to DNA damage (GO:0042770)	7	0	.36	-	 < 0.01	6.99E-01
digestion (GO:0007586)	6	0	.31	-	 < 0.01	7.36E-01
response to nutrient (GO:0007584)	4	0	.20	-	 < 0.01	8.15E-01
cristae formation (GO:0042407)	7	0	.36	-	 < 0.01	6.99E-01
protein O-linked glycosylation (GO:0006493)	14	0	.72	-	 < 0.01	4.89E-01
platelet activation (GO:0030168)	10	0	.51	-	 < 0.01	6.00E-01
protein import into peroxisome matrix (GO:0016558)	10	0	.51	-	 < 0.01	6.00E-01
proteoglycan biosynthetic process (GO:0030166)	28	0	1.43	-	 < 0.01	2.39E-01
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	12	0	.61	-	 < 0.01	5.42E-01
neuropeptide signaling pathway (GO:0007218)	41	0	2.09	-	 < 0.01	1.23E-01
glutamate receptor signaling pathway (GO:0007215)	27	0	1.38	-	 < 0.01	2.52E-01
dopamine receptor signaling pathway (GO:0007212)	9	0	.46	-	 < 0.01	6.31E-01
carbohydrate derivative catabolic process (GO:1901136)	43	0	2.20	-	 < 0.01	1.11E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	8	0	.41	-	 < 0.01	6.65E-01
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	5	0	.26	-	 < 0.01	7.75E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	3	0	.15	-	 < 0.01	8.58E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	4	0	.20	-	 < 0.01	8.15E-01
protein localization to kinetochore (GO:0034501)	6	0	.31	-	 < 0.01	7.36E-01
protein import into mitochondrial matrix (GO:0030150)	16	0	.82	-	 < 0.01	4.41E-01
alanine transport (GO:0032328)	6	0	.31	-	 < 0.01	7.36E-01
activation of phospholipase C activity (GO:0007202)	37	0	1.89	-	 < 0.01	1.51E-01
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	36	0	1.84	-	 < 0.01	1.59E-01
oxidative phosphorylation (GO:0006119)	29	0	1.48	-	 < 0.01	2.27E-01
N-terminal protein amino acid acetylation (GO:0006474)	7	0	.36	-	 < 0.01	6.99E-01
basic amino acid transmembrane transport (GO:1990822)	2	0	.10	-	 < 0.01	9.03E-01
sphingolipid catabolic process (GO:0030149)	10	0	.51	-	 < 0.01	6.00E-01
carbohydrate transport (GO:0008643)	1	0	.05	-	 < 0.01	9.50E-01
detection of mechanical stimulus (GO:0050982)	13	0	.66	-	 < 0.01	5.15E-01
negative regulation of chromosome separation (GO:1905819)	13	0	.66	-	 < 0.01	5.15E-01
sex differentiation (GO:0007548)	11	0	.56	-	 < 0.01	5.70E-01
regulation of chromosome separation (GO:1905818)	19	0	.97	-	 < 0.01	3.79E-01
inositol lipid-mediated signaling (GO:0048017)	33	0	1.69	-	 < 0.01	1.85E-01
inositol phosphate-mediated signaling (GO:0048016)	46	0	2.35	-	 < 0.01	9.51E-02
phosphatidylinositol-mediated signaling (GO:0048015)	33	0	1.69	-	 < 0.01	1.85E-01
biomineral tissue development (GO:0031214)	9	0	.46	-	 < 0.01	6.31E-01
G2 DNA damage checkpoint (GO:0031572)	6	0	.31	-	 < 0.01	7.36E-01
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	15	0	.77	-	 < 0.01	4.65E-01
biomineralization (GO:0110148)	9	0	.46	-	 < 0.01	6.31E-01
nucleotide-sugar transmembrane transport (GO:0015780)	2	0	.10	-	 < 0.01	9.03E-01
tRNA wobble uridine modification (GO:0002098)	7	0	.36	-	 < 0.01	6.99E-01
neuromuscular junction development (GO:0007528)	15	0	.77	-	 < 0.01	4.65E-01
tumor necrosis factor production (GO:0032640)	7	0	.36	-	 < 0.01	6.99E-01
organelle transport along microtubule (GO:0072384)	18	0	.92	-	 < 0.01	3.99E-01
skeletal muscle tissue development (GO:0007519)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	4	0	.20	-	 < 0.01	8.15E-01
heme biosynthetic process (GO:0006783)	9	0	.46	-	 < 0.01	6.31E-01
protein activation cascade (GO:0072376)	11	0	.56	-	 < 0.01	5.70E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	9	0	.46	-	 < 0.01	6.31E-01
mesoderm morphogenesis (GO:0048332)	10	0	.51	-	 < 0.01	6.00E-01
porphyrin-containing compound metabolic process (GO:0006778)	13	0	.66	-	 < 0.01	5.15E-01
actin cytoskeleton reorganization (GO:0031532)	17	0	.87	-	 < 0.01	4.19E-01
regulation of complement activation (GO:0030449)	1	0	.05	-	 < 0.01	9.50E-01
chondrocyte differentiation (GO:0002062)	7	0	.36	-	 < 0.01	6.99E-01
citrate transport (GO:0015746)	3	0	.15	-	 < 0.01	8.58E-01
pigment biosynthetic process (GO:0046148)	20	0	1.02	-	 < 0.01	3.60E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of wound healing (GO:0090303)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of response to DNA damage stimulus (GO:2001022)	15	0	.77	-	 < 0.01	4.65E-01
negative regulation of response to DNA damage stimulus (GO:2001021)	7	0	.36	-	 < 0.01	6.99E-01
ATP biosynthetic process (GO:0006754)	32	0	1.63	-	 < 0.01	1.95E-01
chemical synaptic transmission, postsynaptic (GO:0099565)	14	0	.72	-	 < 0.01	4.89E-01
