




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_background.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	arabidopsis_background.txt - REFLIST (14244)	upload_1 (1970)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
piecemeal microautophagy of the nucleus (GO:0034727)	5	0	.69	-	 < 0.01	5.01E-01
mitochondrial translation (GO:0032543)	16	0	2.21	-	 < 0.01	1.09E-01
mitotic recombination (GO:0006312)	7	0	.97	-	 < 0.01	3.80E-01
cytoplasmic mRNA processing body assembly (GO:0033962)	10	0	1.38	-	 < 0.01	2.51E-01
DNA catabolic process (GO:0006308)	1	0	.14	-	 < 0.01	8.71E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	4	0	.55	-	 < 0.01	5.75E-01
DNA duplex unwinding (GO:0032508)	17	0	2.35	-	 < 0.01	9.51E-02
negative regulation of cell cycle G2/M phase transition (GO:1902750)	7	0	.97	-	 < 0.01	3.80E-01
AMP metabolic process (GO:0046033)	2	0	.28	-	 < 0.01	7.58E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	12	0	1.66	-	 < 0.01	1.90E-01
negative regulation of protein modification process (GO:0031400)	5	0	.69	-	 < 0.01	5.01E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	1	0	.14	-	 < 0.01	8.71E-01
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	1	0	.14	-	 < 0.01	8.71E-01
interstrand cross-link repair (GO:0036297)	4	0	.55	-	 < 0.01	5.75E-01
response to decreased oxygen levels (GO:0036293)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	1	0	.14	-	 < 0.01	8.71E-01
regulation of apoptotic signaling pathway (GO:2001233)	1	0	.14	-	 < 0.01	8.71E-01
G2/M transition of mitotic cell cycle (GO:0000086)	12	0	1.66	-	 < 0.01	1.90E-01
amino sugar catabolic process (GO:0046348)	2	0	.28	-	 < 0.01	7.58E-01
activation of immune response (GO:0002253)	2	0	.28	-	 < 0.01	7.58E-01
protein K48-linked deubiquitination (GO:0071108)	1	0	.14	-	 < 0.01	8.71E-01
immune effector process (GO:0002252)	2	0	.28	-	 < 0.01	7.58E-01
regulation of GTPase activity (GO:0043087)	2	0	.28	-	 < 0.01	7.58E-01
cell motility (GO:0048870)	1	0	.14	-	 < 0.01	8.71E-01
DNA damage checkpoint (GO:0000077)	5	0	.69	-	 < 0.01	5.01E-01
cellular response to hypoxia (GO:0071456)	1	0	.14	-	 < 0.01	8.71E-01
syncytium formation (GO:0006949)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of programmed cell death (GO:0043069)	1	0	.14	-	 < 0.01	8.71E-01
positive regulation of programmed cell death (GO:0043068)	2	0	.28	-	 < 0.01	7.58E-01
regulation of programmed cell death (GO:0043067)	3	0	.41	-	 < 0.01	6.60E-01
negative regulation of apoptotic process (GO:0043066)	1	0	.14	-	 < 0.01	8.71E-01
response to cadmium ion (GO:0046686)	2	0	.28	-	 < 0.01	7.58E-01
extracellular structure organization (GO:0043062)	4	0	.55	-	 < 0.01	5.75E-01
sterol transport (GO:0015918)	4	0	.55	-	 < 0.01	5.75E-01
long-chain fatty acid transport (GO:0015909)	1	0	.14	-	 < 0.01	8.71E-01
activation of innate immune response (GO:0002218)	2	0	.28	-	 < 0.01	7.58E-01
negative regulation of peptidase activity (GO:0010466)	6	0	.83	-	 < 0.01	4.36E-01
cell-cell junction organization (GO:0045216)	5	0	.69	-	 < 0.01	5.01E-01
very long-chain fatty acid metabolic process (GO:0000038)	5	0	.69	-	 < 0.01	5.01E-01
apoptotic process (GO:0006915)	5	0	.69	-	 < 0.01	5.01E-01
spliceosomal snRNP assembly (GO:0000387)	7	0	.97	-	 < 0.01	3.80E-01
regulation of DNA recombination (GO:0000018)	6	0	.83	-	 < 0.01	4.36E-01
anatomical structure homeostasis (GO:0060249)	16	0	2.21	-	 < 0.01	1.09E-01
protein localization to cell surface (GO:0034394)	1	0	.14	-	 < 0.01	8.71E-01
centriole replication (GO:0007099)	3	0	.41	-	 < 0.01	6.60E-01
mitotic G2 DNA damage checkpoint (GO:0007095)	3	0	.41	-	 < 0.01	6.60E-01
peptidoglycan biosynthetic process (GO:0009252)	1	0	.14	-	 < 0.01	8.71E-01
mitotic chromosome condensation (GO:0007076)	3	0	.41	-	 < 0.01	6.60E-01
cell cycle DNA replication (GO:0044786)	10	0	1.38	-	 < 0.01	2.51E-01
mitotic sister chromatid cohesion (GO:0007064)	5	0	.69	-	 < 0.01	5.01E-01
peptidyl-arginine methylation (GO:0018216)	1	0	.14	-	 < 0.01	8.71E-01
oxidative demethylation (GO:0070989)	1	0	.14	-	 < 0.01	8.71E-01
demethylation (GO:0070988)	2	0	.28	-	 < 0.01	7.58E-01
negative regulation of proteolysis (GO:0045861)	6	0	.83	-	 < 0.01	4.36E-01
nuclear DNA replication (GO:0033260)	9	0	1.24	-	 < 0.01	2.88E-01
mitotic DNA integrity checkpoint (GO:0044774)	9	0	1.24	-	 < 0.01	2.88E-01
mitotic DNA damage checkpoint (GO:0044773)	4	0	.55	-	 < 0.01	5.75E-01
telomere-telomerase complex assembly (GO:1905324)	9	0	1.24	-	 < 0.01	2.88E-01
cell cycle arrest (GO:0007050)	1	0	.14	-	 < 0.01	8.71E-01
protein K11-linked ubiquitination (GO:0070979)	1	0	.14	-	 < 0.01	8.71E-01
glucose homeostasis (GO:0042593)	5	0	.69	-	 < 0.01	5.01E-01
negative regulation of cell death (GO:0060548)	1	0	.14	-	 < 0.01	8.71E-01
cell-cell junction assembly (GO:0007043)	5	0	.69	-	 < 0.01	5.01E-01
histone H3-K4 methylation (GO:0051568)	2	0	.28	-	 < 0.01	7.58E-01
mitochondrial calcium ion homeostasis (GO:0051560)	7	0	.97	-	 < 0.01	3.80E-01
cell junction organization (GO:0034330)	5	0	.69	-	 < 0.01	5.01E-01
positive regulation of response to biotic stimulus (GO:0002833)	4	0	.55	-	 < 0.01	5.75E-01
endosome organization (GO:0007032)	3	0	.41	-	 < 0.01	6.60E-01
cell junction assembly (GO:0034329)	5	0	.69	-	 < 0.01	5.01E-01
activation of protein kinase activity (GO:0032147)	3	0	.41	-	 < 0.01	6.60E-01
pollen development (GO:0009555)	3	0	.41	-	 < 0.01	6.60E-01
regulation of histone modification (GO:0031056)	7	0	.97	-	 < 0.01	3.80E-01
microtubule depolymerization (GO:0007019)	1	0	.14	-	 < 0.01	8.71E-01
regulation of DNA repair (GO:0006282)	2	0	.28	-	 < 0.01	7.58E-01
plasma membrane organization (GO:0007009)	2	0	.28	-	 < 0.01	7.58E-01
telomere maintenance via telomerase (GO:0007004)	9	0	1.24	-	 < 0.01	2.88E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	10	0	1.38	-	 < 0.01	2.51E-01
locomotion (GO:0040011)	1	0	.14	-	 < 0.01	8.71E-01
DNA strand elongation involved in DNA replication (GO:0006271)	10	0	1.38	-	 < 0.01	2.51E-01
DNA replication initiation (GO:0006270)	13	0	1.80	-	 < 0.01	1.66E-01
DNA unwinding involved in DNA replication (GO:0006268)	13	0	1.80	-	 < 0.01	1.66E-01
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	6	0	.83	-	 < 0.01	4.36E-01
positive regulation of response to external stimulus (GO:0032103)	4	0	.55	-	 < 0.01	5.75E-01
positive regulation of immune response (GO:0050778)	4	0	.55	-	 < 0.01	5.75E-01
endocytic recycling (GO:0032456)	3	0	.41	-	 < 0.01	6.60E-01
histone H3 acetylation (GO:0043966)	5	0	.69	-	 < 0.01	5.01E-01
lipid storage (GO:0019915)	10	0	1.38	-	 < 0.01	2.51E-01
chromosome condensation (GO:0030261)	7	0	.97	-	 < 0.01	3.80E-01
positive regulation of defense response (GO:0031349)	4	0	.55	-	 < 0.01	5.75E-01
histone lysine methylation (GO:0034968)	4	0	.55	-	 < 0.01	5.75E-01
intrinsic apoptotic signaling pathway (GO:0097193)	4	0	.55	-	 < 0.01	5.75E-01
apoptotic signaling pathway (GO:0097190)	4	0	.55	-	 < 0.01	5.75E-01
purine nucleotide transport (GO:0015865)	2	0	.28	-	 < 0.01	7.58E-01
organic hydroxy compound transport (GO:0015850)	4	0	.55	-	 < 0.01	5.75E-01
protein monoubiquitination (GO:0006513)	1	0	.14	-	 < 0.01	8.71E-01
mitotic DNA replication (GO:1902969)	4	0	.55	-	 < 0.01	5.75E-01
mitochondrial calcium ion transmembrane transport (GO:0006851)	7	0	.97	-	 < 0.01	3.80E-01
meiotic sister chromatid segregation (GO:0045144)	6	0	.83	-	 < 0.01	4.36E-01
homologous chromosome segregation (GO:0045143)	4	0	.55	-	 < 0.01	5.75E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	12	0	1.66	-	 < 0.01	1.90E-01
meiotic chromosome segregation (GO:0045132)	16	0	2.21	-	 < 0.01	1.09E-01
cortical actin cytoskeleton organization (GO:0030866)	1	0	.14	-	 < 0.01	8.71E-01
regulation of Ras protein signal transduction (GO:0046578)	1	0	.14	-	 < 0.01	8.71E-01
iron ion transport (GO:0006826)	5	0	.69	-	 < 0.01	5.01E-01
chloride transport (GO:0006821)	2	0	.28	-	 < 0.01	7.58E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	3	0	.41	-	 < 0.01	6.60E-01
protein localization to cytoskeleton (GO:0044380)	3	0	.41	-	 < 0.01	6.60E-01
