




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
organic hydroxy compound transport (GO:0015850)	3	1	2.43	-	.41	3.02E-01
positive regulation of cellular catabolic process (GO:0031331)	7	2	5.67	-	.35	7.82E-02
cell differentiation (GO:0030154)	4	1	3.24	-	.31	1.66E-01
inositol lipid-mediated signaling (GO:0048017)	4	1	3.24	-	.31	1.66E-01
phosphatidylinositol-mediated signaling (GO:0048015)	4	1	3.24	-	.31	1.66E-01
non-recombinational repair (GO:0000726)	8	2	6.48	-	.31	4.35E-02
vacuolar protein processing (GO:0006624)	4	1	3.24	-	.31	1.66E-01
iron import into cell (GO:0033212)	4	1	3.24	-	.31	1.66E-01
cellular response to abiotic stimulus (GO:0071214)	9	2	7.29	-	.27	2.37E-02
cellular response to environmental stimulus (GO:0104004)	9	2	7.29	-	.27	2.37E-02
positive regulation of catabolic process (GO:0009896)	9	2	7.29	-	.27	2.37E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	5	1	4.05	-	.25	8.78E-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	5	1	4.05	-	.25	8.78E-02
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	5	1	4.05	-	.25	8.78E-02
positive regulation of cellular protein catabolic process (GO:1903364)	5	1	4.05	-	.25	8.78E-02
regulation of cellular protein catabolic process (GO:1903362)	5	1	4.05	-	.25	8.78E-02
regulation of proteasomal protein catabolic process (GO:0061136)	5	1	4.05	-	.25	8.78E-02
positive regulation of proteolysis (GO:0045862)	5	1	4.05	-	.25	8.78E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	5	1	4.05	-	.25	8.78E-02
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	5	1	4.05	-	.25	8.78E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	5	1	4.05	-	.25	8.78E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	5	1	4.05	-	.25	8.78E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	6	1	4.86	-	.21	4.53E-02
regulation of protein catabolic process (GO:0042176)	7	1	5.67	-	.18	2.29E-02
positive regulation of protein catabolic process (GO:0045732)	7	1	5.67	-	.18	2.29E-02
regulation of cell death (GO:0010941)	1	0	.81	-	 < 0.01	4.45E-01
intracellular sterol transport (GO:0032366)	1	0	.81	-	 < 0.01	4.45E-01
histone deubiquitination (GO:0016578)	1	0	.81	-	 < 0.01	4.45E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1	0	.81	-	 < 0.01	4.45E-01
phosphatidylglycerol metabolic process (GO:0046471)	2	0	1.62	-	 < 0.01	1.98E-01
phosphatidylcholine metabolic process (GO:0046470)	2	0	1.62	-	 < 0.01	1.98E-01
neutral lipid catabolic process (GO:0046461)	1	0	.81	-	 < 0.01	4.45E-01
triglyceride biosynthetic process (GO:0019432)	1	0	.81	-	 < 0.01	4.45E-01
regulation of mitochondrion organization (GO:0010821)	1	0	.81	-	 < 0.01	4.45E-01
triglyceride metabolic process (GO:0006641)	1	0	.81	-	 < 0.01	4.45E-01
acylglycerol metabolic process (GO:0006639)	1	0	.81	-	 < 0.01	4.45E-01
neutral lipid metabolic process (GO:0006638)	2	0	1.62	-	 < 0.01	1.98E-01
cellular response to light stimulus (GO:0071482)	2	0	1.62	-	 < 0.01	1.98E-01
cellular response to osmotic stress (GO:0071470)	1	0	.81	-	 < 0.01	4.45E-01
protein K48-linked deubiquitination (GO:0071108)	2	0	1.62	-	 < 0.01	1.98E-01
neuron death (GO:0070997)	1	0	.81	-	 < 0.01	4.45E-01
negative regulation of cell death (GO:0060548)	1	0	.81	-	 < 0.01	4.45E-01
negative regulation of neuron death (GO:1901215)	1	0	.81	-	 < 0.01	4.45E-01
regulation of neuron death (GO:1901214)	1	0	.81	-	 < 0.01	4.45E-01
arginine catabolic process (GO:0006527)	1	0	.81	-	 < 0.01	4.45E-01
